slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789206922674207744	1789206922674207744	1789206922674207744	1789206922674217984	1789206922674220032	0	0	0	0	5854895173692	5854895199768
1	0	2	0	0	1789206922674220032	1789206922674221056	1789206922674221056	1789206922674367488	1789206922674369536	0	3	1	1	5854895207360	5854895575285
2	0	1	0	0	1789206922674369536	1789206922674369536	1789206922674369536	1789206922674514944	1789206922674516992	3	0	0	1	5854895580549	5854895946166
3	0	3	0	0	1789206922674516992	1789206922674516992	1789206922674516992	1789206922674662400	1789206922674664448	3	0	2	1	5854895951432	5854896318344
4	0	5	0	0	1789206922674664448	1789206922674665472	1789206922674665472	1789206922674666496	1789206922674668544	3	1	4	1	5854896325176	5854896327761
5	0	4	0	0	1789206922674668544	1789206922674669568	1789206922674669568	1789206922674670592	1789206922674672640	4	1	3	1	5854896335423	5854896337998
6	0	7	0	0	1789206922674672640	1789206922674681856	1789206922674681856	1789206922674682880	1789206922674684928	5	1	6	1	5854896366685	5854896369263
7	0	6	0	0	1789206922674684928	1789206922674684928	1789206922674684928	1789206922674685952	1789206922674686976	6	0	5	1	5854896374292	5854896376055
8	0	8	0	0	1789206922674686976	1789206922674695168	1789206922674695168	1789206922674699264	1789206922674701312	6	2	7	3	5854896400290	5854896411247
9	0	9	0	0	1789206922674701312	1789206922674702336	1789206922674703360	1789206922674851840	1789206922674853888	8	127	10	1	5854896419307	5854896793267
10	0	10	0	0	1789206922674853888	1789206922674859008	1789206922674859008	1789206922674873344	1789206922674874368	135	31	11	1	5854896812145	5854896846855
11	0	11	0	0	1789206922674874368	1789206922674875392	1789206922674875392	1789206922675026944	1789206922675028992	166	3	12	1	5854896854360	5854897231811
12	0	12	0	0	1789206922675028992	1789206922675030016	1789206922675030016	1789206922675178496	1789206922675180544	169	0	13	1	5854897238375	5854897611581
13	0	13	0	0	1789206922675181568	1789206922675188736	1789206922675188736	1789206922675236864	1789206922675238912	169	222	14	2	5854897638791	5854897760031
14	0	14	0	0	1789206922675238912	1789206922675239936	1789206922675239936	1789206922675737600	1789206922675740672	391	3	16	2	5854897767383	5854899020286
15	0	15	0	0	1789206922675740672	1789206922675757056	1789206922675757056	1789206922675770368	1789206922675772416	394	31	18	1	5854899068785	5854899102610
16	0	17	0	0	1789206922675772416	1789206922675773440	1789206922675773440	1789206922675919872	1789206922675921920	425	3	20	1	5854899109815	5854899476971
17	0	16	0	0	1789206922675921920	1789206922675921920	1789206922675921920	1789206922676067328	1789206922676069376	428	0	19	1	5854899483465	5854899849855
