model	seq	arm	n	p0_median_ms	p5_median_ms	ratio	ci_lo	ci_hi	p_wilcoxon
gqa2	4	neither	25	0.287840	0.037472	0.1301	0.1295	0.1304	1.307e-05
gqa2	4	nowait	25	0.346144	0.039552	0.1143	0.1140	0.1146	1.307e-05
gqa2	4	full	25	0.367232	0.239200	0.6514	0.6487	0.6529	1.307e-05
gqa2	4	l1nosync	25	0.363424	0.238656	0.6562	0.6523	0.6597	1.307e-05
gqa2	128	neither	25	0.481824	0.130752	0.2711	0.2696	0.2722	1.307e-05
gqa2	128	nowait	25	0.533632	0.148224	0.2780	0.2773	0.2792	1.307e-05
gqa2	128	full	25	0.559072	0.413792	0.7403	0.7400	0.7408	1.307e-05
gqa2	128	l1nosync	25	0.559104	0.413824	0.7404	0.7400	0.7417	1.307e-05
mha4	4	neither	25	0.575104	0.041216	0.0714	0.0713	0.0717	1.307e-05
mha4	4	nowait	25	0.696480	0.045280	0.0651	0.0648	0.0653	1.307e-05
mha4	4	full	25	0.743136	0.468960	0.6313	0.6299	0.6325	1.307e-05
mha4	4	l1nosync	25	0.739680	0.468512	0.6327	0.6306	0.6375	1.307e-05
mha4	128	neither	25	0.964288	0.196736	0.2040	0.2036	0.2044	1.307e-05
mha4	128	nowait	25	1.093344	0.258176	0.2361	0.2357	0.2365	1.307e-05
mha4	128	full	25	1.143744	0.856864	0.7491	0.7486	0.7496	1.307e-05
mha4	128	l1nosync	25	1.143840	0.856896	0.7493	0.7492	0.7496	1.307e-05
ALL	ALL	neither	100	-	-	0.1687	0.1302	0.2039	3.956e-18	cells=4
ALL	ALL	nowait	100	-	-	0.1763	0.1145	0.2360	3.956e-18	cells=4
ALL	ALL	full	100	-	-	0.6985	0.6527	0.7401	3.956e-18	cells=4
ALL	ALL	l1nosync	100	-	-	0.7019	0.6576	0.7401	3.956e-18	cells=4
