cell	config	selected	l2_ms	l2_ms_lo	l2_ms_hi	wait_ms	wait_ms_lo	wait_ms_hi	notify_ms	notify_ms_lo	notify_ms_hi	barrier_ms	barrier_ms_lo	barrier_ms_hi	fence_ms	fence_ms_lo	fence_ms_hi	protocol_ms	protocol_ms_lo	protocol_ms_hi	protocol_barrier	protocol_barrier_lo	protocol_barrier_hi	l2_l1	l2_l1_lo	l2_l1_hi	relative_selected	relative_selected_lo	relative_selected_hi	relative_legacy	relative_legacy_lo	relative_legacy_hi	nonpositive_barrier_pairs	zero_barrier_pairs	cp_ns	queue_lb_ns	floor_ns	measured_floor	trace
gqa2_s4	eft	eft	0.149696	0.149472	0.150432	0.051199999999999996	0.050496	0.051519999999999996	0.02384	0.023552000000000003	0.024576	0.08704	0.086752	0.08710399999999999	0.024575999999999987	0.023935999999999985	0.024832000000000007	0.07491199999999999	0.07449599999999999	0.07516800000000001	0.8610394397346111	0.8558823529411763	0.8675715333822451	0.6562850729517397	0.6545683856502242	0.6591928251121076	1.0	1.0	1.0	0.7324120603015074	0.73	0.735450563204005	0	0	97280	82944.0	97280	1.5388157894736842	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/eft__full/dump
gqa2_s4	rotate	eft	0.155648	0.155552	0.156352	0.11571200000000001	0.11504	0.11596800000000002	0.003263999999999996	0.0030719999999999983	0.0037439999999999973	0.08704	0.08688000000000001	0.08732800000000002	0.023552000000000017	0.022784	0.024256	0.118784	0.11868799999999999	0.11974399999999999	1.3652077969841858	1.3604651162790697	1.3762412651710185	0.6819010234123091	0.6816143497757848	0.6860106532099803	1.0393533290789192	1.034246575342466	1.04617357845233	0.7633479899497487	0.7597809076682316	0.7646875	0	0	101376	33792.0	101376	1.5353535353535352	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/rotate__full/dump
gqa2_s4	wavefront	eft	0.151552	0.151328	0.151552	0.05222399999999999	0.051776	0.05241599999999999	0.024543999999999996	0.02384	0.024576	0.087008	0.08601600000000001	0.08704	0.022784	0.022527999999999992	0.023327999999999988	0.07667199999999999	0.076	0.0768	0.8823096726737771	0.877513030528667	0.8889705882352941	0.6640834155276878	0.663677130044843	0.6665259009009008	1.010939510939511	1.0070648683365446	1.015002143163309	0.7423052763819096	0.7399999999999999	0.74328125	0	0	98304	87040.0	98304	1.5416666666666667	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/wavefront__full/dump
gqa2_s4	chain	eft	0.163552	0.162816	0.16384	0.12182399999999999	0.120832	0.12192000000000001	0.0051199999999999996	0.0051199999999999996	0.005856	0.08704	0.086368	0.087424	0.021504000000000023	0.020704	0.022368	0.126976	0.12668800000000002	0.12710400000000002	1.4618533680684782	1.447118891320204	1.4672100778065953	0.7168885774351786	0.7134043746494672	0.7181932949922851	1.0899211591732367	1.08843537414966	1.095187165775401	0.7989949748743718	0.7974604169932592	0.8	0	0	106496	34816.0	106496	1.5357572115384615	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/chain__full/dump
gqa2_s4	legacy_grid_stride	eft	0.20448	0.203776	0.2048	0.059392	0.058464000000000016	0.059551999999999994	0.03788800000000002	0.03686400000000001	0.03814400000000001	0.08704	0.08668800000000002	0.088064	0.03174400000000002	0.031488000000000016	0.032383999999999996	0.09702400000000001	0.096608	0.09728000000000002	1.1103728313030639	1.102107558139535	1.1263430900333458	0.8963963963963965	0.8937780269058296	0.8968609865470852	1.3653516295025732	1.3597106998510955	1.3698630136986303	1.0	1.0	1.0	0	0	91136	123904.0	123904.0	1.650309917355372	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/legacy_grid_stride__full/dump
gqa2_s4	balanced	eft	1.048576	1.047552	1.049472	0.82816	0.8271679999999999	0.829088	0.032448000000000005	0.031808	0.03276799999999999	0.08713599999999999	0.08704	0.08790400000000001	0.17427199999999998	0.17321599999999993	0.17510399999999993	0.860736	0.8591360000000001	0.860928	9.881486934118515	9.776162790697674	9.894485294117647	4.602924634420697	4.591928251121076	4.610329299183788	7.006849315068494	6.986394557823129	7.019905821917808	5.140622555920538	5.12984375	5.14070351758794	0	0	97280	165888.0	165888.0	6.320987654320987	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/balanced__full/dump
gqa2_s4	protocol_off	eft	0.165888	0.165888	0.166912	0.04198400000000001	0.04198400000000001	0.04281600000000001	0.044032	0.043936	0.044768	0.088064	0.08726400000000001	0.088064	0.015360000000000013	0.014527999999999985	0.016192000000000012	0.086976	0.08601600000000001	0.08704	0.9890909090909089	0.9862018881626727	0.9970674486803518	0.726457399103139	0.7237191121038671	0.7276785714285715	1.111969111969112	1.1095511593278025	1.1155584247901873	0.8140703517587939	0.8108869075551385	0.8161477077139728	0	0	101376	88064.0	101376	1.6363636363636365	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/protocol_off__full/dump
gqa2_s4	c1	eft	0.14944	0.148736	0.149504	0.04934400000000001	0.049152	0.050016000000000005	0.025312	0.024576	0.025504	0.08704	0.086752	0.08729600000000001	0.023648000000000002	0.023232000000000003	0.02384	0.074752	0.07433600000000001	0.07507200000000001	0.8588235294117647	0.855829349025377	0.8655057428677287	0.6548002803083391	0.6533071748878925	0.6569384032552267	0.9978494623655915	0.9934056583705593	1.0	0.73	0.728643216080402	0.7315625	0	0	100352	84992.0	100352	1.4891581632653061	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/c1__full/dump
gqa2_s4	c2	eft	0.149376	0.148512	0.149504	0.049344	0.049152	0.049888000000000016	0.025088	0.024576	0.025567999999999994	0.086816	0.08601600000000001	0.08704	0.023648000000000002	0.02329600000000001	0.024351999999999985	0.074752	0.07398400000000001	0.07488	0.8594554819720382	0.8537666174298375	0.8694196428571428	0.6547085201793722	0.6531531531531531	0.6559697309417041	0.9938310997660071	0.9931972789115646	0.9993577392421324	0.73	0.7277289836888332	0.7318908748824083	0	0	101376	86016.0	101376	1.4734848484848484	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/c2__full/dump
gqa2_s4	c3	eft	0.149504	0.149504	0.149696	0.050176	0.049407999999999994	0.05027200000000001	0.024608000000000005	0.024576	0.02528000000000001	0.086816	0.086144	0.0872	0.02432000000000001	0.023552000000000003	0.024576	0.074752	0.07455999999999999	0.075072	0.8651603498542274	0.8569836552748886	0.8695171396977514	0.654892066162041	0.6547085201793722	0.6581639803784162	0.9984936518183775	0.9951011714589988	1.0002140869192893	0.7310280081364419	0.73	0.7335113065326633	0	0	100352	88064.0	100352	1.489795918367347	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s4/trace/c3__full/dump
