group	cell	round	ratio	rotate_log	legacy_log
reference	gqa2_s4	0	0.7697557471264368	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r0.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r0.log
reference	gqa2_s4	1	0.7581220992502677	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r1.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r1.log
reference	gqa2_s4	2	0.7562189054726368	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r2.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r2.log
reference	gqa2_s4	3	0.7096774193548387	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r3.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r3.log
reference	gqa2_s4	4	0.8224852071005917	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r4.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r4.log
reference	gqa2_s4	5	0.7540760869565218	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r5.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r5.log
reference	gqa2_s4	6	0.7554347826086956	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r6.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r6.log
reference	gqa2_s4	7	0.7469553450608931	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r7.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r7.log
reference	gqa2_s4	8	0.7540983606557377	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r8.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r8.log
reference	gqa2_s4	9	0.7567567567567567	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/rotate__full/r9.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s4/measure/legacy_grid_stride__full/r9.log
