slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789717443134118912	1789717443134118912	1789717443134118912	1789717443134120960	1789717443134123008	0	0	0	0	104379455915934	104379455922306
1	0	3	0	0	1789717443134123008	1789717443134125056	1789717443134125056	1789717443134129152	1789717443134131200	0	16	2	1	104379455930583	104379455941166
2	0	1	256	0	1789717443134131200	1789717443134132224	1789717443134132224	1789717443134135296	1789717443134138368	16	16	0	1	104379455949262	104379455957321
3	0	4	0	0	1789717443134138368	1789717443134139392	1789717443134139392	1789717443134142464	1789717443134143488	32	2	3	1	104379455967654	104379455974629
4	0	8	0	0	1789717443134143488	1789717443134146560	1789717443134146560	1789717443134147584	1789717443134148608	34	1	7	1	104379455984574	104379455987111
5	0	7	508	0	1789717443134148608	1789717443134149632	1789717443134149632	1789717443134150656	1789717443134151680	35	1	6	1	104379455992789	104379455995174
6	0	9	0	0	1789717443134151680	1789717443134152704	1789717443134152704	1789717443134153728	1789717443134154752	36	1	8	1	104379456000972	104379456002823
7	0	11	508	0	1789717443134154752	1789717443134156800	1789717443134156800	1789717443134188544	1789717443134189568	37	3	10	3	104379456011369	104379456090486
8	0	12	0	0	1789717443134190592	1789717443134200832	1789717443134200832	1789717443134205952	1789717443134208000	40	1	13	1	104379456122087	104379456132845
9	0	13	0	0	1789717443134208000	1789717443134209024	1789717443134209024	1789717443134214144	1789717443134216192	41	2	14	1	104379456142142	104379456154471
10	0	14	0	0	1789717443134216192	1789717443134218240	1789717443134218240	1789717443134220288	1789717443134222336	43	16	15	1	104379456164728	104379456170038
11	0	15	0	0	1789717443134222336	1789717443134223360	1789717443134223360	1789717443134228480	1789717443134229504	59	16	16	1	104379456177406	104379456189204
12	0	15	512	0	1789717443134229504	1789717443134230528	1789717443134231552	1789717443134234624	1789717443134236672	75	16	16	1	104379456196951	104379456206605
13	0	17	0	0	1789717443134236672	1789717443134236672	1789717443134237696	1789717443134240768	1789717443134242816	91	0	18	1	104379456212382	104379456221629
14	0	17	512	0	1789717443134242816	1789717443134242816	1789717443134242816	1789717443134245888	1789717443134247936	91	0	18	1	104379456226762	104379456235137
15	0	16	0	0	1789717443134247936	1789717443134249984	1789717443134249984	1789717443134253056	1789717443134255104	91	2	17	1	104379456243678	104379456252737
16	0	19	0	0	1789717443134255104	1789717443134259200	1789717443134259200	1789717443134263296	1789717443134264320	93	64	20	2	104379456267694	104379456276732
17	0	20	0	0	1789717443134264320	1789717443134265344	1789717443134265344	1789717443134271488	1789717443134273536	157	16	22	2	104379456283850	104379456297637
18	0	21	0	0	1789717443134273536	1789717443134276608	1789717443134276608	1789717443134280704	1789717443134281728	173	2	24	1	104379456311183	104379456321521
19	0	22	0	0	1789717443134281728	1789717443134283776	1789717443134283776	1789717443134285824	1789717443134287872	175	16	25	1	104379456329486	104379456335256
20	0	25	0	0	1789717443134287872	1789717443134288896	1789717443134288896	1789717443134292992	1789717443134295040	191	16	28	1	104379456342248	104379456352706
21	0	23	256	0	1789717443134295040	1789717443134296064	1789717443134296064	1789717443134299136	1789717443134301184	207	16	26	1	104379456361077	104379456368483
22	0	26	0	0	1789717443134302208	1789717443134303232	1789717443134303232	1789717443134306304	1789717443134308352	223	2	29	1	104379456378754	104379456386633
23	0	28	32	0	1789717443134308352	1789717443134309376	1789717443134309376	1789717443134312448	1789717443134313472	225	2	31	1	104379456393153	104379456400928
24	0	32	0	0	1789717443134313472	1789717443134315520	1789717443134315520	1789717443134316544	1789717443134317568	227	1	35	1	104379456409046	104379456411132
25	0	33	508	0	1789717443134317568	1789717443134319616	1789717443134319616	1789717443134349312	1789717443134351360	228	3	36	3	104379456419250	104379456494538
