slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789717450215388160	1789717450215388160	1789717450215388160	1789717450215390208	1789717450215392256	0	0	0	0	104385415811986	104385415817115
1	0	3	0	0	1789717450215392256	1789717450215392256	1789717450215393280	1789717450215396352	1789717450215397376	0	1	2	1	104385415823044	104385415830621
2	0	5	0	0	1789717450215397376	1789717450215397376	1789717450215397376	1789717450215400448	1789717450215401472	1	0	4	1	104385415834364	104385415841147
3	0	6	0	0	1789717450215401472	1789717450215403520	1789717450215403520	1789717450215405568	1789717450215406592	1	2	5	1	104385415848955	104385415853122
4	0	10	0	0	1789717450215406592	1789717450215407616	1789717450215407616	1789717450215408640	1789717450215409664	3	1	9	1	104385415859312	104385415861373
5	0	11	12	0	1789717450215409664	1789717450215410688	1789717450215410688	1789717450215414784	1789717450215415808	4	3	10	3	104385415867481	104385415877626
6	0	12	0	0	1789717450215415808	1789717450215416832	1789717450215416832	1789717450215419904	1789717450215420928	7	1	13	1	104385415883365	104385415890246
7	0	13	0	0	1789717450215420928	1789717450215422976	1789717450215422976	1789717450215425024	1789717450215426048	8	2	14	1	104385415898125	104385415902126
8	0	14	0	0	1789717450215426048	1789717450215427072	1789717450215427072	1789717450215429120	1789717450215430144	10	8	15	1	104385415908683	104385415914041
9	0	15	0	0	1789717450215430144	1789717450215431168	1789717450215431168	1789717450215434240	1789717450215436288	18	1	16	1	104385415919669	104385415927383
10	0	17	0	0	1789717450215436288	1789717450215436288	1789717450215436288	1789717450215438336	1789717450215440384	19	0	18	1	104385415931394	104385415937698
11	0	16	0	0	1789717450215440384	1789717450215441408	1789717450215441408	1789717450215443456	1789717450215444480	19	2	17	1	104385415945053	104385415948796
12	0	18	0	0	1789717450215444480	1789717450215445504	1789717450215445504	1789717450215447552	1789717450215448576	21	2	19	1	104385415954910	104385415958712
13	0	19	0	0	1789717450215448576	1789717450215450624	1789717450215450624	1789717450215453696	1789717450215454720	23	32	20	2	104385415966857	104385415974315
14	0	20	0	0	1789717450215454720	1789717450215455744	1789717450215455744	1789717450215458816	1789717450215460864	55	1	22	2	104385415980912	104385415988196
15	0	21	0	0	1789717450215460864	1789717450215461888	1789717450215462912	1789717450215463936	1789717450215465984	56	4	24	1	104385415996933	104385416001570
16	0	22	0	0	1789717450215465984	1789717450215467008	1789717450215467008	1789717450215469056	1789717450215470080	60	8	25	1	104385416008174	104385416013579
17	0	25	0	0	1789717450215470080	1789717450215471104	1789717450215471104	1789717450215474176	1789717450215476224	68	1	28	1	104385416019338	104385416026927
18	0	27	0	0	1789717450215476224	1789717450215476224	1789717450215476224	1789717450215478272	1789717450215480320	69	0	30	1	104385416030867	104385416037496
19	0	69	255	0	1789717450215480320	1789717450215631872	1789717450215631872	1789717450215634944	1789717450215635968	69	1	82	1	104385416423294	104385416429508
20	0	70	31	0	1789717450215635968	1789717450215639040	1789717450215639040	1789717450215641088	1789717450215642112	70	2	83	1	104385416441424	104385416445065
21	0	74	0	0	1789717450215642112	1789717450215645184	1789717450215645184	1789717450215646208	1789717450215647232	72	1	87	1	104385416457044	104385416459767
22	0	75	0	0	1789717450215648256	1789717450215648256	1789717450215648256	1789717450215649280	1789717450215650304	73	1	88	1	104385416465250	104385416467266
23	0	86	127	0	1789717450215650304	1789717450215706624	1789717450215706624	1789717450215709696	1789717450215711744	74	1	103	2	104385416611785	104385416619671
24	0	87	0	0	1789717450215711744	1789717450215712768	1789717450215713792	1789717450215714816	1789717450215715840	75	4	105	1	104385416627706	104385416632164
25	1	0	1	0	1789717450215388160	1789717450215388160	1789717450215388160	1789717450215390208	1789717450215392256	79	0	0	0	104385415812001	104385415817135
26	1	3	1	0	1789717450215392256	1789717450215393280	1789717450215393280	1789717450215396352	1789717450215397376	79	1	2	1	104385415823200	104385415831696
27	1	5	1	0	1789717450215397376	1789717450215397376	1789717450215397376	1789717450215401472	1789717450215402496	80	0	4	1	104385415834667	104385415842929
28	1	6	1	0	1789717450215402496	1789717450215403520	1789717450215403520	1789717450215405568	1789717450215406592	80	2	5	1	104385415849151	104385415853158
29	1	10	1	0	1789717450215406592	1789717450215407616	1789717450215407616	1789717450215408640	1789717450215409664	82	1	9	1	104385415859375	104385415861414
30	1	11	13	0	1789717450215409664	1789717450215410688	1789717450215410688	1789717450215414784	1789717450215415808	83	3	10	3	104385415867552	104385415877945
31	1	12	1	0	1789717450215415808	1789717450215416832	1789717450215416832	1789717450215419904	1789717450215421952	86	1	13	1	104385415883375	104385415891491
32	1	13	1	0	1789717450215421952	1789717450215422976	1789717450215422976	1789717450215425024	1789717450215426048	87	2	14	1	104385415897754	104385415902174
33	1	14	1	0	1789717450215426048	1789717450215427072	1789717450215427072	1789717450215429120	1789717450215430144	89	8	15	1	104385415908754	104385415914066
34	1	15	1	0	1789717450215430144	1789717450215431168	1789717450215431168	1789717450215435264	1789717450215436288	97	1	16	1	104385415919671	104385415928407
35	1	17	1	0	1789717450215436288	1789717450215437312	1789717450215437312	1789717450215440384	1789717450215441408	98	0	18	1	104385415933424	104385415941477
36	1	16	1	0	1789717450215441408	1789717450215442432	1789717450215442432	1789717450215444480	1789717450215445504	98	2	17	1	104385415948024	104385415951894
37	1	18	1	0	1789717450215445504	1789717450215446528	1789717450215447552	1789717450215448576	1789717450215449600	100	2	19	1	104385415958753	104385415962994
38	1	19	1	0	1789717450215449600	1789717450215451648	1789717450215451648	1789717450215454720	1789717450215455744	102	32	20	2	104385415969394	104385415977170
