slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789716610831235072	1789716610831235072	1789716610831235072	1789716610831250432	1789716610831252480	0	0	0	0	104353462721691	104353462760911
1	0	1	48	0	1789716610831252480	1789716610831253504	1789716610831253504	1789716610831310848	1789716610831312896	0	63	0	1	104353462768882	104353462908866
2	0	2	48	0	1789716610831312896	1789716610831366144	1789716610831366144	1789716610831392768	1789716610831393792	63	4	1	1	104353463048258	104353463113871
3	0	8	160	0	1789716610831393792	1789716610831394816	1789716610831394816	1789716610831395840	1789716610831396864	67	1	7	1	104353463120160	104353463122713
4	0	8	416	0	1789716610831396864	1789716610831396864	1789716610831396864	1789716610831397888	1789716610831398912	68	0	7	1	104353463126172	104353463128206
5	0	8	672	0	1789716610831398912	1789716610831398912	1789716610831398912	1789716610831399936	1789716610831400960	68	0	7	1	104353463131171	104353463133186
6	0	8	928	0	1789716610831400960	1789716610831400960	1789716610831400960	1789716610831401984	1789716610831403008	68	0	7	1	104353463136143	104353463138172
7	0	7	160	0	1789716610831403008	1789716610831414272	1789716610831414272	1789716610831416320	1789716610831417344	68	1	6	1	104353463170536	104353463173784
8	0	7	416	0	1789716610831417344	1789716610831417344	1789716610831417344	1789716610831418368	1789716610831419392	69	0	6	1	104353463177513	104353463179657
9	0	7	672	0	1789716610831419392	1789716610831419392	1789716610831419392	1789716610831420416	1789716610831421440	69	0	6	1	104353463183013	104353463184913
10	0	7	928	0	1789716610831421440	1789716610831421440	1789716610831421440	1789716610831422464	1789716610831423488	69	0	6	1	104353463188124	104353463189945
11	0	7	1184	0	1789716610831423488	1789716610831423488	1789716610831423488	1789716610831424512	1789716610831425536	69	0	6	1	104353463193130	104353463195292
12	0	7	1440	0	1789716610831425536	1789716610831425536	1789716610831425536	1789716610831426560	1789716610831427584	69	0	6	1	104353463198291	104353463200363
13	0	7	1696	0	1789716610831427584	1789716610831427584	1789716610831427584	1789716610831428608	1789716610831429632	69	0	6	1	104353463203661	104353463205452
14	0	7	1952	0	1789716610831429632	1789716610831429632	1789716610831429632	1789716610831430656	1789716610831431680	69	0	6	1	104353463208460	104353463210593
15	0	7	2208	0	1789716610831431680	1789716610831431680	1789716610831431680	1789716610831432704	1789716610831433728	69	0	6	1	104353463213576	104353463215658
16	0	7	2464	0	1789716610831433728	1789716610831433728	1789716610831433728	1789716610831434752	1789716610831435776	69	0	6	1	104353463218612	104353463220704
17	0	7	2720	0	1789716610831435776	1789716610831435776	1789716610831435776	1789716610831436800	1789716610831437824	69	0	6	1	104353463223658	104353463225785
18	0	7	2976	0	1789716610831437824	1789716610831437824	1789716610831437824	1789716610831438848	1789716610831439872	69	0	6	1	104353463228789	104353463230860
19	0	7	3232	0	1789716610831439872	1789716610831439872	1789716610831439872	1789716610831440896	1789716610831441920	69	0	6	1	104353463233798	104353463235894
20	0	7	3488	0	1789716610831441920	1789716610831441920	1789716610831441920	1789716610831442944	1789716610831443968	69	0	6	1	104353463238832	104353463240927
21	0	7	3744	0	1789716610831443968	1789716610831443968	1789716610831443968	1789716610831444992	1789716610831446016	69	0	6	1	104353463243825	104353463245931
22	0	7	4000	0	1789716610831446016	1789716610831446016	1789716610831446016	1789716610831447040	1789716610831448064	69	0	6	1	104353463249102	104353463251062
23	0	10	160	0	1789716610831448064	1789716610831449088	1789716610831449088	1789716610831450112	1789716610831451136	69	1	9	1	104353463256865	104353463258872
24	0	10	416	0	1789716610831451136	1789716610831451136	1789716610831451136	1789716610831452160	1789716610831453184	70	0	9	1	104353463262311	104353463263871
25	0	10	672	0	1789716610831453184	1789716610831453184	1789716610831453184	1789716610831454208	1789716610831455232	70	0	9	1	104353463267056	104353463268586
26	0	10	928	0	1789716610831455232	1789716610831455232	1789716610831455232	1789716610831455232	1789716610831456256	70	0	9	1	104353463271777	104353463273300
27	0	9	160	0	1789716610831456256	1789716610831457280	1789716610831457280	1789716610831457280	1789716610831458304	70	0	8	1	104353463276536	104353463278285
28	0	9	416	0	1789716610831458304	1789716610831458304	1789716610831459328	1789716610831459328	1789716610831460352	70	0	8	1	104353463281489	104353463283018
29	0	9	672	0	1789716610831460352	1789716610831460352	1789716610831460352	1789716610831461376	1789716610831462400	70	0	8	1	104353463286188	104353463287729
30	0	9	928	0	1789716610831462400	1789716610831462400	1789716610831462400	1789716610831463424	1789716610831464448	70	0	8	1	104353463290936	104353463292456
31	0	11	160	0	1789716610831464448	1789716610831472640	1789716610831472640	1789716610831495168	1789716610831496192	70	2	10	3	104353463317429	104353463372861
32	0	11	416	0	1789716610831496192	1789716610831496192	1789716610831496192	1789716610831517696	1789716610831518720	72	0	10	3	104353463376319	104353463428810
33	0	11	672	0	1789716610831518720	1789716610831518720	1789716610831518720	1789716610831540224	1789716610831541248	72	0	10	3	104353463432017	104353463485271
34	0	11	928	0	1789716610831541248	1789716610831541248	1789716610831541248	1789716610831562752	1789716610831563776	72	0	10	3	104353463488441	104353463542441
35	0	11	1184	0	1789716610831563776	1789716610831563776	1789716610831563776	1789716610831585280	1789716610831586304	72	0	10	3	104353463545631	104353463599659
36	0	11	1440	0	1789716610831587328	1789716610831587328	1789716610831587328	1789716610831608832	1789716610831609856	72	0	10	3	104353463602848	104353463656653
37	0	11	1696	0	1789716610831609856	1789716610831609856	1789716610831609856	1789716610831631360	1789716610831632384	72	0	10	3	104353463659883	104353463713718
38	0	11	1952	0	1789716610831632384	1789716610831632384	1789716610831632384	1789716610831653888	1789716610831654912	72	0	10	3	104353463716921	104353463771956
39	0	11	2208	0	1789716610831655936	1789716610831655936	1789716610831655936	1789716610831677440	1789716610831678464	72	0	10	3	104353463775147	104353463829023
40	0	11	2464	0	1789716610831678464	1789716610831678464	1789716610831678464	1789716610831699968	1789716610831700992	72	0	10	3	104353463832022	104353463887339
41	0	11	2720	0	1789716610831700992	1789716610831702016	1789716610831702016	1789716610831723520	1789716610831724544	72	0	10	3	104353463890569	104353463945806
42	0	11	2976	0	1789716610831724544	1789716610831724544	1789716610831724544	1789716610831746048	1789716610831747072	72	0	10	3	104353463948781	104353464003139
43	0	11	3232	0	1789716610831748096	1789716610831748096	1789716610831748096	1789716610831769600	1789716610831770624	72	0	10	3	104353464006759	104353464062400
44	0	11	3488	0	1789716610831771648	1789716610831771648	1789716610831771648	1789716610831793152	1789716610831794176	72	0	10	3	104353464065621	104353464120864
45	0	11	3744	0	1789716610831794176	1789716610831794176	1789716610831794176	1789716610831816704	1789716610831817728	72	0	10	3	104353464124083	104353464179854
46	0	11	4000	0	1789716610831817728	1789716610831817728	1789716610831817728	1789716610831842304	1789716610831843328	72	0	10	3	104353464183359	104353464243204
47	0	12	160	0	1789716610831843328	1789716610831844352	1789716610831844352	1789716610831903744	1789716610831904768	72	1	13	1	104353464250432	104353464394005
48	0	14	96	0	1789716610831904768	1789716610831953920	1789716610831953920	1789716610831969280	1789716610831970304	73	32	15	1	104353464522359	104353464559602
49	0	15	224	0	1789716610831970304	1789716610831972352	1789716610831972352	1789716610832062464	1789716610832064512	105	64	16	1	104353464567144	104353464792649
50	0	15	480	0	1789716610832064512	1789716610832066560	1789716610832066560	1789716610832137216	1789716610832140288	169	63	16	1	104353464802682	104353464980732
51	0	15	736	0	1789716610832140288	1789716610832140288	1789716610832140288	1789716610832204800	1789716610832206848	232	0	16	1	104353464987269	104353465151121
52	0	16	96	0	1789716610832206848	1789716610832208896	1789716610832208896	1789716610832273408	1789716610832274432	232	4	17	1	104353465159432	104353465321935
53	0	17	128	0	1789716610832274432	1789716610832274432	1789716610832274432	1789716610832335872	1789716610832338944	236	0	18	1	104353465325823	104353465479853
54	0	17	384	0	1789716610832338944	1789716610832338944	1789716610832338944	1789716610832421888	1789716610832423936	236	0	18	1	104353465486854	104353465695456
55	0	17	640	0	1789716610832423936	1789716610832423936	1789716610832423936	1789716610832492544	1789716610832494592	236	0	18	1	104353465700467	104353465871983
56	0	18	0	0	1789716610832494592	1789716610832497664	1789716610832497664	1789716610832570368	1789716610832571392	236	4	19	1	104353465884686	104353466068628
