wait_index	producer	group	event_index
0	0	0	88
1	0	1	89
2	1	0	90
3	1	1	91
4	1	2	92
5	1	3	93
6	1	4	94
7	1	5	95
8	1	6	96
9	1	7	97
10	2	4294967295	346
11	8	0	541
12	7	0	477
13	9	4294967295	557
14	10	4294967295	558
15	11	4294967295	559
16	12	0	560
17	12	1	561
18	12	2	562
19	12	3	563
20	12	4	564
21	12	5	565
22	12	6	566
23	12	7	567
24	13	0	816
25	13	1	817
26	13	2	818
27	13	3	819
28	13	4	820
29	13	5	821
30	13	6	822
31	13	7	823
32	13	8	824
33	13	9	825
34	13	10	826
35	13	11	827
36	13	12	828
37	13	13	829
38	13	14	830
39	13	15	831
40	14	0	832
41	14	1	833
42	15	0	834
43	15	1	835
44	15	2	836
45	15	3	837
46	15	4	838
47	15	5	839
48	15	6	840
49	15	7	841
50	16	0	1730
51	16	1	1731
52	16	2	1732
53	16	3	1733
54	16	4	1734
55	16	5	1735
56	16	6	1736
57	16	7	1737
58	16	8	1738
59	16	9	1739
60	16	10	1740
61	16	11	1741
62	16	12	1742
63	16	13	1743
64	16	14	1744
65	16	15	1745
66	16	16	1746
67	16	17	1747
68	16	18	1748
69	16	19	1749
70	16	20	1750
71	16	21	1751
72	16	22	1752
73	16	23	1753
74	16	24	1754
75	16	25	1755
76	16	26	1756
77	16	27	1757
78	16	28	1758
79	16	29	1759
80	16	30	1760
81	16	31	1761
82	16	32	1762
83	16	33	1763
84	16	34	1764
85	16	35	1765
86	16	36	1766
87	16	37	1767
88	16	38	1768
89	16	39	1769
90	16	40	1770
91	16	41	1771
92	16	42	1772
93	16	43	1773
94	16	44	1774
95	16	45	1775
96	16	46	1776
97	16	47	1777
98	16	48	1778
99	16	49	1779
100	16	50	1780
101	16	51	1781
102	16	52	1782
103	16	53	1783
104	16	54	1784
105	16	55	1785
106	18	0	2682
107	18	1	2683
108	18	2	2684
109	18	3	2685
110	18	4	2686
111	18	5	2687
112	18	6	2688
113	18	7	2689
114	18	8	2690
115	18	9	2691
116	18	10	2692
117	18	11	2693
118	18	12	2694
119	18	13	2695
120	18	14	2696
121	18	15	2697
122	18	16	2698
123	18	17	2699
124	18	18	2700
125	18	19	2701
126	18	20	2702
127	18	21	2703
128	18	22	2704
129	18	23	2705
130	18	24	2706
131	18	25	2707
132	18	26	2708
133	18	27	2709
134	18	28	2710
135	18	29	2711
136	18	30	2712
137	18	31	2713
138	18	32	2714
139	18	33	2715
140	18	34	2716
141	18	35	2717
142	18	36	2718
143	18	37	2719
144	18	38	2720
145	18	39	2721
146	18	40	2722
147	18	41	2723
148	18	42	2724
149	18	43	2725
150	18	44	2726
151	18	45	2727
152	18	46	2728
153	18	47	2729
154	18	48	2730
155	18	49	2731
156	18	50	2732
157	18	51	2733
158	18	52	2734
159	18	53	2735
160	18	54	2736
161	18	55	2737
162	19	0	2738
163	19	1	2739
164	20	0	2740
165	20	1	2741
166	20	2	2742
167	20	3	2743
168	20	4	2744
169	20	5	2745
170	20	6	2746
171	20	7	2747
172	21	0	2996
173	21	1	2997
174	21	2	2998
175	21	3	2999
176	21	4	3000
177	21	5	3001
178	21	6	3002
179	21	7	3003
180	21	8	3004
181	21	9	3005
182	21	10	3006
183	21	11	3007
184	21	12	3008
185	21	13	3009
186	21	14	3010
187	21	15	3011
188	22	0	3012
189	22	1	3013
190	23	0	3014
191	23	1	3015
192	23	2	3016
193	23	3	3017
194	23	4	3018
195	23	5	3019
196	23	6	3020
197	23	7	3021
198	24	4294967295	3270
199	30	0	3465
200	29	0	3401
201	31	4294967295	3481
202	32	4294967295	3482
203	33	4294967295	3483
204	34	0	3484
205	34	1	3485
206	34	2	3486
207	34	3	3487
208	34	4	3488
209	34	5	3489
210	34	6	3490
211	34	7	3491
212	35	0	3740
213	35	1	3741
214	35	2	3742
215	35	3	3743
216	35	4	3744
217	35	5	3745
218	35	6	3746
219	35	7	3747
220	35	8	3748
221	35	9	3749
222	35	10	3750
223	35	11	3751
224	35	12	3752
225	35	13	3753
226	35	14	3754
227	35	15	3755
228	36	0	3756
229	36	1	3757
230	37	0	3758
231	37	1	3759
232	37	2	3760
233	37	3	3761
234	37	4	3762
235	37	5	3763
236	37	6	3764
237	37	7	3765
238	38	0	4654
239	38	1	4655
240	38	2	4656
241	38	3	4657
242	38	4	4658
243	38	5	4659
244	38	6	4660
245	38	7	4661
246	38	8	4662
247	38	9	4663
248	38	10	4664
249	38	11	4665
250	38	12	4666
251	38	13	4667
252	38	14	4668
253	38	15	4669
254	38	16	4670
255	38	17	4671
256	38	18	4672
257	38	19	4673
258	38	20	4674
259	38	21	4675
260	38	22	4676
261	38	23	4677
262	38	24	4678
263	38	25	4679
264	38	26	4680
265	38	27	4681
266	38	28	4682
267	38	29	4683
268	38	30	4684
269	38	31	4685
270	38	32	4686
271	38	33	4687
272	38	34	4688
273	38	35	4689
274	38	36	4690
275	38	37	4691
276	38	38	4692
277	38	39	4693
278	38	40	4694
279	38	41	4695
280	38	42	4696
281	38	43	4697
282	38	44	4698
283	38	45	4699
284	38	46	4700
285	38	47	4701
286	38	48	4702
287	38	49	4703
288	38	50	4704
289	38	51	4705
290	38	52	4706
291	38	53	4707
292	38	54	4708
293	38	55	4709
294	40	0	5606
295	40	1	5607
296	40	2	5608
297	40	3	5609
298	40	4	5610
299	40	5	5611
300	40	6	5612
301	40	7	5613
302	40	8	5614
303	40	9	5615
304	40	10	5616
305	40	11	5617
306	40	12	5618
307	40	13	5619
308	40	14	5620
309	40	15	5621
310	40	16	5622
311	40	17	5623
312	40	18	5624
313	40	19	5625
314	40	20	5626
315	40	21	5627
316	40	22	5628
317	40	23	5629
318	40	24	5630
319	40	25	5631
320	40	26	5632
321	40	27	5633
322	40	28	5634
323	40	29	5635
324	40	30	5636
325	40	31	5637
326	40	32	5638
327	40	33	5639
328	40	34	5640
329	40	35	5641
330	40	36	5642
331	40	37	5643
332	40	38	5644
333	40	39	5645
334	40	40	5646
335	40	41	5647
336	40	42	5648
337	40	43	5649
338	40	44	5650
339	40	45	5651
340	40	46	5652
341	40	47	5653
342	40	48	5654
343	40	49	5655
344	40	50	5656
345	40	51	5657
346	40	52	5658
347	40	53	5659
348	40	54	5660
349	40	55	5661
350	41	0	5662
351	41	1	5663
352	42	0	5664
353	42	1	5665
354	42	2	5666
355	42	3	5667
356	42	4	5668
357	42	5	5669
358	42	6	5670
359	42	7	5671
360	43	0	5920
361	43	1	5921
362	43	2	5922
363	43	3	5923
364	43	4	5924
365	43	5	5925
366	43	6	5926
367	43	7	5927
368	43	8	5928
369	43	9	5929
370	43	10	5930
371	43	11	5931
372	43	12	5932
373	43	13	5933
374	43	14	5934
375	43	15	5935
376	44	0	5936
377	44	1	5937
378	45	0	5938
379	45	1	5939
380	45	2	5940
381	45	3	5941
382	45	4	5942
383	45	5	5943
384	45	6	5944
385	45	7	5945
386	46	4294967295	6194
387	52	0	6389
388	51	0	6325
389	53	4294967295	6405
390	54	4294967295	6406
391	55	4294967295	6407
392	56	0	6408
393	56	1	6409
394	56	2	6410
