wait_index	producer	group	event_index
0	0	0	88
1	0	1	89
2	8	6	547
3	11	4294967295	559
4	14	0	832
5	14	1	833
6	15	576	1410
7	15	577	1411
8	15	578	1412
9	15	579	1413
10	15	580	1414
11	15	581	1415
12	15	582	1416
13	15	583	1417
14	19	0	2738
15	19	1	2739
16	22	0	3012
17	22	1	3013
18	26	4294967295	3335
19	29	24	3425
20	31	4294967295	3481
21	32	4294967295	3482
22	33	4294967295	3483
23	36	0	3756
24	36	1	3757
25	39	224	4934
26	39	225	4935
27	39	226	4936
28	39	227	4937
29	39	228	4938
30	39	229	4939
31	39	230	4940
32	39	231	4941
33	41	0	5662
34	41	1	5663
35	47	32	6227
36	47	33	6228
37	47	34	6229
38	47	35	6230
39	47	36	6231
40	47	37	6232
41	47	38	6233
42	47	39	6234
43	44	0	5936
44	44	1	5937
45	46	4294967295	6194
46	51	58	6383
47	53	4294967295	6405
48	54	4294967295	6406
49	55	4294967295	6407
50	58	0	6680
51	58	1	6681
52	61	768	8402
53	61	769	8403
54	61	770	8404
55	61	771	8405
56	61	772	8406
57	61	773	8407
58	61	774	8408
59	61	775	8409
60	63	0	8586
61	63	1	8587
62	66	0	8860
63	66	1	8861
64	68	4294967295	9118
65	77	4294967295	9331
66	80	0	9604
67	80	1	9605
68	81	160	9766
69	81	161	9767
70	81	162	9768
71	81	163	9769
72	81	164	9770
73	81	165	9771
74	81	166	9772
75	81	167	9773
76	85	0	11510
77	85	1	11511
78	0	0	88
79	0	1	89
80	8	6	547
81	11	4294967295	559
82	14	0	832
83	14	1	833
84	15	584	1418
85	15	585	1419
86	15	586	1420
87	15	587	1421
88	15	588	1422
89	15	589	1423
90	15	590	1424
91	15	591	1425
92	19	0	2738
93	19	1	2739
94	22	0	3012
95	22	1	3013
96	26	4294967295	3335
97	29	24	3425
98	31	4294967295	3481
99	32	4294967295	3482
100	33	4294967295	3483
101	36	0	3756
102	36	1	3757
103	39	232	4942
104	39	233	4943
105	39	234	4944
106	39	235	4945
107	39	236	4946
108	39	237	4947
109	39	238	4948
110	39	239	4949
111	41	0	5662
112	41	1	5663
113	47	40	6235
114	47	41	6236
115	47	42	6237
116	47	43	6238
117	47	44	6239
118	47	45	6240
119	47	46	6241
120	47	47	6242
121	44	0	5936
122	44	1	5937
123	46	4294967295	6194
124	51	58	6383
125	53	4294967295	6405
126	54	4294967295	6406
127	55	4294967295	6407
128	58	0	6680
129	58	1	6681
130	61	776	8410
131	61	777	8411
132	61	778	8412
133	61	779	8413
134	61	780	8414
135	61	781	8415
136	61	782	8416
137	61	783	8417
138	63	0	8586
139	63	1	8587
140	66	0	8860
141	66	1	8861
142	68	4294967295	9118
143	77	4294967295	9331
144	80	0	9604
145	80	1	9605
146	81	168	9774
147	81	169	9775
148	81	170	9776
149	81	171	9777
150	81	172	9778
151	81	173	9779
152	81	174	9780
153	81	175	9781
154	85	0	11510
155	85	1	11511
156	0	0	88
157	0	1	89
158	8	7	548
159	11	4294967295	559
160	14	0	832
161	14	1	833
162	15	592	1426
163	15	593	1427
164	15	594	1428
165	15	595	1429
166	15	596	1430
167	15	597	1431
168	15	598	1432
169	15	599	1433
170	19	0	2738
171	19	1	2739
172	22	0	3012
173	22	1	3013
174	26	4294967295	3335
175	29	25	3426
176	31	4294967295	3481
177	32	4294967295	3482
178	33	4294967295	3483
179	36	0	3756
180	36	1	3757
181	39	240	4950
182	39	241	4951
183	39	242	4952
184	39	243	4953
185	39	244	4954
186	39	245	4955
187	39	246	4956
188	39	247	4957
189	41	0	5662
190	41	1	5663
191	47	48	6243
192	47	49	6244
193	47	50	6245
194	47	51	6246
195	47	52	6247
196	47	53	6248
197	47	54	6249
198	47	55	6250
199	44	0	5936
200	44	1	5937
201	46	4294967295	6194
202	51	59	6384
203	53	4294967295	6405
204	54	4294967295	6406
205	55	4294967295	6407
206	58	0	6680
207	58	1	6681
208	61	784	8418
209	61	785	8419
210	61	786	8420
211	61	787	8421
212	61	788	8422
213	61	789	8423
214	61	790	8424
215	61	791	8425
216	63	0	8586
217	63	1	8587
218	66	0	8860
219	66	1	8861
220	68	4294967295	9118
221	77	4294967295	9331
222	80	0	9604
223	80	1	9605
224	81	176	9782
225	81	177	9783
226	81	178	9784
227	81	179	9785
228	81	180	9786
229	81	181	9787
230	81	182	9788
231	81	183	9789
232	85	0	11510
233	85	1	11511
234	0	0	88
235	0	1	89
236	8	7	548
237	11	4294967295	559
238	14	0	832
239	14	1	833
240	15	600	1434
241	15	601	1435
242	15	602	1436
243	15	603	1437
244	15	604	1438
245	15	605	1439
246	15	606	1440
247	15	607	1441
248	19	0	2738
249	19	1	2739
250	22	0	3012
251	22	1	3013
252	26	4294967295	3335
253	29	25	3426
254	31	4294967295	3481
255	32	4294967295	3482
256	33	4294967295	3483
257	36	0	3756
258	36	1	3757
259	39	248	4958
260	39	249	4959
261	39	250	4960
262	39	251	4961
263	39	252	4962
264	39	253	4963
265	39	254	4964
266	39	255	4965
267	41	0	5662
268	41	1	5663
269	47	56	6251
270	47	57	6252
271	47	58	6253
272	47	59	6254
273	47	60	6255
274	47	61	6256
275	47	62	6257
276	47	63	6258
277	44	0	5936
278	44	1	5937
279	46	4294967295	6194
280	51	59	6384
281	53	4294967295	6405
282	54	4294967295	6406
283	55	4294967295	6407
284	58	0	6680
285	58	1	6681
286	61	792	8426
287	61	793	8427
288	61	794	8428
289	61	795	8429
290	61	796	8430
291	61	797	8431
292	61	798	8432
293	61	799	8433
294	63	0	8586
295	63	1	8587
296	66	0	8860
297	66	1	8861
298	68	4294967295	9118
299	77	4294967295	9331
300	80	0	9604
301	80	1	9605
302	81	184	9790
303	81	185	9791
304	81	186	9792
305	81	187	9793
306	81	188	9794
307	81	189	9795
308	81	190	9796
309	81	191	9797
310	85	0	11510
311	85	1	11511
312	0	0	88
313	0	1	89
314	8	8	549
315	11	4294967295	559
316	14	0	832
317	14	1	833
318	15	608	1442
319	15	609	1443
320	15	610	1444
321	15	611	1445
322	15	612	1446
323	15	613	1447
324	15	614	1448
325	15	615	1449
326	19	0	2738
327	19	1	2739
328	22	0	3012
329	22	1	3013
330	26	4294967295	3335
331	29	26	3427
332	31	4294967295	3481
333	32	4294967295	3482
334	33	4294967295	3483
335	36	0	3756
336	36	1	3757
337	39	256	4966
338	39	257	4967
339	39	258	4968
340	39	259	4969
341	39	260	4970
342	39	261	4971
343	39	262	4972
344	39	263	4973
345	41	0	5662
346	41	1	5663
347	44	0	5936
348	44	1	5937
349	45	0	5938
350	45	1	5939
351	45	2	5940
352	45	3	5941
353	45	4	5942
354	45	5	5943
355	45	6	5944
356	45	7	5945
357	46	4294967295	6194
358	51	60	6385
359	53	4294967295	6405
360	54	4294967295	6406
361	55	4294967295	6407
362	58	0	6680
363	58	1	6681
364	61	800	8434
365	61	801	8435
366	61	802	8436
367	61	803	8437
368	61	804	8438
369	61	805	8439
370	61	806	8440
371	61	807	8441
372	63	0	8586
373	63	1	8587
374	66	0	8860
375	66	1	8861
376	68	4294967295	9118
377	77	4294967295	9331
