wait_index	producer	group	event_index
0	0	0	30
1	0	1	31
2	0	2	32
3	0	3	33
4	0	4	34
5	0	5	35
6	0	6	36
7	0	7	37
8	2	4294967295	63
9	5	0	193
10	4	127	192
11	6	4294967295	257
12	7	4294967295	258
13	8	0	259
14	8	1	260
15	8	2	261
16	8	3	262
17	8	4	263
18	8	5	264
19	8	6	265
20	8	7	266
21	8	8	267
22	8	9	268
23	8	10	269
24	8	11	270
25	8	12	271
26	8	13	272
27	8	14	273
28	8	15	274
29	8	16	275
30	8	17	276
31	8	18	277
32	8	19	278
33	8	20	279
34	8	21	280
35	8	22	281
36	8	23	282
37	8	24	283
38	8	25	284
39	8	26	285
40	8	27	286
41	8	28	287
42	8	29	288
43	8	30	289
44	8	31	290
45	9	0	387
46	9	1	388
47	9	2	389
48	9	3	390
49	9	4	391
50	9	5	392
51	9	6	393
52	9	7	394
53	10	0	419
54	10	1	420
55	10	2	421
56	10	3	422
57	10	4	423
58	10	5	424
59	10	6	425
60	10	7	426
61	11	0	451
62	11	1	452
63	11	2	453
64	11	3	454
65	11	4	455
66	11	5	456
67	11	6	457
68	11	7	458
69	11	8	459
70	11	9	460
71	11	10	461
72	11	11	462
73	11	12	463
74	11	13	464
75	11	14	465
76	11	15	466
77	12	0	515
78	12	1	516
79	12	2	517
80	12	3	518
81	12	4	519
82	12	5	520
83	12	6	521
84	12	7	522
85	12	8	523
86	12	9	524
87	12	10	525
88	12	11	526
89	12	12	527
90	12	13	528
91	12	14	529
92	12	15	530
93	13	0	579
94	13	1	580
95	13	2	581
96	13	3	582
97	13	4	583
98	13	5	584
99	13	6	585
100	13	7	586
101	14	0	611
102	14	1	612
103	14	2	613
104	14	3	614
105	14	4	615
106	14	5	616
107	14	6	617
108	14	7	618
109	15	0	643
110	15	1	644
111	15	2	645
112	15	3	646
113	15	4	647
114	15	5	648
115	15	6	649
116	15	7	650
117	17	4294967295	676
118	20	0	806
119	19	127	805
120	21	4294967295	870
121	22	4294967295	871
122	23	0	872
123	23	1	873
124	23	2	874
125	23	3	875
126	23	4	876
127	23	5	877
128	23	6	878
129	23	7	879
130	23	8	880
131	23	9	881
132	23	10	882
133	23	11	883
134	23	12	884
135	23	13	885
136	23	14	886
137	23	15	887
138	23	16	888
139	23	17	889
140	23	18	890
141	23	19	891
142	23	20	892
143	23	21	893
144	23	22	894
145	23	23	895
146	23	24	896
147	23	25	897
148	23	26	898
149	23	27	899
150	23	28	900
151	23	29	901
152	23	30	902
153	23	31	903
154	24	0	1000
155	24	1	1001
156	24	2	1002
157	24	3	1003
158	24	4	1004
159	24	5	1005
160	24	6	1006
161	24	7	1007
162	25	0	1032
163	25	1	1033
164	25	2	1034
165	25	3	1035
166	25	4	1036
167	25	5	1037
168	25	6	1038
169	25	7	1039
170	26	0	1064
171	26	1	1065
172	26	2	1066
173	26	3	1067
174	26	4	1068
175	26	5	1069
176	26	6	1070
177	26	7	1071
178	26	8	1072
179	26	9	1073
180	26	10	1074
181	26	11	1075
182	26	12	1076
183	26	13	1077
184	26	14	1078
185	26	15	1079
186	27	0	1128
187	27	1	1129
188	27	2	1130
189	27	3	1131
190	27	4	1132
191	27	5	1133
192	27	6	1134
193	27	7	1135
194	27	8	1136
195	27	9	1137
196	27	10	1138
197	27	11	1139
198	27	12	1140
199	27	13	1141
200	27	14	1142
201	27	15	1143
202	28	0	1192
203	28	1	1193
204	28	2	1194
205	28	3	1195
206	28	4	1196
207	28	5	1197
208	28	6	1198
209	28	7	1199
210	0	0	30
211	0	1	31
212	0	2	32
213	0	3	33
214	0	4	34
215	0	5	35
216	0	6	36
217	0	7	37
218	2	4294967295	63
219	5	0	193
220	4	127	192
221	6	4294967295	257
222	7	4294967295	258
223	8	0	259
224	8	1	260
225	8	2	261
226	8	3	262
227	8	4	263
228	8	5	264
229	8	6	265
230	8	7	266
231	8	8	267
232	8	9	268
233	8	10	269
234	8	11	270
235	8	12	271
236	8	13	272
237	8	14	273
238	8	15	274
239	8	16	275
240	8	17	276
241	8	18	277
242	8	19	278
243	8	20	279
244	8	21	280
245	8	22	281
246	8	23	282
247	8	24	283
248	8	25	284
249	8	26	285
250	8	27	286
251	8	28	287
252	8	29	288
253	8	30	289
254	8	31	290
255	9	0	387
256	9	1	388
257	9	2	389
258	9	3	390
259	9	4	391
260	9	5	392
261	9	6	393
262	9	7	394
263	10	0	419
264	10	1	420
265	10	2	421
266	10	3	422
267	10	4	423
268	10	5	424
269	10	6	425
270	10	7	426
271	11	0	451
272	11	1	452
273	11	2	453
274	11	3	454
275	11	4	455
276	11	5	456
277	11	6	457
278	11	7	458
279	11	8	459
280	11	9	460
281	11	10	461
282	11	11	462
283	11	12	463
284	11	13	464
285	11	14	465
286	11	15	466
287	12	0	515
288	12	1	516
289	12	2	517
290	12	3	518
291	12	4	519
292	12	5	520
293	12	6	521
294	12	7	522
295	12	8	523
296	12	9	524
297	12	10	525
298	12	11	526
299	12	12	527
300	12	13	528
301	12	14	529
302	12	15	530
303	13	0	579
304	13	1	580
305	13	2	581
306	13	3	582
307	13	4	583
308	13	5	584
309	13	6	585
310	13	7	586
311	14	0	611
312	14	1	612
313	14	2	613
314	14	3	614
315	14	4	615
316	14	5	616
317	14	6	617
318	14	7	618
319	15	0	643
320	15	1	644
321	15	2	645
322	15	3	646
323	15	4	647
324	15	5	648
325	15	6	649
326	15	7	650
