event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	0	0	4	1789584596407119872
31	0	1	4	1789584596407119872
32	0	2	4	1789584596407119872
33	0	3	4	1789584596407119872
34	0	4	4	1789584596407119872
35	0	5	4	1789584596407119872
36	0	6	4	1789584596407119872
37	0	7	4	1789584596407119872
38	0	8	4	1789584596407119872
39	0	9	4	1789584596407119872
40	0	10	4	1789584596407119872
41	0	11	4	1789584596407119872
42	0	12	4	1789584596407119872
43	0	13	4	1789584596407119872
44	0	14	4	1789584596407119872
45	0	15	4	1789584596407119872
46	0	16	4	1789584596407119872
47	0	17	4	1789584596407119872
48	0	18	4	1789584596407119872
49	0	19	4	1789584596407119872
50	0	20	4	1789584596407119872
51	0	21	4	1789584596407119872
52	0	22	4	1789584596407119872
53	0	23	4	1789584596407119872
54	0	24	4	1789584596407119872
55	0	25	4	1789584596407119872
56	0	26	4	1789584596407119872
57	0	27	4	1789584596407119872
58	0	28	4	1789584596407119872
59	0	29	4	1789584596407119872
60	0	30	4	1789584596407119872
61	0	31	4	1789584596407119872
62	1	4294967295	128	1789584596407156736
63	2	4294967295	64	1789584596407139328
64	3	4294967295	64	1789584596407163904
65	4	0	4	1789584596407169024
66	4	1	4	1789584596407169024
67	4	2	4	1789584596407170048
68	4	3	4	1789584596407169024
69	4	4	4	1789584596407169024
70	4	5	4	1789584596407171072
71	4	6	4	1789584596407170048
72	4	7	4	1789584596407168000
73	4	8	4	1789584596407169024
74	4	9	4	1789584596407170048
75	4	10	4	1789584596407169024
76	4	11	4	1789584596407169024
77	4	12	4	1789584596407169024
78	4	13	4	1789584596407169024
79	4	14	4	1789584596407169024
80	4	15	4	1789584596407169024
81	4	16	4	1789584596407158784
82	4	17	4	1789584596407158784
83	4	18	4	1789584596407158784
84	4	19	4	1789584596407158784
85	4	20	4	1789584596407158784
86	4	21	4	1789584596407158784
87	4	22	4	1789584596407158784
88	4	23	4	1789584596407158784
89	4	24	4	1789584596407158784
90	4	25	4	1789584596407158784
91	4	26	4	1789584596407158784
92	4	27	4	1789584596407158784
93	4	28	4	1789584596407158784
94	4	29	4	1789584596407158784
95	4	30	4	1789584596407158784
96	4	31	4	1789584596407158784
97	4	32	4	1789584596407158784
98	4	33	4	1789584596407158784
99	4	34	4	1789584596407158784
100	4	35	4	1789584596407158784
101	4	36	4	1789584596407158784
102	4	37	4	1789584596407158784
103	4	38	4	1789584596407158784
104	4	39	4	1789584596407158784
105	4	40	4	1789584596407158784
106	4	41	4	1789584596407158784
107	4	42	4	1789584596407158784
108	4	43	4	1789584596407158784
109	4	44	4	1789584596407158784
110	4	45	4	1789584596407158784
111	4	46	4	1789584596407159808
112	4	47	4	1789584596407158784
113	4	48	4	1789584596407158784
114	4	49	4	1789584596407158784
115	4	50	4	1789584596407158784
116	4	51	4	1789584596407159808
117	4	52	4	1789584596407158784
118	4	53	4	1789584596407158784
119	4	54	4	1789584596407159808
120	4	55	4	1789584596407158784
121	4	56	4	1789584596407158784
122	4	57	4	1789584596407158784
123	4	58	4	1789584596407158784
124	4	59	4	1789584596407158784
125	4	60	4	1789584596407159808
126	4	61	4	1789584596407158784
127	4	62	4	1789584596407158784
128	4	63	4	1789584596407158784
129	4	64	4	1789584596407158784
130	4	65	4	1789584596407158784
131	4	66	4	1789584596407158784
132	4	67	4	1789584596407158784
133	4	68	4	1789584596407158784
134	4	69	4	1789584596407158784
135	4	70	4	1789584596407158784
