slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789584406189949952	1789584406189949952	1789584406189949952	1789584406189952000	1789584406189954048	0	0	0	0	54764724739625	54764724745297
1	0	3	0	0	1789584406189954048	1789584406189955072	1789584406189955072	1789584406189959168	1789584406189960192	0	3	2	1	54764724751975	54764724761024
2	0	4	0	0	1789584406189960192	1789584406189962240	1789584406189962240	1789584406189963264	1789584406189965312	3	3	3	1	54764724769352	54764724773591
3	0	8	0	0	1789584406189965312	1789584406189966336	1789584406189967360	1789584406189968384	1789584406189969408	6	1	7	1	54764724781498	54764724784202
4	0	9	0	0	1789584406189969408	1789584406189969408	1789584406189969408	1789584406189970432	1789584406189972480	7	0	8	1	54764724788985	54764724790881
5	0	11	12	0	1789584406189972480	1789584406189973504	1789584406189973504	1789584406189977600	1789584406189978624	7	3	10	3	54764724798237	54764724808936
6	0	12	0	0	1789584406189979648	1789584406189980672	1789584406189980672	1789584406189984768	1789584406189986816	10	1	13	1	54764724816828	54764724825862
7	0	13	0	0	1789584406189986816	1789584406189987840	1789584406189987840	1789584406189989888	1789584406189991936	11	3	14	1	54764724835182	54764724839363
8	0	14	0	0	1789584406189991936	1789584406189992960	1789584406189992960	1789584406189996032	1789584406189997056	14	31	15	1	54764724848079	54764724854560
9	0	15	0	0	1789584406189997056	1789584406189998080	1789584406189998080	1789584406190002176	1789584406190004224	45	3	16	1	54764724861177	54764724871223
10	0	16	0	0	1789584406190004224	1789584406190006272	1789584406190006272	1789584406190007296	1789584406190008320	48	3	17	1	54764724879617	54764724883127
11	0	19	0	0	1789584406190009344	1789584406190010368	1789584406190010368	1789584406190013440	1789584406190014464	51	127	20	2	54764724891518	54764724898941
12	0	20	0	0	1789584406190015488	1789584406190016512	1789584406190016512	1789584406190021632	1789584406190022656	178	3	22	2	54764724905863	54764724918342
13	0	21	0	0	1789584406190023680	1789584406190025728	1789584406190025728	1789584406190026752	1789584406190028800	181	3	24	1	54764724929748	54764724932891
14	0	22	0	0	1789584406190028800	1789584406190029824	1789584406190029824	1789584406190032896	1789584406190033920	184	31	25	1	54764724940754	54764724946430
15	0	25	0	0	1789584406190033920	1789584406190034944	1789584406190034944	1789584406190038016	1789584406190040064	215	3	28	1	54764724953169	54764724961553
16	0	26	0	0	1789584406190040064	1789584406190042112	1789584406190042112	1789584406190044160	1789584406190045184	218	3	29	1	54764724971404	54764724975755
17	0	30	0	0	1789584406190045184	1789584406190047232	1789584406190047232	1789584406190048256	1789584406190049280	221	1	33	1	54764724982771	54764724985527
18	0	31	0	0	1789584406190049280	1789584406190049280	1789584406190049280	1789584406190050304	1789584406190051328	222	0	34	1	54764724989768	54764724991663
19	0	33	12	0	1789584406190051328	1789584406190052352	1789584406190053376	1789584406190057472	1789584406190058496	222	3	36	3	54764724998063	54764725008274
20	0	34	0	0	1789584406190058496	1789584406190059520	1789584406190059520	1789584406190063616	1789584406190064640	225	1	39	2	54764725015238	54764725024504
21	0	35	0	0	1789584406190064640	1789584406190066688	1789584406190066688	1789584406190068736	1789584406190070784	226	3	41	1	54764725033605	54764725038790
22	0	36	0	0	1789584406190070784	1789584406190072832	1789584406190072832	1789584406190074880	1789584406190075904	229	31	42	1	54764725047045	54764725052339
23	0	37	0	0	1789584406190075904	1789584406190076928	1789584406190076928	1789584406190081024	1789584406190083072	260	3	43	1	54764725059136	54764725068860
24	0	38	0	0	1789584406190083072	1789584406190084096	1789584406190085120	1789584406190086144	1789584406190087168	263	3	44	1	54764725077751	54764725081454
