slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789584276563081216	1789584276563081216	1789584276563081216	1789584276563083264	1789584276563085312	0	0	0	0	54733736008692	54733736014740
1	0	3	0	0	1789584276563085312	1789584276563086336	1789584276563086336	1789584276563089408	1789584276563091456	0	3	2	1	54733736021371	54733736030406
2	0	4	0	0	1789584276563091456	1789584276563093504	1789584276563093504	1789584276563095552	1789584276563096576	3	3	3	1	54733736040368	54733736044171
3	0	8	0	0	1789584276563096576	1789584276563097600	1789584276563097600	1789584276563098624	1789584276563100672	6	1	7	1	54733736050834	54733736053567
4	0	9	0	0	1789584276563100672	1789584276563100672	1789584276563100672	1789584276563101696	1789584276563102720	7	0	8	1	54733736058195	54733736060368
5	0	11	12	0	1789584276563102720	1789584276563103744	1789584276563103744	1789584276563108864	1789584276563109888	7	3	10	3	54733736066153	54733736077686
6	0	12	0	0	1789584276563109888	1789584276563111936	1789584276563111936	1789584276563116032	1789584276563117056	10	1	13	1	54733736086823	54733736096132
7	0	13	0	0	1789584276563118080	1789584276563120128	1789584276563121152	1789584276563122176	1789584276563124224	11	3	14	1	54733736107847	54733736111699
8	0	14	0	0	1789584276563124224	1789584276563125248	1789584276563126272	1789584276563127296	1789584276563129344	14	31	15	1	54733736120757	54733736125726
9	0	15	0	0	1789584276563130368	1789584276563131392	1789584276563131392	1789584276563135488	1789584276563137536	45	3	16	1	54733736134635	54733736144453
10	0	16	0	0	1789584276563137536	1789584276563139584	1789584276563140608	1789584276563141632	1789584276563143680	48	3	17	1	54733736156587	54733736160334
11	0	19	0	0	1789584276563143680	1789584276563144704	1789584276563144704	1789584276563147776	1789584276563149824	51	127	20	2	54733736168654	54733736175979
12	0	20	0	0	1789584276563149824	1789584276563149824	1789584276563150848	1789584276563155968	1789584276563158016	178	3	22	2	54733736182532	54733736196288
13	0	21	0	0	1789584276563158016	1789584276563161088	1789584276563161088	1789584276563163136	1789584276563165184	181	3	24	1	54733736210429	54733736215371
14	0	22	0	0	1789584276563165184	1789584276563166208	1789584276563167232	1789584276563169280	1789584276563170304	184	31	25	1	54733736223699	54733736229608
15	0	25	0	0	1789584276563171328	1789584276563171328	1789584276563172352	1789584276563175424	1789584276563177472	215	3	28	1	54733736236704	54733736245817
16	0	26	0	0	1789584276563177472	1789584276563179520	1789584276563179520	1789584276563181568	1789584276563183616	218	3	29	1	54733736256627	54733736261075
