slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789584991512477696	1789584991512477696	1789584991512477696	1789584991512479744	1789584991512480768	0	0	0	0	54911438369307	54911438374751
1	0	3	0	0	1789584991512480768	1789584991512481792	1789584991512481792	1789584991512485888	1789584991512486912	0	3	2	1	54911438380524	54911438390136
2	0	3	4	0	1789584991512486912	1789584991512486912	1789584991512486912	1789584991512489984	1789584991512491008	3	0	2	1	54911438394543	54911438401739
3	0	3	8	0	1789584991512491008	1789584991512492032	1789584991512492032	1789584991512494080	1789584991512496128	3	0	2	1	54911438406625	54911438414317
4	0	3	12	0	1789584991512496128	1789584991512496128	1789584991512496128	1789584991512499200	1789584991512500224	3	0	2	1	54911438419623	54911438426328
5	0	3	16	0	1789584991512500224	1789584991512500224	1789584991512500224	1789584991512503296	1789584991512504320	3	0	2	1	54911438431773	54911438438716
6	0	3	20	0	1789584991512504320	1789584991512504320	1789584991512504320	1789584991512507392	1789584991512508416	3	0	2	1	54911438442968	54911438450157
7	0	3	24	0	1789584991512508416	1789584991512508416	1789584991512508416	1789584991512511488	1789584991512512512	3	0	2	1	54911438454184	54911438462352
8	0	3	28	0	1789584991512512512	1789584991512513536	1789584991512513536	1789584991512516608	1789584991512517632	3	0	2	1	54911438466869	54911438474942
9	0	3	32	0	1789584991512517632	1789584991512517632	1789584991512518656	1789584991512520704	1789584991512522752	3	0	2	1	54911438480559	54911438488120
10	0	3	36	0	1789584991512522752	1789584991512522752	1789584991512522752	1789584991512525824	1789584991512526848	3	0	2	1	54911438494042	54911438501566
11	0	3	40	0	1789584991512527872	1789584991512527872	1789584991512527872	1789584991512529920	1789584991512531968	3	0	2	1	54911438506610	54911438513572
12	0	3	44	0	1789584991512531968	1789584991512531968	1789584991512531968	1789584991512535040	1789584991512536064	3	0	2	1	54911438519266	54911438525828
13	0	3	48	0	1789584991512536064	1789584991512536064	1789584991512537088	1789584991512539136	1789584991512540160	3	0	2	1	54911438531551	54911438538420
14	0	3	52	0	1789584991512540160	1789584991512540160	1789584991512541184	1789584991512544256	1789584991512545280	3	0	2	1	54911438542755	54911438551149
15	0	3	56	0	1789584991512545280	1789584991512545280	1789584991512545280	1789584991512548352	1789584991512549376	3	0	2	1	54911438554541	54911438563352
16	0	3	60	0	1789584991512549376	1789584991512549376	1789584991512549376	1789584991512552448	1789584991512554496	3	0	2	1	54911438567346	54911438576059
17	0	3	64	0	1789584991512554496	1789584991512554496	1789584991512554496	1789584991512557568	1789584991512558592	3	0	2	1	54911438581484	54911438589909
18	0	3	68	0	1789584991512559616	1789584991512559616	1789584991512559616	1789584991512562688	1789584991512563712	3	0	2	1	54911438594617	54911438602241
19	0	3	72	0	1789584991512563712	1789584991512563712	1789584991512563712	1789584991512566784	1789584991512567808	3	0	2	1	54911438607299	54911438614858
20	0	3	76	0	1789584991512567808	1789584991512567808	1789584991512568832	1789584991512570880	1789584991512571904	3	0	2	1	54911438619839	54911438626400
21	0	3	80	0	1789584991512571904	1789584991512571904	1789584991512572928	1789584991512574976	1789584991512577024	3	0	2	1	54911438630839	54911438638337
22	0	3	84	0	1789584991512577024	1789584991512577024	1789584991512577024	1789584991512580096	1789584991512581120	3	0	2	1	54911438642611	54911438650598
23	0	3	88	0	1789584991512581120	1789584991512581120	1789584991512581120	1789584991512584192	1789584991512585216	3	0	2	1	54911438655773	54911438662585
24	0	3	92	0	1789584991512585216	1789584991512585216	1789584991512585216	1789584991512588288	1789584991512589312	3	0	2	1	54911438667362	54911438674087
25	0	3	96	0	1789584991512589312	1789584991512589312	1789584991512589312	1789584991512592384	1789584991512593408	3	0	2	1	54911438678747	54911438685913
26	0	3	100	0	1789584991512593408	1789584991512593408	1789584991512593408	1789584991512596480	1789584991512598528	3	0	2	1	54911438689942	54911438698471
27	0	3	104	0	1789584991512598528	1789584991512598528	1789584991512598528	1789584991512601600	1789584991512602624	3	0	2	1	54911438702651	54911438711555
28	0	3	108	0	1789584991512602624	1789584991512603648	1789584991512603648	1789584991512605696	1789584991512606720	3	0	2	1	54911438716007	54911438722711
29	0	3	112	0	1789584991512606720	1789584991512607744	1789584991512607744	1789584991512609792	1789584991512610816	3	0	2	1	54911438727925	54911438734206
30	0	3	116	0	1789584991512610816	1789584991512610816	1789584991512611840	1789584991512613888	1789584991512614912	3	0	2	1	54911438738613	54911438746237
