wait_index	producer	group	event_index
0	0	1	89
1	0	2	90
2	0	3	91
3	3	1	222
4	3	2	223
5	3	3	224
6	4	4294967295	349
7	7	12	491
8	9	4294967295	511
9	10	4294967295	512
10	11	4294967295	513
11	12	1	515
12	12	2	516
13	12	3	517
14	66	0	4270
15	66	1	4271
16	66	2	4272
17	66	3	4273
18	69	124	4527
19	69	125	4528
20	69	126	4529
21	70	4294967295	4531
22	80	0	4856
23	80	1	4857
24	80	2	4858
25	80	3	4859
26	79	0	4824
27	85	0	5500
28	85	1	5501
29	85	2	5502
30	85	3	5503
31	0	0	88
32	0	2	90
33	0	3	91
34	3	4	225
35	3	5	226
36	3	6	227
37	3	7	228
38	4	4294967295	349
39	7	13	492
40	9	4294967295	511
41	10	4294967295	512
42	11	4294967295	513
43	12	4	518
44	12	5	519
45	12	6	520
46	12	7	521
47	13	0	642
48	13	2	644
49	13	3	645
50	13	4	646
51	13	5	647
52	13	6	648
53	13	7	649
54	13	8	650
55	13	9	651
56	13	10	652
57	13	11	653
58	13	12	654
59	13	13	655
60	13	14	656
61	13	15	657
62	13	16	658
63	13	17	659
64	13	18	660
65	13	19	661
66	13	20	662
67	13	21	663
68	13	22	664
69	13	23	665
70	13	24	666
71	13	25	667
72	13	26	668
73	13	27	669
74	13	28	670
75	13	29	671
76	13	30	672
77	13	31	673
78	14	1	675
79	14	2	676
80	14	3	677
81	17	252	1250
82	17	253	1251
83	17	254	1252
84	80	0	4856
85	80	1	4857
86	80	2	4858
87	80	3	4859
88	79	1	4825
89	85	0	5500
90	85	1	5501
91	85	2	5502
92	85	3	5503
93	0	0	88
94	0	1	89
95	0	3	91
96	3	8	229
97	3	9	230
98	3	10	231
99	3	11	232
100	4	4294967295	349
101	7	14	493
102	9	4294967295	511
103	10	4294967295	512
104	11	4294967295	513
105	12	8	522
106	12	9	523
107	12	10	524
108	12	11	525
109	13	0	642
110	13	1	643
111	13	3	645
112	13	4	646
113	13	5	647
114	13	6	648
115	13	7	649
116	13	8	650
117	13	9	651
118	13	10	652
119	13	11	653
120	13	12	654
121	13	13	655
122	13	14	656
123	13	15	657
124	13	16	658
125	13	17	659
126	13	18	660
127	13	19	661
128	13	20	662
129	13	21	663
130	13	22	664
131	13	23	665
132	13	24	666
133	13	25	667
134	13	26	668
135	13	27	669
136	13	28	670
137	13	29	671
138	13	30	672
139	13	31	673
140	14	0	674
141	14	2	676
142	14	3	677
143	15	0	678
144	15	2	680
145	15	3	681
146	16	1	935
147	16	2	936
148	16	3	937
149	16	4	938
150	16	5	939
151	16	6	940
152	16	7	941
153	16	8	942
154	16	9	943
155	16	10	944
156	16	11	945
157	16	12	946
158	16	13	947
159	16	14	948
160	16	15	949
161	16	16	950
162	16	17	951
163	16	18	952
164	16	19	953
165	16	20	954
166	16	21	955
167	16	22	956
168	16	23	957
169	16	24	958
170	16	25	959
171	16	26	960
172	16	27	961
173	16	28	962
174	16	29	963
175	16	30	964
176	16	31	965
177	16	32	966
178	16	33	967
179	16	34	968
180	16	35	969
181	16	36	970
182	16	37	971
183	16	38	972
184	16	39	973
185	16	40	974
186	16	41	975
187	16	42	976
188	16	43	977
189	16	44	978
190	16	45	979
191	16	46	980
192	16	47	981
193	16	48	982
194	16	49	983
195	16	50	984
196	16	51	985
197	16	52	986
198	16	53	987
199	16	54	988
200	16	55	989
201	16	56	990
202	16	57	991
203	16	58	992
204	16	59	993
205	16	60	994
206	16	61	995
207	16	62	996
208	16	63	997
209	18	0	1254
210	18	1	1255
211	18	2	1256
212	18	3	1257
213	18	4	1258
214	18	5	1259
215	18	6	1260
216	18	7	1261
217	18	8	1262
218	18	9	1263
219	18	10	1264
