wait_index	producer	group	event_index
0	2	4294967295	220
1	15	160	838
2	15	161	839
3	15	162	840
4	15	163	841
5	22	0	1482
6	22	1	1483
7	22	2	1484
8	22	3	1485
9	28	4294967295	1872
10	37	176	2248
11	37	177	2249
12	37	178	2250
13	37	179	2251
14	44	0	2876
15	44	1	2877
16	44	2	2878
17	44	3	2879
18	50	4294967295	3266
19	59	192	3658
20	59	193	3659
21	59	194	3660
22	59	195	3661
23	66	0	4270
24	66	1	4271
25	66	2	4272
26	66	3	4273
27	72	4294967295	4660
28	81	208	5068
29	81	209	5069
30	81	210	5070
31	81	211	5071
32	2	4294967295	220
33	15	164	842
34	15	165	843
35	15	166	844
36	15	167	845
37	22	0	1482
38	22	1	1483
39	22	2	1484
40	22	3	1485
41	28	4294967295	1872
42	37	180	2252
43	37	181	2253
44	37	182	2254
45	37	183	2255
46	44	0	2876
47	44	1	2877
48	44	2	2878
49	44	3	2879
50	50	4294967295	3266
51	59	196	3662
52	59	197	3663
53	59	198	3664
54	59	199	3665
55	66	0	4270
56	66	1	4271
57	66	2	4272
58	66	3	4273
59	72	4294967295	4660
60	81	212	5072
61	81	213	5073
62	81	214	5074
63	81	215	5075
64	2	4294967295	220
65	15	168	846
66	15	169	847
67	15	170	848
68	15	171	849
69	22	0	1482
70	22	1	1483
71	22	2	1484
72	22	3	1485
73	28	4294967295	1872
74	37	184	2256
75	37	185	2257
76	37	186	2258
77	37	187	2259
78	44	0	2876
79	44	1	2877
80	44	2	2878
81	44	3	2879
82	50	4294967295	3266
83	59	200	3666
84	59	201	3667
85	59	202	3668
86	59	203	3669
87	66	0	4270
88	66	1	4271
89	66	2	4272
90	66	3	4273
91	72	4294967295	4660
92	81	216	5076
93	81	217	5077
94	81	218	5078
95	81	219	5079
96	2	4294967295	220
97	15	172	850
98	15	173	851
99	15	174	852
100	15	175	853
101	22	0	1482
102	22	1	1483
103	22	2	1484
104	22	3	1485
105	28	4294967295	1872
106	37	188	2260
107	37	189	2261
108	37	190	2262
109	37	191	2263
110	44	0	2876
111	44	1	2877
112	44	2	2878
113	44	3	2879
114	50	4294967295	3266
115	59	204	3670
116	59	205	3671
117	59	206	3672
118	59	207	3673
119	66	0	4270
120	66	1	4271
121	66	2	4272
122	66	3	4273
123	72	4294967295	4660
124	81	220	5080
125	81	221	5081
126	81	222	5082
127	81	223	5083
128	0	0	88
129	0	1	89
130	0	2	90
131	0	3	91
132	6	4294967295	478
133	15	176	854
134	15	177	855
135	15	178	856
136	15	179	857
137	22	0	1482
138	22	1	1483
139	22	2	1484
140	22	3	1485
141	28	4294967295	1872
142	37	192	2264
143	37	193	2265
144	37	194	2266
145	37	195	2267
146	44	0	2876
147	44	1	2877
148	44	2	2878
149	44	3	2879
150	50	4294967295	3266
151	59	208	3674
152	59	209	3675
153	59	210	3676
154	59	211	3677
155	66	0	4270
156	66	1	4271
157	66	2	4272
158	66	3	4273
159	72	4294967295	4660
160	81	224	5084
161	81	225	5085
162	81	226	5086
163	81	227	5087
164	0	0	88
165	0	1	89
166	0	2	90
167	0	3	91
168	6	4294967295	478
169	15	180	858
170	15	181	859
171	15	182	860
172	15	183	861
173	22	0	1482
174	22	1	1483
175	22	2	1484
176	22	3	1485
177	28	4294967295	1872
178	37	196	2268
179	37	197	2269
180	37	198	2270
181	37	199	2271
182	44	0	2876
183	44	1	2877
184	44	2	2878
185	44	3	2879
186	50	4294967295	3266
187	59	212	3678
188	59	213	3679
189	59	214	3680
190	59	215	3681
191	66	0	4270
192	66	1	4271
193	66	2	4272
194	66	3	4273
195	72	4294967295	4660
196	81	228	5088
197	81	229	5089
198	81	230	5090
199	81	231	5091
200	0	0	88
201	0	1	89
202	0	2	90
203	0	3	91
204	6	4294967295	478
205	15	184	862
206	15	185	863
207	15	186	864
208	15	187	865
209	22	0	1482
210	22	1	1483
211	22	2	1484
212	22	3	1485
213	28	4294967295	1872
214	37	200	2272
215	37	201	2273
216	37	202	2274
217	37	203	2275
218	44	0	2876
219	44	1	2877
220	44	2	2878
221	44	3	2879
222	50	4294967295	3266
223	59	216	3682
224	59	217	3683
225	59	218	3684
226	59	219	3685
227	66	0	4270
228	66	1	4271
229	66	2	4272
230	66	3	4273
231	72	4294967295	4660
232	81	232	5092
233	81	233	5093
234	81	234	5094
235	81	235	5095
236	0	0	88
237	0	1	89
238	0	2	90
239	0	3	91
240	6	4294967295	478
241	15	188	866
242	15	189	867
243	15	190	868
244	15	191	869
245	22	0	1482
246	22	1	1483
247	22	2	1484
248	22	3	1485
249	28	4294967295	1872
250	37	204	2276
251	37	205	2277
252	37	206	2278
253	37	207	2279
254	44	0	2876
255	44	1	2877
256	44	2	2878
257	44	3	2879
258	50	4294967295	3266
259	59	220	3686
260	59	221	3687
261	59	222	3688
262	59	223	3689
263	66	0	4270
264	66	1	4271
265	66	2	4272
266	66	3	4273
267	72	4294967295	4660
268	81	236	5096
269	81	237	5097
270	81	238	5098
271	81	239	5099
272	0	0	88
273	0	1	89
274	0	2	90
275	0	3	91
276	6	4294967295	478
277	15	192	870
278	15	193	871
279	15	194	872
280	15	195	873
281	22	0	1482
282	22	1	1483
283	22	2	1484
284	22	3	1485
285	28	4294967295	1872
286	37	208	2280
287	37	209	2281
288	37	210	2282
289	37	211	2283
290	44	0	2876
291	44	1	2877
292	44	2	2878
293	44	3	2879
294	50	4294967295	3266
295	59	224	3690
296	59	225	3691
297	59	226	3692
298	59	227	3693
299	66	0	4270
300	66	1	4271
301	66	2	4272
302	66	3	4273
303	74	0	4677
304	81	240	5100
305	81	241	5101
306	81	242	5102
307	81	243	5103
308	0	0	88
309	0	1	89
310	0	2	90
311	0	3	91
312	6	4294967295	478
313	15	196	874
314	15	197	875
315	15	198	876
316	15	199	877
317	22	0	1482
318	22	1	1483
319	22	2	1484
320	22	3	1485
321	28	4294967295	1872
322	37	212	2284
323	37	213	2285
324	37	214	2286
325	37	215	2287
326	44	0	2876
327	44	1	2877
328	44	2	2878
329	44	3	2879
330	50	4294967295	3266
331	59	228	3694
332	59	229	3695
333	59	230	3696
334	59	231	3697
335	66	0	4270
336	66	1	4271
337	66	2	4272
338	66	3	4273
339	74	1	4678
340	81	244	5104
341	81	245	5105
342	81	246	5106
343	81	247	5107
344	0	0	88
345	0	1	89
346	0	2	90
347	0	3	91
348	6	4294967295	478
349	15	200	878
350	15	201	879
351	15	202	880
352	15	203	881
353	22	0	1482
354	22	1	1483
355	22	2	1484
356	22	3	1485
357	28	4294967295	1872
358	37	216	2288
359	37	217	2289
360	37	218	2290
361	37	219	2291
362	44	0	2876
363	44	1	2877
364	44	2	2878
365	44	3	2879
366	50	4294967295	3266
367	59	232	3698
368	59	233	3699
369	59	234	3700
370	59	235	3701
371	66	0	4270
372	66	1	4271
373	66	2	4272
374	66	3	4273
375	74	2	4679
376	81	248	5108
377	81	249	5109
378	81	250	5110
379	81	251	5111
380	0	0	88
381	0	1	89
382	0	2	90
383	0	3	91
384	6	4294967295	478
