slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789648458902221824	1789648458902221824	1789648458902221824	1789648458902232064	1789648458902233088	0	0	0	0	62662957025640	62662957051306
1	0	3	0	0	1789648458902233088	1789648458902234112	1789648458902234112	1789648458902263808	1789648458902265856	0	1	2	1	62662957057923	62662957131087
2	0	1	256	0	1789648458902266880	1789648458902266880	1789648458902266880	1789648458902290432	1789648458902291456	1	0	0	1	62662957139025	62662957196864
3	0	4	0	0	1789648458902291456	1789648458902293504	1789648458902293504	1789648458902302720	1789648458902303744	1	4	3	1	62662957204945	62662957227458
4	0	8	0	0	1789648458902303744	1789648458902304768	1789648458902304768	1789648458902306816	1789648458902307840	5	1	7	1	62662957234654	62662957237405
5	0	7	96	0	1789648458902307840	1789648458902316032	1789648458902316032	1789648458902317056	1789648458902319104	6	1	6	1	62662957261987	62662957264996
6	0	11	96	0	1789648458902319104	1789648458902320128	1789648458902320128	1789648458902324224	1789648458902325248	7	3	10	3	62662957272347	62662957282818
7	0	12	0	0	1789648458902326272	1789648458902326272	1789648458902327296	1789648458902354944	1789648458902356992	10	1	13	1	62662957289178	62662957360812
8	0	12	384	0	1789648458902356992	1789648458902356992	1789648458902356992	1789648458902369280	1789648458902370304	11	0	13	1	62662957365049	62662957394550
9	0	13	24	0	1789648458902370304	1789648458902373376	1789648458902373376	1789648458902383616	1789648458902384640	11	4	14	1	62662957406556	62662957430628
10	0	14	0	0	1789648458902384640	1789648458902385664	1789648458902385664	1789648458902400000	1789648458902401024	15	8	15	1	62662957437085	62662957472245
11	0	15	0	0	1789648458902401024	1789648458902402048	1789648458902402048	1789648458902429696	1789648458902431744	23	1	16	1	62662957478369	62662957548296
12	0	15	384	0	1789648458902431744	1789648458902431744	1789648458902431744	1789648458902458368	1789648458902460416	24	0	16	1	62662957552760	62662957619543
13	0	15	768	0	1789648458902460416	1789648458902460416	1789648458902460416	1789648458902484992	1789648458902487040	24	0	16	1	62662957624694	62662957685025
14	0	15	1152	0	1789648458902487040	1789648458902487040	1789648458902487040	1789648458902511616	1789648458902514688	24	0	16	1	62662957691940	62662957753002
15	0	15	1536	0	1789648458902514688	1789648458902514688	1789648458902514688	1789648458902538240	1789648458902540288	24	0	16	1	62662957760863	62662957819969
16	0	17	128	0	1789648458902540288	1789648458902541312	1789648458902541312	1789648458902563840	1789648458902565888	24	0	18	1	62662957826982	62662957883654
17	0	17	512	0	1789648458902565888	1789648458902565888	1789648458902565888	1789648458902590464	1789648458902593536	24	0	18	1	62662957890010	62662957952069
18	0	17	896	0	1789648458902593536	1789648458902593536	1789648458902594560	1789648458902619136	1789648458902622208	24	0	18	1	62662957960661	62662958022558
19	0	17	1280	0	1789648458902622208	1789648458902622208	1789648458902622208	1789648458902646784	1789648458902649856	24	0	18	1	62662958032120	62662958093115
20	0	17	1664	0	1789648458902649856	1789648458902649856	1789648458902649856	1789648458902668288	1789648458902669312	24	0	18	1	62662958101988	62662958147013
21	0	18	104	0	1789648458902670336	1789648458902677504	1789648458902677504	1789648458902686720	1789648458902687744	24	4	19	1	62662958171210	62662958193509
22	0	19	0	0	1789648458902687744	1789648458902688768	1789648458902689792	1789648458902722560	1789648458902724608	28	56	20	2	62662958200536	62662958285350
23	0	20	0	0	1789648458902724608	1789648458902725632	1789648458902725632	1789648458902822912	1789648458902824960	84	1	22	2	62662958292846	62662958537079
24	0	20	384	0	1789648458902824960	1789648458902824960	1789648458902824960	1789648458902862848	1789648458902863872	85	0	22	2	62662958541804	62662958635761
25	0	21	24	0	1789648458902863872	1789648458902872064	1789648458902872064	1789648458902881280	1789648458902882304	85	4	24	1	62662958659376	62662958683990
26	0	22	0	0	1789648458902882304	1789648458902883328	1789648458902883328	1789648458902897664	1789648458902898688	89	8	25	1	62662958689383	62662958724065
27	0	25	0	0	1789648458902898688	1789648458902899712	1789648458902899712	1789648458902926336	1789648458902928384	97	1	28	1	62662958729947	62662958797071
28	0	23	256	0	1789648458902928384	1789648458902928384	1789648458902928384	1789648458902953984	1789648458902955008	98	0	26	1	62662958801741	62662958864055
29	0	26	0	0	1789648458902955008	1789648458902957056	1789648458902957056	1789648458902966272	1789648458902967296	98	4	29	1	62662958873044	62662958896700
30	0	30	0	0	1789648458902968320	1789648458902970368	1789648458902970368	1789648458902971392	1789648458902972416	102	1	33	1	62662958906346	62662958909028
31	0	29	96	0	1789648458902972416	1789648458902980608	1789648458902980608	1789648458902981632	1789648458902983680	103	1	32	1	62662958933497	62662958935988
32	0	33	96	0	1789648458902983680	1789648458902984704	1789648458902984704	1789648458902989824	1789648458902990848	104	3	36	3	62662958943190	62662958954655
33	0	34	0	0	1789648458902990848	1789648458902991872	1789648458902991872	1789648458903020544	1789648458903021568	107	1	39	2	62662958961011	62662959031520
34	0	34	384	0	1789648458903021568	1789648458903021568	1789648458903021568	1789648458903033856	1789648458903034880	108	0	39	2	62662959036239	62662959065992
35	0	35	24	0	1789648458903034880	1789648458903037952	1789648458903037952	1789648458903048192	1789648458903049216	108	4	41	1	62662959075755	62662959101658
36	0	36	0	0	1789648458903049216	1789648458903050240	1789648458903051264	1789648458903064576	1789648458903065600	112	8	42	1	62662959108747	62662959142643
37	0	37	0	0	1789648458903065600	1789648458903066624	1789648458903066624	1789648458903095296	1789648458903096320	120	1	43	1	62662959149279	62662959219953
38	0	37	384	0	1789648458903096320	1789648458903097344	1789648458903097344	1789648458903123968	1789648458903126016	121	0	43	1	62662959224645	62662959292820
39	0	37	768	0	1789648458903126016	1789648458903126016	1789648458903126016	1789648458903151616	1789648458903153664	121	0	43	1	62662959297980	62662959361491
40	0	37	1152	0	1789648458903153664	1789648458903153664	1789648458903153664	1789648458903177216	1789648458903180288	121	0	43	1	62662959366929	62662959427540
41	0	37	1536	0	1789648458903180288	1789648458903180288	1789648458903180288	1789648458903206912	1789648458903208960	121	0	43	1	62662959434854	62662959500867
