wait_index	producer	group	event_index
0	0	0	88
1	1	0	89
2	1	1	90
3	1	2	91
4	1	3	92
5	2	4294967295	217
6	8	0	316
7	7	0	284
8	9	4294967295	324
9	10	4294967295	325
10	11	4294967295	326
11	12	0	327
12	12	1	328
13	12	2	329
14	12	3	330
15	13	0	455
16	13	1	456
17	13	2	457
18	13	3	458
19	13	4	459
20	13	5	460
21	13	6	461
22	13	7	462
23	14	0	463
24	15	0	464
25	15	1	465
26	15	2	466
27	15	3	467
28	16	0	912
29	16	1	913
30	16	2	914
31	16	3	915
32	16	4	916
33	16	5	917
34	16	6	918
35	16	7	919
36	16	8	920
37	16	9	921
38	16	10	922
39	16	11	923
40	16	12	924
41	16	13	925
42	16	14	926
43	16	15	927
44	16	16	928
45	16	17	929
46	16	18	930
47	16	19	931
48	16	20	932
49	16	21	933
50	16	22	934
51	16	23	935
52	16	24	936
53	16	25	937
54	16	26	938
55	16	27	939
56	18	0	1388
57	18	1	1389
58	18	2	1390
59	18	3	1391
60	18	4	1392
61	18	5	1393
62	18	6	1394
63	18	7	1395
64	18	8	1396
65	18	9	1397
66	18	10	1398
67	18	11	1399
68	18	12	1400
69	18	13	1401
70	18	14	1402
71	18	15	1403
72	18	16	1404
73	18	17	1405
74	18	18	1406
75	18	19	1407
76	18	20	1408
77	18	21	1409
78	18	22	1410
79	18	23	1411
80	18	24	1412
81	18	25	1413
82	18	26	1414
83	18	27	1415
84	19	0	1416
85	20	0	1417
86	20	1	1418
87	20	2	1419
88	20	3	1420
89	21	0	1545
90	21	1	1546
91	21	2	1547
92	21	3	1548
93	21	4	1549
94	21	5	1550
95	21	6	1551
96	21	7	1552
97	22	0	1553
98	23	0	1554
99	23	1	1555
100	23	2	1556
101	23	3	1557
102	24	4294967295	1682
103	30	0	1781
104	29	0	1749
105	31	4294967295	1789
106	32	4294967295	1790
107	33	4294967295	1791
108	34	0	1792
109	34	1	1793
110	34	2	1794
111	34	3	1795
112	35	0	1920
113	35	1	1921
114	35	2	1922
115	35	3	1923
116	35	4	1924
117	35	5	1925
118	35	6	1926
119	35	7	1927
120	36	0	1928
121	37	0	1929
122	37	1	1930
