stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
0	serving.s0	embedding	1	0	2593.2482071016957	0	452.55348520000001	1066.5663189016957	1074.1284029999999
1	serving.s1	rmsnorm	1	2593.2482071016957	5823.8672929952954	0	835.17943409999998	1321.3112487936	1074.1284029999999
2	serving.s2	gemm	96	7059.2790939952956	27408.007841810479	169379.348256	269037.86419200001	1411944.4206542578	103116.326688
3	serving.s3	fused_attention	72	28643.419642810477	38269.920792756726	127034.5111919998	181414.20321280009	99261.596536197176	77337.245016000015
4	serving.s4	attention_merge	8	39505.332593756728	45166.199808198333	14114.945688	14690.269152000001	7888.6956515327911	8593.0272239999995
5	serving.s5	gemm	64	46401.611609198335	62505.138494113147	112919.565504	213461.75289599999	635500.18444254762	68744.217791999996
6	serving.s6	rmsnorm	1	63740.550295113149	68735.537592006745	1764.368211	835.17943409999998	1321.3112487936014	1074.1284029999999
7	serving.s7	swiglu_gemm	128	69970.94939300674	154901.89204552054	225839.131008	532697.23737600003	9975135.8555537648	137488.43558399999
8	serving.s8	gemm	64	156137.30384652055	202029.9018771798	112919.565504	213461.75289599999	2542000.7377701923	68744.217791999996
9	serving.s9	rmsnorm	1	203265.31367817981	208260.30097507339	1764.368211	835.17943409999998	1321.3112487935869	1074.1284029999999
10	serving.s10	gemm	96	209495.7127760734	229844.44152388858	169379.348256	269037.86419200001	1411944.4206542568	103116.326688
11	serving.s11	fused_attention	72	231079.85332488859	240706.35447483484	127034.5111919998	181414.20321280009	99261.596536196768	77337.245016000015
12	serving.s12	attention_merge	8	241941.76627583485	247602.63349027646	14114.945688	14690.269152000001	7888.6956515328493	8593.0272239999995
13	serving.s13	gemm	64	248838.04529127647	264941.57217619126	112919.565504	213461.75289599999	635500.18444254622	68744.217791999996
14	serving.s14	rmsnorm	1	266176.98397719127	271171.97127408488	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
15	serving.s15	swiglu_gemm	128	272407.38307508489	357338.32572759868	225839.131008	532697.23737600003	9975135.8555537686	137488.43558399999
16	serving.s16	gemm	64	358573.73752859869	404466.33555925795	112919.565504	213461.75289599999	2542000.7377701923	68744.217791999996
17	serving.s17	rmsnorm	1	405701.74736025796	410696.73465715157	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
18	serving.s18	gemm	96	411932.14645815158	432280.87520596676	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
19	serving.s19	fused_attention	72	433516.28700696677	443142.78815691301	127034.5111919998	181414.20321280009	99261.596536196768	77337.245016000015
20	serving.s20	attention_merge	8	444378.19995791302	450039.06717235461	14114.945688	14690.269152000001	7888.6956515326165	8593.0272239999995
21	serving.s21	gemm	64	451274.47897335462	467378.0058582694	112919.565504	213461.75289599999	635500.18444254622	68744.217791999996
22	serving.s22	rmsnorm	1	468613.41765926941	473608.40495616302	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
23	serving.s23	swiglu_gemm	128	474843.81675716303	559774.75940967677	225839.131008	532697.23737600003	9975135.8555537686	137488.43558399999
24	serving.s24	gemm	64	561010.17121067678	606902.76924133603	112919.565504	213461.75289599999	2542000.7377701923	68744.217791999996
25	serving.s25	rmsnorm	1	608138.18104233604	613133.16833922965	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
26	serving.s26	gemm	96	614368.58014022966	634717.30888804479	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
27	serving.s27	fused_attention	72	635952.7206890448	645579.22183899104	127034.5111919998	181414.20321280009	99261.596536198631	77337.245016000015
28	serving.s28	attention_merge	8	646814.63363999105	652475.50085443258	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
29	serving.s29	gemm	64	653710.91265543259	669814.43954034743	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
30	serving.s30	rmsnorm	1	671049.85134134744	676044.83863824105	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
31	serving.s31	swiglu_gemm	128	677280.25043924106	762211.1930917548	225839.131008	532697.23737600003	9975135.8555537611	137488.43558399999
32	serving.s32	gemm	64	763446.60489275481	809339.20292341406	112919.565504	213461.75289599999	2542000.7377701923	68744.217791999996
33	serving.s33	rmsnorm	1	810574.61472441407	815569.60202130768	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
34	serving.s34	gemm	96	816805.01382230769	837153.74257012282	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
35	serving.s35	fused_attention	72	838389.15437112283	848015.65552106907	127034.5111919998	181414.20321280009	99261.596536198631	77337.245016000015
36	serving.s36	attention_merge	8	849251.06732206908	854911.93453651061	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
37	serving.s37	gemm	64	856147.34633751062	872250.87322242546	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
38	serving.s38	rmsnorm	1	873486.28502342547	878481.27232031908	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
39	serving.s39	swiglu_gemm	128	879716.68412131909	964647.62677383283	225839.131008	532697.23737600003	9975135.8555537611	137488.43558399999
40	serving.s40	gemm	64	965883.03857483284	1011775.6366054921	112919.565504	213461.75289599999	2542000.7377701923	68744.217791999996
41	serving.s41	rmsnorm	1	1013011.0484064921	1018006.0357033857	1764.368211	835.17943409999998	1321.311248793616	1074.1284029999999
42	serving.s42	gemm	96	1019241.4475043857	1039590.1762522009	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
43	serving.s43	fused_attention	72	1040825.5880532009	1050452.0892031472	127034.5111919998	181414.20321280009	99261.596536198631	77337.245016000015
44	serving.s44	attention_merge	8	1051687.5010041471	1057348.3682185889	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
45	serving.s45	gemm	64	1058583.7800195888	1074687.3069045036	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
46	serving.s46	rmsnorm	1	1075922.7187055035	1080917.706002397	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
47	serving.s47	swiglu_gemm	128	1082153.1178033969	1167084.0604559109	225839.131008	532697.23737600003	9975135.855553776	137488.43558399999
48	serving.s48	gemm	64	1168319.4722569108	1214212.0702875699	112919.565504	213461.75289599999	2542000.7377701849	68744.217791999996
49	serving.s49	rmsnorm	1	1215447.4820885698	1220442.4693854633	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
50	serving.s50	gemm	96	1221677.8811864632	1242026.6099342785	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
51	serving.s51	fused_attention	72	1243262.0217352784	1252888.5228852245	127034.5111919998	181414.20321280009	99261.596536194906	77337.245016000015
52	serving.s52	attention_merge	8	1254123.9346862244	1259784.8019006662	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
53	serving.s53	gemm	64	1261020.2137016661	1277123.7405865809	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
54	serving.s54	rmsnorm	1	1278359.1523875808	1283354.1396844743	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
55	serving.s55	swiglu_gemm	128	1284589.5514854742	1369520.4941379882	225839.131008	532697.23737600003	9975135.855553776	137488.43558399999
56	serving.s56	gemm	64	1370755.9059389881	1416648.5039696472	112919.565504	213461.75289599999	2542000.7377701849	68744.217791999996
57	serving.s57	rmsnorm	1	1417883.9157706471	1422878.9030675406	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
58	serving.s58	gemm	96	1424114.3148685405	1444463.0436163559	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
59	serving.s59	fused_attention	72	1445698.4554173558	1455324.9565673019	127034.5111919998	181414.20321280009	99261.596536194906	77337.245016000015
60	serving.s60	attention_merge	8	1456560.3683683018	1462221.2355827435	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
61	serving.s61	gemm	64	1463456.6473837434	1479560.1742686583	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
62	serving.s62	rmsnorm	1	1480795.5860696582	1485790.5733665517	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
63	serving.s63	swiglu_gemm	128	1487025.9851675516	1571956.9278200655	225839.131008	532697.23737600003	9975135.855553776	137488.43558399999
64	serving.s64	gemm	64	1573192.3396210654	1619084.9376517246	112919.565504	213461.75289599999	2542000.7377701849	68744.217791999996
65	serving.s65	rmsnorm	1	1620320.3494527244	1625315.3367496179	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
66	serving.s66	gemm	96	1626550.7485506178	1646899.4772984332	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
67	serving.s67	fused_attention	72	1648134.8890994331	1657761.3902493792	127034.5111919998	181414.20321280009	99261.596536194906	77337.245016000015
68	serving.s68	attention_merge	8	1658996.8020503791	1664657.6692648209	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
69	serving.s69	gemm	64	1665893.0810658208	1681996.6079507356	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
