solver	model	seq	phase	count	total_ms
skeleton	bridge	64	cache_hit	1405628	0
skeleton	bridge	64	cache_miss	9212	0
skeleton	bridge	64	derive	46	1236.75
skeleton	bridge	64	flow	8198	13898.5
skeleton	bridge	64	flow_report	16	52.4183
skeleton	bridge	64	incremental_prepare	8215	20.0584
skeleton	bridge	64	incremental_space_hit	0	0
skeleton	bridge	64	instantiate	46	25.7022
skeleton	bridge	64	instantiate_and_derive	8169	102411
skeleton	bridge	64	materialize	16	3698.33
skeleton	bridge	64	megakernel_compile	3	386672
skeleton	bridge	64	piece_pricing_and_release	8215	1.47111e+06
skeleton	bridge	64	prepare_relations	46	91373
skeleton	bridge	64	price_cache_hit	0	0
skeleton	bridge	64	release_cache_hit	2695	0
skeleton	bridge	64	resource_probe	18056	11274
skeleton	bridge	64	search_evaluations	8198	0
skeleton	bridge	64	search_rounds	5	0
skeleton	bridge	64	simulate	16	139.563
skeleton	bridge	64	skeleton	16	11975.2
