stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
0	3	embedding	0	2107.2075435373108	0	440.32091100000002	592.75822953731085	1074.1284029999999	0
1	3	rmsnorm	2107.2075435373108	5096.4377398952111	0	843.63354040000002	1071.4682529579004	1074.1284029999999	0
2	127	gemm	6331.8495408952112	30096.891615950761	1764.368211	2788.1533880000002	18138.392073055551	1074.1284029999999	1235.411801
3	156	fused_attention	34792.823751350763	104123.99320888675	1764.368211	13668.33473	52824.338113535989	1074.1284029999999	1235.411801
4	31	attention_merge	105359.40500988674	110240.27297246794	1764.368211	1586.404417	455.96693158120615	1074.1284029999999	1235.411801
5	63	gemm	111475.68477346793	126652.70913519476	1764.368211	3090.9534960000001	9247.5742517268372	1074.1284029999999	1235.411801
6	3	rmsnorm	127888.12093619475	132641.71934355266	1764.368211	843.63354040000002	1071.4682529579004	1074.1284029999999	1235.411801
7	95	swiglu_gemm	133877.13114455267	195916.64204230538	1764.368211	4569.3484520000002	54631.665831752704	1074.1284029999999	1235.411801
8	63	gemm	197152.05384330539	230824.22670848592	1764.368211	3090.9534960000001	27742.722755180526	1074.1284029999999	1235.411801
9	3	rmsnorm	232059.63850948593	236813.23691684383	1764.368211	843.63354040000002	1071.4682529578859	1074.1284029999999	1235.411801
10	127	gemm	238048.64871784384	261813.6907928994	1764.368211	2788.1533880000002	18138.392073055555	1074.1284029999999	1235.411801
11	156	fused_attention	266509.62292829942	335840.79238583543	1764.368211	13668.33473	52824.33811353601	1074.1284029999999	1235.411801
12	31	attention_merge	337076.20418683544	341957.07214941666	1764.368211	1586.404417	455.96693158120615	1074.1284029999999	1235.411801
13	63	gemm	343192.48395041667	358369.5083121435	1764.368211	3090.9534960000001	9247.5742517268518	1074.1284029999999	1235.411801
14	3	rmsnorm	359604.92011314351	364358.51852050144	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
15	95	swiglu_gemm	365593.93032150145	427633.44121925416	1764.368211	4569.3484520000002	54631.665831752704	1074.1284029999999	1235.411801
16	63	gemm	428868.85302025417	462541.02588543465	1764.368211	3090.9534960000001	27742.722755180497	1074.1284029999999	1235.411801
17	3	rmsnorm	463776.43768643466	468530.03609379259	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
18	127	gemm	469765.4478947926	493530.48996984813	1764.368211	2788.1533880000002	18138.392073055555	1074.1284029999999	1235.411801
19	156	fused_attention	498226.42210524814	567557.59156278404	1764.368211	13668.33473	52824.338113535952	1074.1284029999999	1235.411801
20	31	attention_merge	568793.00336378405	573673.87132636516	1764.368211	1586.404417	455.96693158114795	1074.1284029999999	1235.411801
21	63	gemm	574909.28312736517	590086.307489092	1764.368211	3090.9534960000001	9247.5742517268518	1074.1284029999999	1235.411801
22	3	rmsnorm	591321.71929009201	596075.31769744982	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
23	95	swiglu_gemm	597310.72949844983	659350.24039620243	1764.368211	4569.3484520000002	54631.665831752704	1074.1284029999999	1235.411801
24	63	gemm	660585.65219720243	694257.82506238297	1764.368211	3090.9534960000001	27742.722755180555	1074.1284029999999	1235.411801
25	3	rmsnorm	695493.23686338298	700246.83527074079	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
26	127	gemm	701482.2470717408	725247.28914679622	1764.368211	2788.1533880000002	18138.392073055496	1074.1284029999999	1235.411801
27	156	fused_attention	729943.22128219611	799274.39073973207	1764.368211	13668.33473	52824.33811353601	1074.1284029999999	1235.411801
28	31	attention_merge	800509.80254073208	805390.67050331319	1764.368211	1586.404417	455.96693158114795	1074.1284029999999	1235.411801
