groups	q_bytes	stages	device_inflight_bytes	cta_inflight_bytes	gbps
1	2048	2	2048	2048	1.97563
1	2048	3	4096	4096	3.78714
1	2048	4	6144	6144	3.82824
1	4096	2	4096	4096	3.8125
1	4096	3	8192	8192	7.32409
1	4096	4	12288	12288	7.40241
1	8192	2	8192	8192	7.33156
1	8192	3	16384	16384	13.2028
1	8192	4	24576	24576	13.33
1	16384	2	16384	16384	15.2733
1	16384	3	32768	32768	22.1622
1	16384	4	49152	49152	22.1972
1	32768	2	32768	32768	20.6854
1	32768	3	65536	65536	33.4405
2	2048	2	4096	2048	3.97675
2	2048	3	8192	4096	7.53939
2	2048	4	12288	6144	7.61747
2	4096	2	8192	4096	7.55758
2	4096	3	16384	8192	13.7893
2	4096	4	24576	12288	15.6826
2	8192	2	16384	8192	13.8074
2	8192	3	32768	16384	29.2339
2	8192	4	49152	24576	29.6543
2	16384	2	32768	16384	28.3945
2	16384	3	65536	32768	53.3102
2	16384	4	98304	49152	53.579
2	32768	2	65536	32768	49.1684
2	32768	3	131072	65536	66.9798
4	2048	2	8192	2048	8.28614
4	2048	3	16384	4096	16.0322
4	2048	4	24576	6144	16.2352
4	4096	2	16384	4096	16.0961
4	4096	3	32768	8192	30.897
4	4096	4	49152	12288	31.4573
4	8192	2	32768	8192	30.7647
4	8192	3	65536	16384	58.6656
4	8192	4	98304	24576	59.4701
4	16384	2	65536	16384	56.8012
4	16384	3	131072	32768	179.715
4	16384	4	196608	49152	181.254
4	32768	2	131072	32768	156.865
4	32768	3	262144	65536	272.562
8	2048	2	16384	2048	16.5208
8	2048	3	32768	4096	32.0975
8	2048	4	49152	6144	32.569
8	4096	2	32768	4096	32.1255
8	4096	3	65536	8192	61.7217
8	4096	4	98304	12288	62.8274
8	8192	2	65536	8192	61.7487
8	8192	3	131072	16384	208.418
8	8192	4	196608	24576	215.737
8	16384	2	131072	16384	197.398
8	16384	3	262144	32768	352.278
8	16384	4	393216	49152	361.412
8	32768	2	262144	32768	308.808
8	32768	3	524288	65536	530.417
16	2048	2	32768	2048	32.8959
16	2048	3	65536	4096	63.9575
16	2048	4	98304	6144	65.0159
16	4096	2	65536	4096	64.0935
16	4096	3	131072	8192	227.88
16	4096	4	196608	12288	239.182
16	8192	2	131072	8192	225.64
16	8192	3	262144	16384	406.215
16	8192	4	393216	24576	429.275
16	16384	2	262144	16384	381.516
16	16384	3	524288	32768	662.724
16	16384	4	786432	49152	702.171
16	32768	2	524288	32768	586.306
16	32768	3	1.04858e+06	65536	840.205
32	2048	2	65536	2048	65.858
32	2048	3	131072	4096	243.528
32	2048	4	196608	6144	255.778
32	4096	2	131072	4096	243.931
32	4096	3	262144	8192	437.555
32	4096	4	393216	12288	473.374
32	8192	2	262144	8192	431.789
32	8192	3	524288	16384	722.824
32	8192	4	786432	24576	797.059
32	16384	2	524288	16384	687.34
32	16384	3	1.04858e+06	32768	867.388
32	16384	4	1.57286e+06	49152	871.715
32	32768	2	1.04858e+06	32768	852.347
32	32768	3	2.09715e+06	65536	875.11
64	2048	2	131072	2048	256.424
64	2048	3	262144	4096	461.521
64	2048	4	393216	6144	501.551
64	4096	2	262144	4096	459.364
64	4096	3	524288	8192	735.441
64	4096	4	786432	12288	823.777
64	8192	2	524288	8192	728.178
64	8192	3	1.04858e+06	16384	859.802
64	8192	4	1.57286e+06	24576	872.521
64	16384	2	1.04858e+06	16384	857.302
64	16384	3	2.09715e+06	32768	875.11
64	16384	4	3.14573e+06	49152	879.924
64	32768	2	2.09715e+06	32768	869.947
64	32768	3	4.1943e+06	65536	890.973
128	2048	2	262144	2048	481.096
128	2048	3	524288	4096	685.842
128	2048	4	786432	6144	794.911
128	4096	2	524288	4096	724.599
128	4096	3	1.04858e+06	8192	805.771
128	4096	4	1.57286e+06	12288	876.98
128	8192	2	1.04858e+06	8192	803.233
128	8192	3	2.09715e+06	16384	867.388
128	8192	4	3.14573e+06	24576	875.11
128	16384	2	2.09715e+06	16384	864.845
128	16384	3	4.1943e+06	32768	876.98
128	16384	4	6.29146e+06	49152	885.622
128	32768	2	4.1943e+06	32768	872.521
128	32768	3	8.38861e+06	65536	877.714
256	2048	2	524288	2048	698.844
256	2048	3	1.04858e+06	4096	715.426
256	2048	4	1.57286e+06	6144	877.714
256	4096	2	1.04858e+06	4096	819.2
256	4096	3	2.09715e+06	8192	835.445
256	4096	4	3.14573e+06	12288	857.302
256	8192	2	2.09715e+06	8192	833.085
256	8192	3	4.1943e+06	16384	864.845
256	8192	4	6.29146e+06	24576	893.673
256	16384	2	4.1943e+06	16384	862.316
256	16384	3	8.38861e+06	32768	872.521
512	2048	2	1.04858e+06	2048	772.021
512	2048	3	2.09715e+06	4096	783.884
512	2048	4	3.14573e+06	6144	820.625
512	4096	2	2.09715e+06	4096	814.252
512	4096	3	4.1943e+06	8192	819.2
512	4096	4	6.29146e+06	12288	846.536
512	8192	2	4.1943e+06	8192	823.777
512	8192	3	8.38861e+06	16384	854.817
1024	2048	2	2.09715e+06	2048	735.441
1024	2048	3	4.1943e+06	4096	722.824
1024	2048	4	6.29146e+06	6144	794.911
1024	4096	2	4.1943e+06	4096	782.26
1024	4096	3	8.38861e+06	8192	797.059
