collective	M	K	ctas	median_us	weight_gbps
legacy	1	2048	1	29.696001	17.655172
serving	1	2048	1	18.656000	28.102916
legacy	1	2048	128	84.991997	789.590391
serving	1	2048	128	80.895996	829.569660
legacy	1	8192	1	102.399994	20.480001
serving	1	8192	1	65.536003	31.999998
legacy	1	8192	128	326.656006	821.768010
serving	1	8192	128	324.608002	826.952677
legacy	16	2048	1	29.696001	17.655172
serving	16	2048	1	19.327999	27.125829
legacy	16	2048	128	87.040001	771.011757
serving	16	2048	128	83.968002	799.219490
legacy	16	8192	1	103.423996	20.277229
serving	16	8192	1	66.559998	31.507693
legacy	16	8192	128	339.967987	789.590391
serving	16	8192	128	317.440002	845.625800
