solver	model	seq	phase	count	total_ms
skeleton	bridge	1	cache_hit	676	0
skeleton	bridge	1	cache_miss	139	0
skeleton	bridge	1	derive	1	252.665
skeleton	bridge	1	flow	4	1.99109
skeleton	bridge	1	incremental_prepare	6	0.002997
skeleton	bridge	1	incremental_space_hit	528	0
skeleton	bridge	1	instantiate	1	1.15086
skeleton	bridge	1	instantiate_and_derive	5	165.224
skeleton	bridge	1	piece_pricing_and_release	6	1144.92
skeleton	bridge	1	prepare_derive	0	350.549
skeleton	bridge	1	prepare_edges	0	317.297
skeleton	bridge	1	prepare_graph	0	4.92158
skeleton	bridge	1	prepare_piece_map	0	28.1602
skeleton	bridge	1	prepare_price	0	425.384
skeleton	bridge	1	prepare_relations	1	2817.53
skeleton	bridge	1	prepare_spaces	0	817.385
skeleton	bridge	1	price_cache_hit	0	0
skeleton	bridge	1	price_cache_miss	27	0
skeleton	bridge	1	release_cache_hit	918	0
skeleton	bridge	1	resource_probe	6	215.315
skeleton	bridge	1	search_evaluations	1	0
skeleton	bridge	1	search_rounds	0	0
skeleton	bridge	1	space_cache_hit	237	0
skeleton	bridge	1	space_cache_miss	27	0
