solver	model	seq	phase	count	total_ms
skeleton	bridge	1	cache_hit	1204	0
skeleton	bridge	1	cache_miss	211	0
skeleton	bridge	1	derive	1	309.544
skeleton	bridge	1	flow	4	2.96335
skeleton	bridge	1	incremental_prepare	6	0.002488
skeleton	bridge	1	incremental_space_hit	912	0
skeleton	bridge	1	instantiate	1	1.96796
skeleton	bridge	1	instantiate_and_derive	5	255.825
skeleton	bridge	1	piece_pricing_and_release	6	1894.71
skeleton	bridge	1	prepare_derive	0	547.043
skeleton	bridge	1	prepare_edges	0	610.507
skeleton	bridge	1	prepare_graph	0	5.38923
skeleton	bridge	1	prepare_piece_map	0	42.3853
skeleton	bridge	1	prepare_price	0	665.484
skeleton	bridge	1	prepare_relations	1	5952.83
skeleton	bridge	1	prepare_spaces	0	1273.2
skeleton	bridge	1	price_cache_hit	0	0
skeleton	bridge	1	price_cache_miss	39	0
skeleton	bridge	1	release_cache_hit	1614	0
skeleton	bridge	1	resource_probe	6	193.273
skeleton	bridge	1	search_evaluations	1	0
skeleton	bridge	1	search_rounds	0	0
skeleton	bridge	1	space_cache_hit	417	0
skeleton	bridge	1	space_cache_miss	39	0
