solver	model	seq	phase	count	total_ms
skeleton	qwen3_decode_B16_seed.so.export	1	cache_hit	22850	0
skeleton	qwen3_decode_B16_seed.so.export	1	cache_miss	392	0
skeleton	qwen3_decode_B16_seed.so.export	1	derive	1	312.468
skeleton	qwen3_decode_B16_seed.so.export	1	flow	42	1070.13
skeleton	qwen3_decode_B16_seed.so.export	1	incremental_prepare	63	0.832942
skeleton	qwen3_decode_B16_seed.so.export	1	instantiate	1	1.9613
skeleton	qwen3_decode_B16_seed.so.export	1	instantiate_and_derive	62	2695.82
skeleton	qwen3_decode_B16_seed.so.export	1	piece_pricing_and_release	63	43568.6
skeleton	qwen3_decode_B16_seed.so.export	1	prepare_derive	0	8685
skeleton	qwen3_decode_B16_seed.so.export	1	prepare_edges	0	5761.96
skeleton	qwen3_decode_B16_seed.so.export	1	prepare_graph	0	163.459
skeleton	qwen3_decode_B16_seed.so.export	1	prepare_piece_map	0	1665.8
skeleton	qwen3_decode_B16_seed.so.export	1	prepare_price	0	26636.1
skeleton	qwen3_decode_B16_seed.so.export	1	prepare_relations	1	6409.97
skeleton	qwen3_decode_B16_seed.so.export	1	prepare_spaces	0	37546
skeleton	qwen3_decode_B16_seed.so.export	1	price_cache_hit	0	0
skeleton	qwen3_decode_B16_seed.so.export	1	price_cache_miss	173	0
skeleton	qwen3_decode_B16_seed.so.export	1	release_cache_hit	22446	0
skeleton	qwen3_decode_B16_seed.so.export	1	resource_probe	63	212.78
skeleton	qwen3_decode_B16_seed.so.export	1	search_evaluations	20	0
skeleton	qwen3_decode_B16_seed.so.export	1	search_rounds	0	0
skeleton	qwen3_decode_B16_seed.so.export	1	space_cache_hit	16615	0
skeleton	qwen3_decode_B16_seed.so.export	1	space_cache_miss	173	0
