index	candidate	phase
0		resource_probe
1	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	resource_probe
2	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	instantiate
3	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	cache_hit
4	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	cache_miss
5	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	derive
6	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	prepare_relations
7	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	incremental_prepare
8	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	piece_pricing_and_release
9	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	flow
10	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	resource_probe
11	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	instantiate_and_derive
12	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	incremental_prepare
13	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	piece_pricing_and_release
14	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	resource_probe
15	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	instantiate_and_derive
16	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	incremental_prepare
17	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	piece_pricing_and_release
18	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	flow
19	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	resource_probe
20	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	instantiate
21	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	cache_hit
22	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	cache_miss
23	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	derive
24	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	prepare_relations
25	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	incremental_prepare
26	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	piece_pricing_and_release
27	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	flow
28	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	resource_probe
29	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	instantiate_and_derive
30	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	incremental_prepare
31	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	piece_pricing_and_release
32	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	resource_probe
33	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	instantiate_and_derive
34	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	incremental_prepare
35	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	piece_pricing_and_release
36	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	flow
37	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=128;Rq=2	resource_probe
38	16x32x64s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	resource_probe
39	16x32x64s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	instantiate
40	16x32x64s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	cache_hit
41	16x32x64s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	cache_miss
42	16x32x64s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	derive
43	16x32x64s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	prepare_relations
44	16x32x64s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1;Ec=256;Rq=2	incremental_prepare
