stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
0	serving.s0	embedding	4	0	2107.2075435373108	0	1761.2836440000001	2371.0329181492434	4296.5136119999997
1	serving.s1	rmsnorm	4	2107.2075435373108	5096.4377398952111	0	3374.5341616000001	4285.8730118315998	4296.5136119999997
2	serving.s2	gemm	128	6331.8495408952112	30096.891615950761	225839.131008	356883.63366400002	2321714.1853511105	137488.43558399999
3	serving.s3	fused_attention	160	31332.303416950759	104123.99320888675	282298.91375999927	1351969.6521855977	3808285.3562941458	171860.54448000013
4	serving.s4	attention_merge	32	101898.88467548674	110240.27297246794	56459.782751999999	50764.941343999999	14590.941810598597	34372.108895999998
5	serving.s5	gemm	64	111475.68477346793	126652.70913519476	112919.565504	197821.02374400001	591844.75211051758	68744.217791999996
6	serving.s6	rmsnorm	4	127888.12093619475	132641.71934355266	7057.4728439999999	3374.5341616000001	4285.8730118316016	4296.5136119999997
7	serving.s7	swiglu_gemm	96	133877.13114455267	195916.64204230538	169379.348256	438657.45139200002	5244639.9198482595	103116.326688
8	serving.s8	gemm	64	197152.05384330539	230824.22670848592	112919.565504	197821.02374400001	1775534.2563315537	68744.217791999996
9	serving.s9	rmsnorm	4	232059.63850948593	236813.23691684383	7057.4728439999999	3374.5341616000001	4285.8730118315434	4296.5136119999997
10	serving.s10	gemm	128	238048.64871784384	261813.6907928994	225839.131008	356883.63366400002	2321714.185351111	137488.43558399999
11	serving.s11	fused_attention	160	263049.10259389941	335840.79238583543	282298.91375999927	1351969.6521855977	3808285.35629415	171860.54448000013
12	serving.s12	attention_merge	32	333615.68385243544	341957.07214941666	56459.782751999999	50764.941343999999	14590.941810598597	34372.108895999998
13	serving.s13	gemm	64	343192.48395041667	358369.5083121435	112919.565504	197821.02374400001	591844.75211051852	68744.217791999996
14	serving.s14	rmsnorm	4	359604.92011314351	364358.51852050144	7057.4728439999999	3374.5341616000001	4285.8730118316598	4296.5136119999997
15	serving.s15	swiglu_gemm	96	365593.93032150145	427633.44121925416	169379.348256	438657.45139200002	5244639.9198482595	103116.326688
16	serving.s16	gemm	64	428868.85302025417	462541.02588543465	112919.565504	197821.02374400001	1775534.2563315518	68744.217791999996
17	serving.s17	rmsnorm	4	463776.43768643466	468530.03609379259	7057.4728439999999	3374.5341616000001	4285.8730118316598	4296.5136119999997
18	serving.s18	gemm	128	469765.4478947926	493530.48996984813	225839.131008	356883.63366400002	2321714.185351111	137488.43558399999
19	serving.s19	fused_attention	160	494765.90177084814	567557.59156278404	282298.91375999927	1351969.6521855977	3808285.3562941444	171860.54448000013
20	serving.s20	attention_merge	32	565332.48302938405	573673.87132636516	56459.782751999999	50764.941343999999	14590.941810596734	34372.108895999998
21	serving.s21	gemm	64	574909.28312736517	590086.307489092	112919.565504	197821.02374400001	591844.75211051852	68744.217791999996
22	serving.s22	rmsnorm	4	591321.71929009201	596075.31769744982	7057.4728439999999	3374.5341616000001	4285.8730118316598	4296.5136119999997
23	serving.s23	swiglu_gemm	96	597310.72949844983	659350.24039620243	169379.348256	438657.45139200002	5244639.9198482595	103116.326688
24	serving.s24	gemm	64	660585.65219720243	694257.82506238297	112919.565504	197821.02374400001	1775534.2563315555	68744.217791999996
25	serving.s25	rmsnorm	4	695493.23686338298	700246.83527074079	7057.4728439999999	3374.5341616000001	4285.8730118316598	4296.5136119999997
26	serving.s26	gemm	128	701482.2470717408	725247.28914679622	225839.131008	356883.63366400002	2321714.1853511035	137488.43558399999
27	serving.s27	fused_attention	160	726482.70094779623	799274.39073973207	282298.91375999927	1351969.6521855977	3808285.35629415	171860.54448000013
28	serving.s28	attention_merge	32	797049.28220633219	805390.67050331319	56459.782751999999	50764.941343999999	14590.941810596734	34372.108895999998
29	serving.s29	gemm	64	806626.0823043132	821803.10666604002	112919.565504	197821.02374400001	591844.75211051852	68744.217791999996
30	serving.s30	rmsnorm	4	823038.51846704003	827792.11687439785	7057.4728439999999	3374.5341616000001	4285.8730118316598	4296.5136119999997
31	serving.s31	swiglu_gemm	96	829027.52867539786	891067.03957315045	169379.348256	438657.45139200002	5244639.9198482595	103116.326688
32	serving.s32	gemm	64	892302.45137415046	925974.62423933099	112919.565504	197821.02374400001	1775534.2563315555	68744.217791999996
33	serving.s33	rmsnorm	4	927210.036040331	931963.63444768882	7057.4728439999999	3374.5341616000001	4285.8730118316598	4296.5136119999997
34	serving.s34	gemm	128	933199.04624868883	956964.08832374425	225839.131008	356883.63366400002	2321714.1853511035	137488.43558399999
35	serving.s35	fused_attention	160	958199.50012474426	1030991.1899166801	282298.91375999927	1351969.6521855977	3808285.35629415	171860.54448000013
36	serving.s36	attention_merge	32	1028766.0813832802	1037107.4696802612	56459.782751999999	50764.941343999999	14590.941810596734	34372.108895999998
37	serving.s37	gemm	64	1038342.8814812612	1053519.9058429881	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
38	serving.s38	rmsnorm	4	1054755.3176439879	1059508.9160513459	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
39	serving.s39	swiglu_gemm	96	1060744.3278523458	1122783.8387500984	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
40	serving.s40	gemm	64	1124019.2505510983	1157691.4234162788	112919.565504	197821.02374400001	1775534.2563315481	68744.217791999996
41	serving.s41	rmsnorm	4	1158926.8352172787	1163680.4336246366	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
42	serving.s42	gemm	128	1164915.8454256365	1188680.8875006922	225839.131008	356883.63366400002	2321714.1853511035	137488.43558399999
43	serving.s43	fused_attention	160	1189916.2993016921	1262707.989093628	282298.91375999927	1351969.6521855977	3808285.3562941477	171860.54448000013
44	serving.s44	attention_merge	32	1260482.8805602279	1268824.2688572092	56459.782751999999	50764.941343999999	14590.94181060046	34372.108895999998
45	serving.s45	gemm	64	1270059.6806582091	1285236.705019936	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
