gate	status	value	evidence
G-1	FAIL	15/16 code checks	report_tables/verify_output.txt
G-2	PASS	GEMM 1344; attention 60+8; CTest 80/80	task_body_tests/; ctest_partial_interrupted.txt; ctest_cpu_*.txt
G-3	PENDING	0/10	ev1/*/B*/tilemega_hf/check.json
G-4	PENDING	mode 0/10; timed 0/10	ev1/*/B*/mode_check/mode_check.json; ev1/*/B*/result.json
G-5	PENDING	9/20 audits; max FP64=0	plans/*/fp64_audit.json
G-6	PENDING	incremental=True; pruning=False	incremental_equivalence/report.json; pruning_equivalence/report.json
G-7	FAIL	7/20 plans; 7 over 600 s; max 1971.1 s	plans/*/result.json; report_tables/plans.tsv
G-8	PASS	4/4 endpoints	floor_audit/verify_output.tsv
G-9	PENDING	0/10; geomean=?	report_tables/requests.tsv
G-10	PENDING	request floors 2/10; points 0/30	report_tables/request_floors.tsv; report_tables/step_ratios.tsv
G-11	PENDING	counterfactual gaps 5/10	report_tables/gaps.tsv
G-12	PASS	sm_80=0, sm_90=0, sm_120=0	arch_compile/results.tsv
