solver	model	seq	phase	count	total_ms
skeleton	llama_decode_seed.so.export	1	cache_hit	9645	0
skeleton	llama_decode_seed.so.export	1	cache_miss	265	0
skeleton	llama_decode_seed.so.export	1	derive	1	247.909
skeleton	llama_decode_seed.so.export	1	flow	34	29.7286
skeleton	llama_decode_seed.so.export	1	instantiate	1	1.09341
skeleton	llama_decode_seed.so.export	1	instantiate_and_derive	53	1368.97
skeleton	llama_decode_seed.so.export	1	piece_pricing_and_release	54	6761.22
skeleton	llama_decode_seed.so.export	1	prepare_edges	0	1148.63
skeleton	llama_decode_seed.so.export	1	prepare_relations	1	2279.71
skeleton	llama_decode_seed.so.export	1	prepare_spaces	0	5294.22
skeleton	llama_decode_seed.so.export	1	price_cache_hit	0	0
skeleton	llama_decode_seed.so.export	1	price_cache_miss	168	0
skeleton	llama_decode_seed.so.export	1	release_cache_hit	8598	0
skeleton	llama_decode_seed.so.export	1	resource_probe	78	208.211
skeleton	llama_decode_seed.so.export	1	search_evaluations	20	0
skeleton	llama_decode_seed.so.export	1	search_rounds	1	0
skeleton	llama_decode_seed.so.export	1	space_cache_hit	7470	0
skeleton	llama_decode_seed.so.export	1	space_cache_miss	171	0
