solver	model	seq	phase	count	total_ms
skeleton	llama_decode_seed.so.export	1	cache_hit	10413	0
skeleton	llama_decode_seed.so.export	1	cache_miss	277	0
skeleton	llama_decode_seed.so.export	1	derive	3	272.092
skeleton	llama_decode_seed.so.export	1	flow	34	25.7329
skeleton	llama_decode_seed.so.export	1	flow_report	2	4.17654
skeleton	llama_decode_seed.so.export	1	instantiate	3	2.40133
skeleton	llama_decode_seed.so.export	1	instantiate_and_derive	53	1252.32
skeleton	llama_decode_seed.so.export	1	materialize	2	25.197
skeleton	llama_decode_seed.so.export	1	megakernel_compile	1	42227.2
skeleton	llama_decode_seed.so.export	1	piece_pricing_and_release	56	7233.73
skeleton	llama_decode_seed.so.export	1	prepare_relations	3	8795.57
skeleton	llama_decode_seed.so.export	1	price_cache_hit	0	0
skeleton	llama_decode_seed.so.export	1	release_cache_hit	8981	0
skeleton	llama_decode_seed.so.export	1	resource_probe	80	207.114
skeleton	llama_decode_seed.so.export	1	search_evaluations	20	0
skeleton	llama_decode_seed.so.export	1	search_rounds	1	0
skeleton	llama_decode_seed.so.export	1	simulate	2	6.15938
skeleton	llama_decode_seed.so.export	1	skeleton	2	2203.37
