model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns
gqa2	4	legacy_grid_stride	28.829	3.447	200.633	290581.654673	310616.518877
gqa2	4	rotate	28.829	3.83	167.04	179816.851731	203268.55233
gqa2	4	balanced	28.829	3.59	152.877	206712.317084	380411.952456
gqa2	4	band	28.829	2.893	133.348	290581.654673	310616.518877
gqa2	4	wavefront	28.829	2.8	138.301	179816.851731	203238.607687
gqa2	128	legacy_grid_stride	2997.792	16.24	4145.829	295639.065365	323526.629788
gqa2	128	rotate	2997.792	17.013	3950.454	181406.595336	215126.634251
gqa2	128	balanced	2997.792	12.931	3786.634	181406.595336	325911.33708
gqa2	128	band	2997.792	11.864	3930.148	295639.065365	323526.629788
gqa2	128	wavefront	2997.792	10.171	3906.405	185816.447345	215123.666447
gqa2	512	legacy_grid_stride	19804.356	53.737	33365.884	367238.11654	467406.789011
gqa2	512	rotate	19804.356	54.1	33156.979	186329.6723	360032.891071
gqa2	512	balanced	19804.356	46.588	31936.631	214310.542843	908360.864227
gqa2	512	band	19804.356	31.897	33101.537	367238.11654	472758.015047
gqa2	512	wavefront	19804.356	37.712	32714.573	257415.49852	360023.590316
mha4	4	legacy_grid_stride	18	1.637	88.083	581163.309347	622450.19077
mha4	4	rotate	18	1.278	95.23	359633.703463	407769.159677
mha4	4	balanced	18	1.28	73.819	359633.703463	748978.678901
mha4	4	band	18	1.227	71.382	581163.309347	622450.19077
mha4	4	wavefront	18	1.223	87.071	359633.703463	407731.475458
mha4	128	legacy_grid_stride	4474.403	29.086	10841.548	594098.27524	652960.384531
mha4	128	rotate	4474.403	25.497	10887.573	362813.190672	437123.706793
mha4	128	balanced	4474.403	24.633	10006.32	362813.190672	1244432.10549
mha4	128	band	4474.403	22.871	10638.297	594098.27524	652960.384531
mha4	128	wavefront	4474.403	21.294	10813.233	374453.0392	437117.015914
mha4	512	legacy_grid_stride	68589.98	149.547	140259.531	1111931.57044	1508183.81138
mha4	512	rotate	68589.98	151.007	132536.254	509781.721561	1225926.84189
mha4	512	balanced	68589.98	137.76	129395.987	1527300.69867	6311124.23615
mha4	512	band	68589.98	106.18	132304.532	1111931.57044	1521696.25818
mha4	512	wavefront	68589.98	147.107	131245.186	824787.843515	1225927.03235
real	4	legacy_grid_stride	165.853	8.025	654.729	5439915.22133	5480958.63688
real	4	rotate	165.853	4.699	770.724	3718801.46048	4340901.34885
real	4	balanced	165.853	5.671	663.564	8027422.59828	47760205.6651
real	4	band	165.853	4.742	648.959	5439915.22133	5480958.63688
real	4	wavefront	165.853	4.869	783.578	3718801.46048	4340902.21578
real	128	legacy_grid_stride	71269.681	619.341	138348.284	5647690.39915	5901165.61958
real	128	rotate	71269.681	396.975	137981.792	3727083.89231	4760049.01768
real	128	balanced	71269.681	176.558	133338.66	4309624.2344	12057609.6782
real	128	band	71269.681	110.208	136696.782	5647690.39915	5901165.61958
real	128	wavefront	71269.681	141.298	131877.173	3928648.80355	4760060.38294
