slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789234449991698432	1789234449991698432	1789234449991698432	1789234449991700480	1789234449991701504	0	0	0	0	14727747950298	14727747955764
1	0	2	0	0	1789234449991701504	1789234449991702528	1789234449991702528	1789234449991725056	1789234449991726080	0	127	1	1	14727747962673	14727748025143
2	0	5	0	0	1789234449991727104	1789234449991727104	1789234449991727104	1789234449991728128	1789234449991730176	127	1	4	1	14727748031411	14727748033614
3	0	5	4	0	1789234449991730176	1789234449991730176	1789234449991730176	1789234449991731200	1789234449991732224	128	0	4	1	14727748038735	14727748041349
4	0	5	8	0	1789234449991733248	1789234449991733248	1789234449991733248	1789234449991734272	1789234449991735296	128	0	4	1	14727748046649	14727748049010
5	0	5	12	0	1789234449991735296	1789234449991735296	1789234449991735296	1789234449991736320	1789234449991737344	128	0	4	1	14727748053977	14727748056597
6	0	5	16	0	1789234449991738368	1789234449991738368	1789234449991738368	1789234449991739392	1789234449991740416	128	0	4	1	14727748060911	14727748063245
7	0	5	20	0	1789234449991740416	1789234449991740416	1789234449991740416	1789234449991741440	1789234449991742464	128	0	4	1	14727748067799	14727748070393
8	0	5	24	0	1789234449991742464	1789234449991742464	1789234449991743488	1789234449991743488	1789234449991745536	128	0	4	1	14727748074485	14727748077060
9	0	5	28	0	1789234449991745536	1789234449991745536	1789234449991745536	1789234449991746560	1789234449991747584	128	0	4	1	14727748081668	14727748083975
10	0	5	32	0	1789234449991747584	1789234449991747584	1789234449991747584	1789234449991748608	1789234449991750656	128	0	4	1	14727748088589	14727748091168
11	0	5	36	0	1789234449991750656	1789234449991750656	1789234449991750656	1789234449991751680	1789234449991752704	128	0	4	1	14727748095762	14727748098091
12	0	5	40	0	1789234449991752704	1789234449991752704	1789234449991752704	1789234449991753728	1789234449991754752	128	0	4	1	14727748102694	14727748105269
13	0	5	44	0	1789234449991755776	1789234449991755776	1789234449991755776	1789234449991756800	1789234449991757824	128	0	4	1	14727748109355	14727748111676
14	0	5	48	0	1789234449991757824	1789234449991757824	1789234449991757824	1789234449991758848	1789234449991759872	128	0	4	1	14727748116270	14727748118887
15	0	5	52	0	1789234449991759872	1789234449991759872	1789234449991760896	1789234449991760896	1789234449991762944	128	0	4	1	14727748122957	14727748125557
16	0	5	56	0	1789234449991762944	1789234449991762944	1789234449991762944	1789234449991763968	1789234449991764992	128	0	4	1	14727748130189	14727748132535
17	0	5	60	0	1789234449991764992	1789234449991764992	1789234449991764992	1789234449991766016	1789234449991768064	128	0	4	1	14727748137118	14727748139719
18	0	5	64	0	1789234449991768064	1789234449991768064	1789234449991768064	1789234449991769088	1789234449991770112	128	0	4	1	14727748144305	14727748146640
19	0	5	68	0	1789234449991770112	1789234449991770112	1789234449991770112	1789234449991771136	1789234449991773184	128	0	4	1	14727748151226	14727748153842
20	0	5	72	0	1789234449991773184	1789234449991773184	1789234449991773184	1789234449991774208	1789234449991775232	128	0	4	1	14727748158407	14727748160753
21	0	5	76	0	1789234449991775232	1789234449991775232	1789234449991775232	1789234449991776256	1789234449991777280	128	0	4	1	14727748165383	14727748167994
22	0	5	80	0	1789234449991778304	1789234449991778304	1789234449991778304	1789234449991779328	1789234449991780352	128	0	4	1	14727748172111	14727748174420
23	0	5	84	0	1789234449991780352	1789234449991780352	1789234449991780352	1789234449991781376	1789234449991782400	128	0	4	1	14727748179073	14727748181656
24	0	5	88	0	1789234449991782400	1789234449991782400	1789234449991783424	1789234449991783424	1789234449991785472	128	0	4	1	14727748185873	14727748188453
25	0	5	92	0	1789234449991785472	1789234449991785472	1789234449991785472	1789234449991786496	1789234449991787520	128	0	4	1	14727748193046	14727748195364
26	0	5	96	0	1789234449991787520	1789234449991787520	1789234449991787520	1789234449991788544	1789234449991790592	128	0	4	1	14727748199959	14727748202539
27	0	5	100	0	1789234449991790592	1789234449991790592	1789234449991790592	1789234449991791616	1789234449991792640	128	0	4	1	14727748207162	14727748209486
28	0	5	104	0	1789234449991792640	1789234449991792640	1789234449991792640	1789234449991793664	1789234449991795712	128	0	4	1	14727748214154	14727748216727
29	0	5	108	0	1789234449991795712	1789234449991795712	1789234449991795712	1789234449991796736	1789234449991797760	128	0	4	1	14727748221366	14727748223711
30	0	5	112	0	1789234449991797760	1789234449991797760	1789234449991797760	1789234449991798784	1789234449991799808	128	0	4	1	14727748228344	14727748230932
31	0	5	116	0	1789234449991800832	1789234449991800832	1789234449991800832	1789234449991801856	1789234449991802880	128	0	4	1	14727748235039	14727748237397
32	0	5	120	0	1789234449991802880	1789234449991802880	1789234449991802880	1789234449991803904	1789234449991804928	128	0	4	1	14727748242022	14727748244629
33	0	5	124	0	1789234449991804928	1789234449991805952	1789234449991805952	1789234449991805952	1789234449991808000	128	0	4	1	14727748248752	14727748251370
34	0	5	128	0	1789234449991808000	1789234449991808000	1789234449991808000	1789234449991809024	1789234449991810048	128	0	4	1	14727748256022	14727748258339
35	0	5	132	0	1789234449991810048	1789234449991810048	1789234449991811072	1789234449991811072	1789234449991813120	128	0	4	1	14727748262972	14727748265587
36	0	5	136	0	1789234449991813120	1789234449991813120	1789234449991813120	1789234449991814144	1789234449991815168	128	0	4	1	14727748270498	14727748272806
37	0	5	140	0	1789234449991815168	1789234449991815168	1789234449991815168	1789234449991816192	1789234449991818240	128	0	4	1	14727748277027	14727748279609
38	0	5	144	0	1789234449991818240	1789234449991818240	1789234449991818240	1789234449991819264	1789234449991820288	128	0	4	1	14727748284469	14727748286817
39	0	5	148	0	1789234449991820288	1789234449991820288	1789234449991821312	1789234449991821312	1789234449991823360	128	0	4	1	14727748291498	14727748294112
40	0	5	152	0	1789234449991823360	1789234449991823360	1789234449991823360	1789234449991824384	1789234449991825408	128	0	4	1	14727748298990	14727748301376
41	0	5	156	0	1789234449991825408	1789234449991826432	1789234449991826432	1789234449991827456	1789234449991828480	128	0	4	1	14727748305971	14727748308584
42	0	5	160	0	1789234449991828480	1789234449991828480	1789234449991828480	1789234449991829504	1789234449991830528	128	0	4	1	14727748313441	14727748316048
43	0	5	164	0	1789234449991831552	1789234449991831552	1789234449991831552	1789234449991832576	1789234449991833600	128	0	4	1	14727748320673	14727748323043
44	0	5	168	0	1789234449991833600	1789234449991833600	1789234449991833600	1789234449991834624	1789234449991835648	128	0	4	1	14727748327931	14727748330513
45	0	5	172	0	1789234449991836672	1789234449991836672	1789234449991836672	1789234449991837696	1789234449991838720	128	0	4	1	14727748335204	14727748337545
46	0	5	176	0	1789234449991838720	1789234449991838720	1789234449991838720	1789234449991839744	1789234449991841792	128	0	4	1	14727748342475	14727748345053
47	0	5	180	0	1789234449991841792	1789234449991841792	1789234449991841792	1789234449991842816	1789234449991843840	128	0	4	1	14727748349956	14727748352286
48	0	5	184	0	1789234449991843840	1789234449991843840	1789234449991844864	1789234449991844864	1789234449991846912	128	0	4	1	14727748357250	14727748359819
49	0	5	188	0	1789234449991846912	1789234449991846912	1789234449991846912	1789234449991847936	1789234449991848960	128	0	4	1	14727748364751	14727748367338
50	0	5	192	0	1789234449991849984	1789234449991849984	1789234449991849984	1789234449991851008	1789234449991852032	128	0	4	1	14727748372005	14727748374322
51	0	5	196	0	1789234449991852032	1789234449991852032	1789234449991852032	1789234449991853056	1789234449991854080	128	0	4	1	14727748379217	14727748381777
52	0	5	200	0	1789234449991855104	1789234449991855104	1789234449991855104	1789234449991856128	1789234449991857152	128	0	4	1	14727748386440	14727748388776
53	0	5	204	0	1789234449991857152	1789234449991857152	1789234449991857152	1789234449991858176	1789234449991860224	128	0	4	1	14727748393635	14727748396244
54	0	5	208	0	1789234449991860224	1789234449991860224	1789234449991860224	1789234449991861248	1789234449991862272	128	0	4	1	14727748401131	14727748403464
