model	seq	past	candidate	arm	status	makespan_ns	busiest_worker_ns	busiest_worker	total_block_ns	solo_work_ns	total_work_ns	critical_path_ns	cross_worker_edges	same_worker_edges	max_queue	eval_us
gqa2	4	3	legacy_grid_stride	proportional	ok	310616.5189	290581.6547	0	2753852.676	1336932.147	1336932.147	179816.8517	1108	184	30	61.372
gqa2	4	3	legacy_grid_stride	flat_hop	ok	310635.0601	290581.6547	0	2754102.175	1336932.147	1336932.147	179816.8517	1108	184	30	39.248
gqa2	4	3	rotate	proportional	ok	203268.5523	30235.10336	96	16189847.52	1336932.147	1336932.147	179816.8517	1292	0	1	53.027
gqa2	4	3	rotate	flat_hop	ok	203289.676	30235.10336	96	16191991.58	1336932.147	1336932.147	179816.8517	1292	0	1	40.465
gqa2	4	3	balanced	proportional	ok	380411.9525	206712.3171	6	3551993.3	1336932.147	1336932.147	179816.8517	850	442	30	42.288
gqa2	4	3	balanced	flat_hop	ok	380431.8336	206712.3171	6	3552293.364	1336932.147	1336932.147	179816.8517	850	442	30	36.46
gqa2	4	3	eft	-	unimplemented										
gqa2	4	3	band	-	unimplemented										
gqa2	4	3	wavefront	-	unimplemented										
gqa2	128	3	legacy_grid_stride	proportional	ok	323526.6298	303984.4718	1	60517226.18	4322127.644	6458551.357	185342.1498	545140	3736	34	3317.155
gqa2	128	3	legacy_grid_stride	flat_hop	ok	323563.5797	303984.4718	0	60525403.74	4322127.644	6458551.69	185342.1498	545140	3736	34	3092.808
gqa2	128	3	rotate	proportional	ok	215126.6343	50515.0243	60	38368594.76	4322127.644	6458530.557	185342.1498	545252	3624	18	3236.596
gqa2	128	3	rotate	flat_hop	ok	215163.8544	50515.0243	60	38377342.26	4322127.644	6458551.69	185342.1498	545252	3624	18	3111.31
gqa2	128	3	balanced	proportional	ok	325911.3371	87708.13387	72	44435938.28	4322127.644	4723654.328	185196.1548	543602	5274	34	3011.495
gqa2	128	3	balanced	flat_hop	ok	325968.91	87708.13387	72	44446285.77	4322127.644	4723980.169	185196.1548	543602	5274	34	3022.48
gqa2	128	3	eft	-	unimplemented										
gqa2	128	3	band	-	unimplemented										
gqa2	128	3	wavefront	-	unimplemented										
gqa2	512	3	legacy_grid_stride	proportional	ok	467406.3813	454347.7221	3	62422878.06	27370972.2	49670527.56	205214.7694	8521080	39608	82	33592.92
gqa2	512	3	legacy_grid_stride	flat_hop	ok	467506.3675	454360.7903	4	62444446.47	27370972.2	49674376.69	205212.3054	8521080	39608	82	33902.741
gqa2	512	3	rotate	proportional	ok	360032.8911	204466.3941	120	34935364.21	27370972.2	49670171.21	202379.6717	8521128	39560	69	34103.665
gqa2	512	3	rotate	flat_hop	ok	360154.5731	204480.4509	240	34962387.09	27370972.2	49674376.69	202366.5199	8521128	39560	69	33036.952
gqa2	512	3	balanced	proportional	ok	908360.8643	288402.3456	56	115761977.5	27370972.2	36757492.58	240958.3748	8503936	56752	82	32572.441
gqa2	512	3	balanced	flat_hop	ok	908501.4465	288402.3456	56	115790215.6	27370972.2	36757299.52	240958.3748	8503936	56752	82	38582.91
gqa2	512	3	eft	-	unimplemented										
gqa2	512	3	band	-	unimplemented										
gqa2	512	3	wavefront	-	unimplemented										
mha4	4	3	legacy_grid_stride	proportional	ok	622450.1908	581163.3094	0	6090837.809	2989285.765	2989285.765	359633.7035	3604	504	60	98.366
mha4	4	3	legacy_grid_stride	flat_hop	ok	622505.5321	581163.3094	0	6091676.108	2989285.765	2989285.765	359633.7035	3604	504	60	75.363
mha4	4	3	rotate	proportional	ok	407769.1597	60470.20672	124	71029582.56	2989285.765	2989285.765	359633.7035	4108	0	2	96.444
mha4	4	3	rotate	flat_hop	ok	407814.7637	60470.20672	124	71038486.61	2989285.765	2989285.765	359633.7035	4108	0	2	128.036
mha4	4	3	balanced	proportional	ok	748978.6789	317164.7781	4	5067313.26	2989285.765	2989285.765	359633.7035	2996	1112	60	80.64
mha4	4	3	balanced	flat_hop	ok	749011.6677	317164.7781	4	5067676.004	2989285.765	2989285.765	359633.7035	2996	1112	60	67.207
mha4	4	3	eft	-	unimplemented										
mha4	4	3	band	-	unimplemented										
mha4	4	3	wavefront	-	unimplemented										
mha4	128	3	legacy_grid_stride	proportional	ok	652960.3846	613609.2326	0	136656941.1	9659072.598	14653877.68	370709.9406	2149540	12664	80	11581.092
mha4	128	3	legacy_grid_stride	flat_hop	ok	653054.265	613609.2326	0	136679693.2	9659072.598	14653877.68	370709.9406	2149540	12664	80	11318.818
mha4	128	3	rotate	proportional	ok	437123.7068	93154.37045	140	87004545.22	9659072.598	14653830.66	370684.2995	2149788	12416	47	11066.105
mha4	128	3	rotate	flat_hop	ok	437203.4096	93154.37045	140	87024142.4	9659072.598	14653877.68	370684.2995	2149788	12416	47	11254.266
mha4	128	3	balanced	proportional	ok	1244432.106	171884.1002	72	245148396.7	9659072.598	11121171.3	368091.9372	2141676	20528	80	10785.854
mha4	128	3	balanced	flat_hop	ok	1244526.746	171886.3731	72	245168733.1	9659072.598	11121567.23	368094.7455	2141676	20528	80	10253.665
mha4	128	3	eft	-	unimplemented										
mha4	128	3	band	-	unimplemented										
mha4	128	3	wavefront	-	unimplemented										
mha4	512	3	legacy_grid_stride	proportional	ok	1508184.091	1483635.885	1	170616568.4	110062901.8	205216894.4	572900.8357	33959880	149672	212	238034.442
mha4	512	3	legacy_grid_stride	flat_hop	ok	1508344.516	1483636.28	11	170654142.1	110062901.8	205219307.3	572884.5275	33959880	149672	212	276791.041
mha4	512	3	rotate	proportional	ok	1225926.842	832743.3215	48	98359279.64	110062901.8	205217070.9	566493.9357	33959992	149560	187	140259.852
mha4	512	3	rotate	flat_hop	ok	1226142.436	832751.5582	16	98410409.71	110062901.8	205219307.3	566480.3088	33959992	149560	187	134703.762
mha4	512	3	balanced	proportional	ok	6311124.236	1667340.27	16	946792931.1	110062901.8	133400036.7	595250.7821	33708520	401032	212	131220.934
mha4	512	3	balanced	flat_hop	ok	6311298.7	1667340.27	16	946822951	110062901.8	133400083.1	595262.9699	33708520	401032	212	134862.859
mha4	512	3	eft	-	unimplemented										
mha4	512	3	band	-	unimplemented										
mha4	512	3	wavefront	-	unimplemented										
real	4	3	legacy_grid_stride	proportional	ok	5480958.637	5439915.221	0	409899107.4	237206288.6	237206288.6	3718801.46	76196	1596	60	699.094
real	4	3	legacy_grid_stride	flat_hop	ok	5481051.466	5439915.221	0	409910610.7	237206288.6	237206288.6	3718801.46	76196	1596	60	799.455
real	4	3	rotate	proportional	ok	4340901.349	1634720.813	116	648600608.1	237206288.6	347355518.4	4292856.33	77792	0	11	781.068
real	4	3	rotate	flat_hop	ok	4341048.775	1634726.505	116	648635640.8	237206288.6	347357569.3	4292867.715	77792	0	11	825.119
real	4	3	balanced	proportional	ok	47760205.66	8027422.598	40	6032137190	237206288.6	237206288.6	3718801.46	71224	6568	60	700.689
real	4	3	balanced	flat_hop	ok	47760269.88	8027422.598	40	6032147088	237206288.6	237206288.6	3718801.46	71224	6568	60	739.318
real	4	3	eft	-	unimplemented										
real	4	3	band	-	unimplemented										
real	4	3	wavefront	-	unimplemented										
real	128	3	legacy_grid_stride	proportional	ok	5901165.621	5862955.571	0	991507548.7	298164759.4	353272643.3	3755506.325	34829792	158464	216	92493.6
real	128	3	legacy_grid_stride	flat_hop	ok	5901253.337	5862955.571	0	991528174.5	298164759.4	353272643.3	3755506.325	34829792	158464	216	99802.819
real	128	3	rotate	proportional	ok	4760049.018	2228235.244	32	645515989	298164759.4	463291292	4313798.018	34831456	156800	188	91183.659
real	128	3	rotate	flat_hop	ok	4760167.254	2228235.244	32	645545521.8	298164759.4	463291305.4	4313798.018	34831456	156800	188	91484.727
real	128	3	balanced	proportional	ok	12057609.68	4316885.067	248	1151463479	298164759.4	300474189.8	3731375.464	34574696	413560	216	88257.168
real	128	3	balanced	flat_hop	ok	12057745.93	4316885.067	248	1151484947	298164759.4	300474209.9	3731360.004	34574696	413560	216	87373.99
real	128	3	eft	-	unimplemented										
real	128	3	band	-	unimplemented										
real	128	3	wavefront	-	unimplemented										
