poll_mode	backoff_ns	consumers	rows	per_row	rounds	participants	hop_mean_ns	hop_se_ns	hop_p50_ns	hop_p90_ns	hop_max_ns	last_mean_ns	last_p90_ns	last_max_ns	inversions	hop_trim_mean_ns	hop_trim_se_ns	last_trim_mean_ns
load	64	1	1	1	4096	2	402.2	2.03	512.0	512.0	768.0	402.2	512.0	768.0	0	401.8	2.02	401.8
load	64	2	1	2	4096	3	411.4	1.48	512.0	512.0	768.0	447.1	512.0	768.0	0	411.1	1.48	446.7
load	64	4	1	4	4096	5	434.2	1.05	512.0	512.0	768.0	497.0	512.0	768.0	0	433.9	1.05	496.7
load	64	8	1	8	4096	9	462.4	0.74	512.0	512.0	768.0	536.6	768.0	768.0	0	462.1	0.74	536.3
load	64	16	1	16	4096	17	452.5	0.52	512.0	512.0	768.0	524.7	768.0	768.0	0	452.1	0.52	524.4
load	64	32	1	32	4096	33	448.1	0.37	512.0	512.0	768.0	538.7	768.0	768.0	0	447.8	0.37	538.5
load	64	64	1	64	4096	65	433.5	0.27	512.0	512.0	768.0	532.2	768.0	768.0	0	433.2	0.27	532.0
load	64	128	1	128	4096	129	433.8	0.18	512.0	512.0	768.0	534.4	768.0	768.0	0	433.5	0.18	534.2
load	64	256	1	256	4096	257	453.9	0.13	512.0	512.0	768.0	564.4	768.0	768.0	0	453.6	0.13	564.2
load	64	4	4	1	4096	8	474.2	1.01	512.0	512.0	768.0	474.2	512.0	768.0	0	473.9	1.01	473.9
load	64	8	4	2	4096	12	461.8	0.73	512.0	512.0	768.0	489.0	512.0	768.0	0	461.5	0.73	488.7
load	64	16	4	4	4096	20	465.3	0.53	512.0	512.0	768.0	515.7	768.0	768.0	0	465.0	0.52	515.4
load	64	32	4	8	4096	36	444.2	0.37	512.0	512.0	768.0	519.6	768.0	768.0	0	443.8	0.37	519.4
load	64	64	4	16	4096	68	431.2	0.26	512.0	512.0	768.0	518.5	768.0	768.0	0	430.9	0.26	518.2
load	64	128	4	32	4096	132	431.4	0.19	512.0	512.0	768.0	527.5	768.0	768.0	0	431.0	0.19	527.3
load	64	256	4	64	4096	260	440.5	0.13	512.0	512.0	768.0	539.9	768.0	768.0	0	440.1	0.13	539.6
load	64	16	16	1	4096	32	449.9	0.52	512.0	512.0	768.0	449.9	512.0	768.0	0	449.5	0.52	449.5
