stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
0	15	embedding	0	2531.4426268424113	0	1046.6571693548449	410.65705481679083	1074.1284026707756	0
1	15	rmsnorm	2531.4426268424113	6427.6128627495837	0	2206.6572125548446	615.38462068155241	1074.1284026707756	0
2	63	gemm	7663.0246637495839	26221.708775056999	1764.3682109690692	2310.1196870980839	13410.067810569486	1074.1284026707756	1235.411801
5	511	rope	31350.075458273666	33970.411056046956	1764.3682109690692	839.94174564063587	16.025641163585533	0	1235.411801
9	511	attention	38251.334081521287	42583.539158719075	1764.3682109690692	1237.298204940636	256.41025861731032	1074.1284026707756	0
10	127	gemm	43818.950959719077	57357.044559772308	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
11	15	rmsnorm	58592.45636077231	64252.994807648545	1764.3682109690692	2206.6572125548446	615.38462068155059	1074.1284026707756	1235.411801
13	127	gemm	65488.406608648547	139318.07177497668	1764.3682109690692	2623.165781311634	68368.002771376647	1074.1284026707756	1235.411801
14	15	swiglu	140553.48357597669	147100.51170353836	1764.3682109690692	1246.9930311956209	2461.5384827262023	1074.1284026707756	1235.411801
15	127	gemm	148335.92350453837	187512.01814385783	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
16	15	rmsnorm	188747.42994485784	194407.96839173409	1764.3682109690692	2206.6572125548446	615.38462068155059	1074.1284026707756	1235.411801
17	63	gemm	195643.3801927341	214202.0643040415	1764.3682109690692	2310.1196870980839	13410.067810569482	1074.1284026707756	1235.411801
20	511	rope	219330.43098725809	221950.76658503135	1764.3682109690692	839.94174564063587	16.025641163578257	0	1235.411801
24	511	attention	226231.68961050568	230563.89468770346	1764.3682109690692	1237.298204940636	256.41025861731032	1074.1284026707756	0
25	127	gemm	231799.30648870347	245337.40008875669	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
26	15	rmsnorm	246572.8118897567	252233.35033663295	1764.3682109690692	2206.6572125548446	615.38462068155059	1074.1284026707756	1235.411801
28	127	gemm	253468.76213763296	327298.42730396107	1764.3682109690692	2623.165781311634	68368.002771376632	1074.1284026707756	1235.411801
