stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
0	3	embedding	0	2326.1140994340158	0	1046.6571693548449	205.3285274083953	1074.1284026707756	0
1	3	rmsnorm	2326.1140994340158	5914.5920250004119	0	2206.6572125548446	307.6923103407762	1074.1284026707756	0
2	63	gemm	7150.0038260004121	25432.268914420813	1764.3682109690692	2310.1196870980839	13133.64878768247	1074.1284026707756	1235.411801
5	127	rope	26667.680715420811	29280.336375493822	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
9	127	attention	29280.336375493822	33456.279635633939	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
10	127	gemm	34691.691436633941	48229.785036687172	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
11	3	rmsnorm	49465.196837687174	54818.042974222641	1764.3682109690692	2206.6572125548446	307.69231034077529	1074.1284026707756	1235.411801
13	63	gemm	56053.454775222643	130509.21212997787	1764.3682109690692	3249.257969738735	68368.002771376647	1074.1284026707756	1235.411801
14	3	swiglu	131744.62393097786	137060.88281717643	1764.3682109690692	1246.9930311956209	1230.7692413631012	1074.1284026707756	1235.411801
15	127	gemm	138296.29461817644	177472.3892574959	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
16	3	rmsnorm	178707.80105849591	184060.6471950314	1764.3682109690692	2206.6572125548446	307.69231034078985	1074.1284026707756	1235.411801
17	63	gemm	185296.05899603141	203578.3240844518	1764.3682109690692	2310.1196870980839	13133.648787682469	1074.1284026707756	1235.411801
20	127	rope	204813.73588545181	207426.39154552479	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
24	127	attention	207426.39154552479	211602.3348056649	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
25	127	gemm	212837.74660666491	226375.84020671813	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
26	3	rmsnorm	227611.25200771814	232964.09814425363	1764.3682109690692	2206.6572125548446	307.69231034078985	1074.1284026707756	1235.411801
28	63	gemm	234199.50994525364	308655.26730000885	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
29	3	swiglu	309890.67910100886	315206.93798720744	1764.3682109690692	1246.9930311956209	1230.7692413631012	1074.1284026707756	1235.411801
30	127	gemm	316442.34978820744	355618.44442752696	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
31	3	rmsnorm	356853.85622852697	362206.70236506243	1764.3682109690692	2206.6572125548446	307.69231034076074	1074.1284026707756	1235.411801
32	63	gemm	363442.11416606244	381724.37925448286	1764.3682109690692	2310.1196870980839	13133.648787682469	1074.1284026707756	1235.411801
35	127	rope	382959.79105548287	385572.44671555591	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
39	127	attention	385572.44671555591	389748.38997569605	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
40	127	gemm	390983.80177669605	404521.89537674934	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
41	3	rmsnorm	405757.30717774935	411110.15331428481	1764.3682109690692	2206.6572125548446	307.69231034076074	1074.1284026707756	1235.411801
43	63	gemm	412345.56511528481	486801.32247004006	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
44	3	swiglu	488036.73427104007	493352.99315723864	1764.3682109690692	1246.9930311956209	1230.7692413631012	1074.1284026707756	1235.411801
45	127	gemm	494588.40495823865	533764.49959755817	1764.3682109690692	2153.5966399913086	34184.001385688374	1074.1284026707756	1235.411801
46	3	rmsnorm	534999.91139855818	540352.75753509358	1764.3682109690692	2206.6572125548446	307.69231034081895	1074.1284026707756	1235.411801
47	63	gemm	541588.16933609359	559870.43442451383	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
50	127	rope	561105.84622551384	563718.50188558677	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
54	127	attention	563718.50188558677	567894.44514572679	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
55	127	gemm	569129.8569467268	582667.9505467799	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
