stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
0	127	rmsnorm	0	3511.5548479812023	0	2129.7341349696508	307.6923103407762	1074.1284026707756	0
1	255	gemm	4746.9666489812025	12200.598385338564	1764.3682109690692	2153.5966399913086	2461.5384827262078	1074.1284026707756	1235.411801
2	127	combine	13436.010186338564	17649.704960482686	1764.3682109690692	862.37764326965078	512.8205172346261	1074.1284026707756	1235.411801
5	511	rope	21382.630499719347	24054.248149216099	1764.3682109690692	843.14687387335221	64.10256465432758	0	1235.411801
9	511	attention	24054.248149216099	34902.478923526367	1764.3682109690692	1240.5033331733521	6769.230827497071	1074.1284026707756	0
10	127	gemm	36137.890724526369	46053.06094360994	1764.3682109690692	2153.5966399913086	4923.0769654524192	1074.1284026707756	1235.411801
11	127	rmsnorm	47288.472744609942	52564.395803560212	1764.3682109690692	2129.7341349696508	307.69231034077529	1074.1284026707756	1235.411801
13	255	gemm	53799.807604560214	63714.977823643785	1764.3682109690692	2153.5966399913086	4923.0769654524192	1074.1284026707756	1235.411801
14	127	swiglu	64950.389624643787	69292.28952809656	1764.3682109690692	888.01866913138213	615.38462068155059	1074.1284026707756	1235.411801
15	511	gemm	70527.701329096555	77981.333065453902	1764.3682109690692	2153.5966399913086	2461.5384827262023	1074.1284026707756	1235.411801
16	127	combine	79216.744866453897	83943.260157832643	1764.3682109690692	862.37764326965078	1025.6410344692558	1074.1284026707756	1235.411801
17	127	rmsnorm	85178.671958832638	90454.595017782907	1764.3682109690692	2129.7341349696508	307.69231034077529	1074.1284026707756	1235.411801
18	255	gemm	91690.006818782902	99143.638555140249	1764.3682109690692	2153.5966399913086	2461.5384827262023	1074.1284026707756	1235.411801
19	127	combine	100379.05035614024	104592.74513028435	1764.3682109690692	862.37764326965078	512.82051723462064	1074.1284026707756	1235.411801
22	511	rope	106762.47117599063	109434.08882548739	1764.3682109690692	843.14687387335221	64.10256465432758	0	1235.411801
26	511	attention	109434.08882548739	120282.31959979766	1764.3682109690692	1240.5033331733521	6769.230827497071	1074.1284026707756	0
27	127	gemm	121517.73140079765	131432.90161988122	1764.3682109690692	2153.5966399913086	4923.0769654524192	1074.1284026707756	1235.411801
28	127	rmsnorm	132668.31342088123	137944.23647983151	1764.3682109690692	2129.7341349696508	307.69231034078985	1074.1284026707756	1235.411801
30	255	gemm	139179.64828083152	149094.81849991507	1764.3682109690692	2153.5966399913086	4923.0769654524047	1074.1284026707756	1235.411801
31	127	swiglu	150330.23030091508	154672.13020436786	1764.3682109690692	888.01866913138213	615.38462068155059	1074.1284026707756	1235.411801
32	511	gemm	155907.54200536787	163361.17374172522	1764.3682109690692	2153.5966399913086	2461.5384827262023	1074.1284026707756	1235.411801
33	127	combine	164596.58554272522	168248.97243143318	1764.3682109690692	862.37764326965078	1025.6410344692413	0	1235.411801
