stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
0	l0.s00.norm	rmsnorm	4	0	3280.7856152256199	0	8518.9365398786031	307.69231034077529	4296.5136106831023
1	l0.s01.proj	gemm	32	4516.1974162256201	12888.667093100494	56459.782751010214	68915.092479721876	108172.045543799	34372.108885464819
2	l0.s02.proj	gemm	16	4516.1974162256201	11412.971775840484	28229.891375505107	34457.546239860938	30474.897695739346	17186.054442732409
3	l0.s03.proj	gemm	16	4516.1974162256201	11412.971775840484	28229.891375505107	34457.546239860938	30474.897695739346	17186.054442732409
4	l0.s04.rope	rope	16	14124.078894100494	16747.619620106496	28229.891375505107	13490.349981973635	256.41025861731032	0
5	l0.s05.rope	rope	8	12648.383576840484	15271.924302846488	14114.945687752554	6745.1749909868176	128.20512930865516	0
6	l0.s06.append	kv_append	8	15271.924302846488	17202.020092321483	0	6745.1749909868176	102.56410344692995	8593.0272213662047
7	l0.s07.append	kv_append	8	12648.383576840484	16342.847577284549	14114.945687752554	6745.1749909868176	102.56410344692995	8593.0272213662047
8	l0.s08.attn	attention	16	18437.431893321482	22618.995943581605	28229.891375505118	19848.053330773633	1487.1794999804115	17186.054442732413
9	l0.s09.proj	gemm	32	23854.407744581604	30751.182104196469	56459.782751010214	68915.092479721876	60949.795391478692	34372.108885464819
10	l0.s10.norm	rmsnorm	4	31986.593905196467	37031.747731391159	7057.4728438762768	8518.9365398786031	307.69231034078985	4296.5136106831023
11	l0.s11.proj	gemm	64	38267.159532391161	45163.933892006025	112919.56550202043	137830.18495944375	121899.59078295762	68744.217770929637
12	l0.s12.proj	gemm	64	38267.159532391161	45163.933892006025	112919.56550202043	137830.18495944375	121899.59078295762	68744.217770929637
13	l0.s13.act	swiglu	4	46399.345693006027	50279.707130947638	7057.4728438762768	3552.0746765255285	615.38462068155059	4296.5136106831023
14	l0.s14.proj	gemm	32	51515.11893194764	60316.57439754621	56459.782751010214	68915.092479721876	121899.59078295738	34372.108885464819
15	l1.s15.norm	rmsnorm	4	61551.986198546212	66597.140024740904	7057.4728438762768	8518.9365398786031	307.69231034078985	4296.5136106831023
16	l1.s16.proj	gemm	32	67832.551825740898	76205.021502615782	56459.782751010214	68915.092479721876	108172.04554379918	34372.108885464819
17	l1.s17.proj	gemm	16	67832.551825740898	74729.326185355763	28229.891375505107	34457.546239860938	30474.897695739288	17186.054442732409
18	l1.s18.proj	gemm	16	67832.551825740898	74729.326185355763	28229.891375505107	34457.546239860938	30474.897695739288	17186.054442732409
19	l1.s19.rope	rope	16	77440.433303615777	80063.974029621779	28229.891375505107	13490.349981973635	256.41025861725211	0
20	l1.s20.rope	rope	8	75964.737986355758	78588.27871236176	14114.945687752554	6745.1749909868176	128.20512930862606	0
21	l1.s21.append	kv_append	8	78588.27871236176	80518.374501836748	0	6745.1749909868176	102.56410344690084	8593.0272213662047
22	l1.s22.append	kv_append	8	75964.737986355758	79659.201986799817	14114.945687752554	6745.1749909868176	102.56410344690084	8593.0272213662047
23	l1.s23.attn	attention	16	81753.786302836743	85935.350353096874	28229.891375505118	19848.053330773633	1487.1794999804115	17186.054442732413
24	l1.s24.proj	gemm	32	87170.762154096868	94067.536513711719	56459.782751010214	68915.092479721876	60949.795391478576	34372.108885464819
25	l1.s25.norm	rmsnorm	4	95302.948314711713	100348.1021409064	7057.4728438762768	8518.9365398786031	307.69231034076074	4296.5136106831023
26	l1.s26.proj	gemm	64	101583.51394190639	108480.28830152126	112919.56550202043	137830.18495944375	121899.59078295715	68744.217770929637
27	l1.s27.proj	gemm	64	101583.51394190639	108480.28830152126	112919.56550202043	137830.18495944375	121899.59078295715	68744.217770929637
28	l1.s28.act	swiglu	4	109715.70010252125	113596.06154046288	7057.4728438762768	3552.0746765255285	615.38462068157969	4296.5136106831023
29	l1.s29.proj	gemm	32	114831.47334146287	122558.80040439068	56459.782751010214	68915.092479721876	121899.59078295762	0
