producer	consumer	structure	predecessor	successor	all_producer
0	1	M:N	General	General	1
0	2	M:N	General	General	1
0	3	M:N	General	General	1
1	4	M:N	General	General	1
2	5	M:N	General	General	1
5	6	1:1	Unique	Unique	0
3	7	M:N	General	General	1
4	8	1:1	Unique	Unique	0
6	8	M:N	General	General	1
7	8	M:N	General	General	1
8	9	M:N	General	General	1
9	10	M:N	General	General	1
10	11	M:N	General	General	1
10	12	M:N	General	General	1
11	13	M:N	General	General	1
12	13	M:N	General	General	1
9	14	1:1	Unique	Unique	0
13	14	M:N	General	General	1
14	15	M:N	General	General	1
15	16	M:N	General	General	1
15	17	M:N	General	General	1
15	18	M:N	General	General	1
16	19	M:N	General	General	1
17	20	M:N	General	General	1
20	21	1:1	Unique	Unique	0
18	22	M:N	General	General	1
19	23	1:1	Unique	Unique	0
21	23	M:N	General	General	1
22	23	M:N	General	General	1
14	24	1:1	Unique	Unique	0
23	24	M:N	General	General	1
24	25	M:N	General	General	1
25	26	M:N	General	General	1
25	27	M:N	General	General	1
26	28	M:N	General	General	1
27	28	M:N	General	General	1
24	29	1:1	Unique	Unique	0
28	29	M:N	General	General	1
29	30	M:N	General	General	1
30	31	M:N	General	General	1
30	32	M:N	General	General	1
30	33	M:N	General	General	1
31	34	M:N	General	General	1
32	35	M:N	General	General	1
35	36	1:1	Unique	Unique	0
33	37	M:N	General	General	1
34	38	1:1	Unique	Unique	0
36	38	M:N	General	General	1
37	38	M:N	General	General	1
29	39	1:1	Unique	Unique	0
38	39	M:N	General	General	1
39	40	M:N	General	General	1
40	41	M:N	General	General	1
40	42	M:N	General	General	1
41	43	M:N	General	General	1
42	43	M:N	General	General	1
39	44	1:1	Unique	Unique	0
43	44	M:N	General	General	1
44	45	M:N	General	General	1
45	46	M:N	General	General	1
45	47	M:N	General	General	1
45	48	M:N	General	General	1
46	49	M:N	General	General	1
47	50	M:N	General	General	1
50	51	1:1	Unique	Unique	0
48	52	M:N	General	General	1
49	53	1:1	Unique	Unique	0
51	53	M:N	General	General	1
52	53	M:N	General	General	1
44	54	1:1	Unique	Unique	0
53	54	M:N	General	General	1
54	55	M:N	General	General	1
55	56	M:N	General	General	1
55	57	M:N	General	General	1
56	58	M:N	General	General	1
57	58	M:N	General	General	1
54	59	1:1	Unique	Unique	0
58	59	M:N	General	General	1
