cell	operator_class	tile_m	tile_n	tile_k	stages	split_k	operators	legacy_uniform	kappa	residency	distinct_variants	key
llama_s1	0	32	32	64	3	1	l0.s02.proj,l0.s17.proj,l0.s32.proj,l0.s47.proj,l0.s62.proj,l0.s77.proj,l0.s92.proj,l0.s107.proj,l0.s122.proj,l0.s137.proj,l0.s152.proj,l0.s167.proj,l0.s182.proj,l0.s197.proj,l0.s212.proj,l0.s227.proj	"{""split_k"": ""32"", ""stages"": ""2"", ""tile_k"": ""16"", ""tile_m"": ""64"", ""tile_n"": ""128""}"	1	1	5	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s1	1	32	16	64	2	1	l0.s03.proj,l0.s04.proj,l0.s18.proj,l0.s19.proj,l0.s33.proj,l0.s34.proj,l0.s48.proj,l0.s49.proj,l0.s63.proj,l0.s64.proj,l0.s78.proj,l0.s79.proj,l0.s93.proj,l0.s94.proj,l0.s108.proj,l0.s109.proj,l0.s123.proj,l0.s124.proj,l0.s138.proj,l0.s139.proj,l0.s153.proj,l0.s154.proj,l0.s168.proj,l0.s169.proj,l0.s183.proj,l0.s184.proj,l0.s198.proj,l0.s199.proj,l0.s213.proj,l0.s214.proj,l0.s228.proj,l0.s229.proj	"{""split_k"": ""32"", ""stages"": ""2"", ""tile_k"": ""16"", ""tile_m"": ""64"", ""tile_n"": ""128""}"	1	1	5	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s1	2	32	16	64	3	1	l0.s10.proj,l0.s25.proj,l0.s40.proj,l0.s55.proj,l0.s70.proj,l0.s85.proj,l0.s100.proj,l0.s115.proj,l0.s130.proj,l0.s145.proj,l0.s160.proj,l0.s175.proj,l0.s190.proj,l0.s205.proj,l0.s220.proj,l0.s235.proj	"{""split_k"": ""32"", ""stages"": ""2"", ""tile_k"": ""16"", ""tile_m"": ""64"", ""tile_n"": ""128""}"	1	1	5	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s1	3	32	128	64	3	1	l0.s12.proj,l0.s13.proj,l0.s27.proj,l0.s28.proj,l0.s42.proj,l0.s43.proj,l0.s57.proj,l0.s58.proj,l0.s72.proj,l0.s73.proj,l0.s87.proj,l0.s88.proj,l0.s102.proj,l0.s103.proj,l0.s117.proj,l0.s118.proj,l0.s132.proj,l0.s133.proj,l0.s147.proj,l0.s148.proj,l0.s162.proj,l0.s163.proj,l0.s177.proj,l0.s178.proj,l0.s192.proj,l0.s193.proj,l0.s207.proj,l0.s208.proj,l0.s222.proj,l0.s223.proj,l0.s237.proj,l0.s238.proj	"{""split_k"": ""32"", ""stages"": ""2"", ""tile_k"": ""16"", ""tile_m"": ""64"", ""tile_n"": ""128""}"	1	1	5	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s1	4	32	16	64	3	1	l0.s15.proj,l0.s30.proj,l0.s45.proj,l0.s60.proj,l0.s75.proj,l0.s90.proj,l0.s105.proj,l0.s120.proj,l0.s135.proj,l0.s150.proj,l0.s165.proj,l0.s180.proj,l0.s195.proj,l0.s210.proj,l0.s225.proj,l0.s240.proj	"{""split_k"": ""32"", ""stages"": ""2"", ""tile_k"": ""16"", ""tile_m"": ""64"", ""tile_n"": ""128""}"	1	1	5	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s1	5	32	256	16	2	1	l0.s242.proj	"{""split_k"": ""32"", ""stages"": ""2"", ""tile_k"": ""16"", ""tile_m"": ""64"", ""tile_n"": ""128""}"	1	1	5	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s4	0	32	32	64	3	1	l0.s02.proj,l0.s17.proj,l0.s32.proj,l0.s47.proj,l0.s62.proj,l0.s77.proj,l0.s92.proj,l0.s107.proj,l0.s122.proj,l0.s137.proj,l0.s152.proj,l0.s167.proj,l0.s182.proj,l0.s197.proj,l0.s212.proj,l0.s227.proj	"{""split_k"": ""4"", ""stages"": ""2"", ""tile_k"": ""64"", ""tile_m"": ""32"", ""tile_n"": ""16""}"	1	1	4	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s4	1	32	16	64	3	1	l0.s03.proj,l0.s04.proj,l0.s18.proj,l0.s19.proj,l0.s33.proj,l0.s34.proj,l0.s48.proj,l0.s49.proj,l0.s63.proj,l0.s64.proj,l0.s78.proj,l0.s79.proj,l0.s93.proj,l0.s94.proj,l0.s108.proj,l0.s109.proj,l0.s123.proj,l0.s124.proj,l0.s138.proj,l0.s139.proj,l0.s153.proj,l0.s154.proj,l0.s168.proj,l0.s169.proj,l0.s183.proj,l0.s184.proj,l0.s198.proj,l0.s199.proj,l0.s213.proj,l0.s214.proj,l0.s228.proj,l0.s229.proj	"{""split_k"": ""4"", ""stages"": ""2"", ""tile_k"": ""64"", ""tile_m"": ""32"", ""tile_n"": ""16""}"	1	1	4	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s4	2	32	16	64	3	1	l0.s10.proj,l0.s25.proj,l0.s40.proj,l0.s55.proj,l0.s70.proj,l0.s85.proj,l0.s100.proj,l0.s115.proj,l0.s130.proj,l0.s145.proj,l0.s160.proj,l0.s175.proj,l0.s190.proj,l0.s205.proj,l0.s220.proj,l0.s235.proj	"{""split_k"": ""4"", ""stages"": ""2"", ""tile_k"": ""64"", ""tile_m"": ""32"", ""tile_n"": ""16""}"	1	1	4	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
llama_s4	3	32	128	64	3	1	l0.s12.proj,l0.s13.proj,l0.s27.proj,l0.s28.proj,l0.s42.proj,l0.s43.proj,l0.s57.proj,l0.s58.proj,l0.s72.proj,l0.s73.proj,l0.s87.proj,l0.s88.proj,l0.s102.proj,l0.s103.proj,l0.s117.proj,l0.s118.proj,l0.s132.proj,l0.s133.proj,l0.s147.proj,l0.s148.proj,l0.s162.proj,l0.s163.proj,l0.s177.proj,l0.s178.proj,l0.s192.proj,l0.s193.proj,l0.s207.proj,l0.s208.proj,l0.s222.proj,l0.s223.proj,l0.s237.proj,l0.s238.proj	"{""split_k"": ""4"", ""stages"": ""2"", ""tile_k"": ""64"", ""tile_m"": ""32"", ""tile_n"": ""16""}"	1	1	4	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1
