cell	rank	key	pure_ns	eft_ns	eft_over_pure	pure_selected	placed	moved_count	moved_fraction	historical_reported_moved_fraction	evidence
llama_s1	1	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3424876.3375097173	4419059.8634483712	1.2902830432299757	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m1A.metrics.tsv + matrix/llama_s1/selected.cu.m1B.metrics.tsv
llama_s1	2	32x32x64s3k1;32x16x64s2k1;32x16x64s4k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3424876.3375097173	4419059.8634483712	1.2902830432299757	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m2A.metrics.tsv + matrix/llama_s1/selected.cu.m2B.metrics.tsv
llama_s1	3	32x32x64s3k1;32x16x64s2k1;32x16x64s5k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3424876.3375097173	4419059.8634483712	1.2902830432299757	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m3A.metrics.tsv + matrix/llama_s1/selected.cu.m3B.metrics.tsv
llama_s1	4	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x16s2k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3425627.1337001803	4842917.1210360983	1.4137315393707302	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m4A.metrics.tsv + matrix/llama_s1/selected.cu.m4B.metrics.tsv
llama_s1	5	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x16s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3425495.6985552167	4701787.6890728604	1.3725860730334445	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m5A.metrics.tsv + matrix/llama_s1/selected.cu.m5B.metrics.tsv
llama_s1	6	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x16s4k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3425495.6985552167	4701787.6890728604	1.3725860730334445	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m6A.metrics.tsv + matrix/llama_s1/selected.cu.m6B.metrics.tsv
llama_s1	7	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x16s5k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3425495.6985552167	4701787.6890728604	1.3725860730334445	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m7A.metrics.tsv + matrix/llama_s1/selected.cu.m7B.metrics.tsv
llama_s1	8	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x32s2k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3425307.5484971483	4573566.9400148429	1.3352281146320695	1	10151	9464	0.9323219387252487	0.935179	matrix/llama_s1/selected.cu.m8A.metrics.tsv + matrix/llama_s1/selected.cu.m8B.metrics.tsv
llama_s4	1	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3451745.5497145853	4292148.7202645084	1.2434719357049402	1	14525	13191	0.90815834767642	0.922616	matrix/llama_s4/selected.cu.m1A.metrics.tsv + matrix/llama_s4/selected.cu.m1B.metrics.tsv
llama_s4	2	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s4k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	3451745.5497145853	4292148.7202645084	1.2434719357049402	1	14525	13191	0.90815834767642	0.922616	matrix/llama_s4/selected.cu.m2A.metrics.tsv + matrix/llama_s4/selected.cu.m2B.metrics.tsv
