cell	rank	key	estimated	actual	re_solved	residency	flow_ns	simulated_ns
llama_s1	1	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.41002e+06	3.42488e+06
llama_s1	2	32x32x64s3k1;32x16x64s2k1;32x16x64s4k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.41002e+06	3.42488e+06
llama_s1	3	32x32x64s3k1;32x16x64s2k1;32x16x64s5k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.41002e+06	3.42488e+06
llama_s4	1	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.4135e+06	3.45175e+06
llama_s4	2	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s4k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.4135e+06	3.45175e+06
llama_s4	3	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s4k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.4135e+06	3.45175e+06
llama_s16	1	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=2	2	2	0	2	3.56549e+06	3.52694e+06
llama_s16	2	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s3k1;kappa=1;residency=2	2	2	0	2	3.56549e+06	3.52694e+06
llama_s16	3	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s4k1;kappa=1;residency=2	2	2	0	2	3.56549e+06	3.52694e+06
qwen3_s1	1	32x32x64s3k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s3k1;kappa=1;residency=2	2	2	0	2	5.12616e+06	5.12393e+06
qwen3_s1	2	32x32x64s3k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s4k1;kappa=1;residency=2	2	2	0	2	5.12616e+06	5.12393e+06
qwen3_s1	3	32x32x64s3k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s5k1;kappa=1;residency=2	2	2	0	2	5.12616e+06	5.12393e+06
qwen3_s4	1	32x32x64s4k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=2	2	2	0	2	5.12924e+06	5.12924e+06
qwen3_s4	2	32x32x64s4k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s3k1;kappa=1;residency=2	2	2	0	2	5.12924e+06	5.12924e+06
qwen3_s4	3	32x32x64s4k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s4k1;kappa=1;residency=2	2	2	0	2	5.12924e+06	5.12924e+06
