space	tasks	nominal_read_bytes	nominal_write_bytes	physical_read_bytes	physical_write_bytes	no_producer_read_bytes	produced_read_bytes	external_write_bytes
l0.s00.embed	1	4104	4096	4104	4096	4104	0	0
l0.s01.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s02.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s03.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s04.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s05.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s06.rope	8	1536	1024	1536	1024	512	1024	0
l0.s07.append	8	1024	1024	1024	1024	0	1024	1024
l0.s08.append	8	1024	1024	1024	1024	0	1024	1024
l0.s09.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s10.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s11.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s12.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s13.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s14.act	1	32768	16384	32768	16384	0	32768	0
l0.s15.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s16.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s17.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s18.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s19.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s20.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s21.rope	8	1536	1024	1536	1024	512	1024	0
l0.s22.append	8	1024	1024	1024	1024	0	1024	1024
l0.s23.append	8	1024	1024	1024	1024	0	1024	1024
l0.s24.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s25.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s26.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s27.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s28.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s29.act	1	32768	16384	32768	16384	0	32768	0
l0.s30.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s31.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s32.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s33.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s34.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s35.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s36.rope	8	1536	1024	1536	1024	512	1024	0
l0.s37.append	8	1024	1024	1024	1024	0	1024	1024
l0.s38.append	8	1024	1024	1024	1024	0	1024	1024
l0.s39.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s40.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s41.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s42.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s43.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s44.act	1	32768	16384	32768	16384	0	32768	0
l0.s45.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s46.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s47.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s48.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s49.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s50.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s51.rope	8	1536	1024	1536	1024	512	1024	0
l0.s52.append	8	1024	1024	1024	1024	0	1024	1024
l0.s53.append	8	1024	1024	1024	1024	0	1024	1024
l0.s54.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s55.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s56.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s57.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s58.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s59.act	1	32768	16384	32768	16384	0	32768	0
l0.s60.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s61.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s62.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s63.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s64.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s65.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s66.rope	8	1536	1024	1536	1024	512	1024	0
l0.s67.append	8	1024	1024	1024	1024	0	1024	1024
l0.s68.append	8	1024	1024	1024	1024	0	1024	1024
l0.s69.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s70.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s71.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s72.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s73.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s74.act	1	32768	16384	32768	16384	0	32768	0
l0.s75.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s76.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s77.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s78.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s79.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s80.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s81.rope	8	1536	1024	1536	1024	512	1024	0
l0.s82.append	8	1024	1024	1024	1024	0	1024	1024
l0.s83.append	8	1024	1024	1024	1024	0	1024	1024
l0.s84.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s85.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s86.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s87.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s88.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s89.act	1	32768	16384	32768	16384	0	32768	0
l0.s90.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s91.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s92.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s93.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s94.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s95.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s96.rope	8	1536	1024	1536	1024	512	1024	0
l0.s97.append	8	1024	1024	1024	1024	0	1024	1024
l0.s98.append	8	1024	1024	1024	1024	0	1024	1024
l0.s99.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s100.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s101.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s102.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s103.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s104.act	1	32768	16384	32768	16384	0	32768	0
l0.s105.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s106.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s107.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s108.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s109.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s110.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s111.rope	8	1536	1024	1536	1024	512	1024	0
l0.s112.append	8	1024	1024	1024	1024	0	1024	1024
l0.s113.append	8	1024	1024	1024	1024	0	1024	1024
l0.s114.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s115.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s116.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s117.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s118.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s119.act	1	32768	16384	32768	16384	0	32768	0
l0.s120.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s121.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s122.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s123.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s124.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s125.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s126.rope	8	1536	1024	1536	1024	512	1024	0
l0.s127.append	8	1024	1024	1024	1024	0	1024	1024
l0.s128.append	8	1024	1024	1024	1024	0	1024	1024
l0.s129.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s130.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s131.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s132.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s133.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s134.act	1	32768	16384	32768	16384	0	32768	0
l0.s135.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s136.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s137.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s138.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s139.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s140.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s141.rope	8	1536	1024	1536	1024	512	1024	0
l0.s142.append	8	1024	1024	1024	1024	0	1024	1024
l0.s143.append	8	1024	1024	1024	1024	0	1024	1024
l0.s144.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s145.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s146.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s147.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s148.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s149.act	1	32768	16384	32768	16384	0	32768	0
l0.s150.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s151.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s152.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s153.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s154.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s155.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s156.rope	8	1536	1024	1536	1024	512	1024	0
l0.s157.append	8	1024	1024	1024	1024	0	1024	1024
l0.s158.append	8	1024	1024	1024	1024	0	1024	1024
l0.s159.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s160.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s161.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s162.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s163.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s164.act	1	32768	16384	32768	16384	0	32768	0
l0.s165.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s166.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s167.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s168.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s169.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s170.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s171.rope	8	1536	1024	1536	1024	512	1024	0
l0.s172.append	8	1024	1024	1024	1024	0	1024	1024
l0.s173.append	8	1024	1024	1024	1024	0	1024	1024
l0.s174.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s175.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s176.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s177.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s178.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s179.act	1	32768	16384	32768	16384	0	32768	0
l0.s180.proj	128	100663296	131072	35651584	4096	33554432	2097152	0
l0.s181.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s182.proj	64	16777216	131072	8650752	4096	8388608	262144	0
l0.s183.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s184.proj	32	6291456	32768	2228224	1024	2097152	131072	0
l0.s185.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s186.rope	8	1536	1024	1536	1024	512	1024	0
l0.s187.append	8	1024	1024	1024	1024	0	1024	1024
l0.s188.append	8	1024	1024	1024	1024	0	1024	1024
l0.s189.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s190.proj	128	25165824	131072	8912896	4096	8388608	524288	0
l0.s191.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s192.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s193.proj	64	41943040	524288	33816576	16384	33554432	262144	0
l0.s194.act	1	32768	16384	32768	16384	0	32768	0
