producer	consumer	direction	oracle	coordinate	expected	actual	equal
0	1	0	Unique	0	1	1	1
0	1	1	Unique	0	1	1	1
1	2	0	General	0	512	512	1
1	2	1	General	0	1	1	1
1	2	1	General	256	1	1	1
1	2	1	General	511	1	1	1
2	3	0	Unique	0	1	1	1
2	3	0	Unique	256	1	1	1
2	3	0	Unique	511	1	1	1
2	3	1	General	0	32	32	1
2	3	1	General	8	32	32	1
2	3	1	General	15	32	32	1
1	4	0	General	0	256	256	1
1	4	1	General	0	1	1	1
1	4	1	General	128	1	1	1
1	4	1	General	255	1	1	1
4	5	0	Unique	0	1	1	1
4	5	0	Unique	128	1	1	1
4	5	0	Unique	255	1	1	1
4	5	1	General	0	32	32	1
4	5	1	General	4	32	32	1
4	5	1	General	7	32	32	1
3	6	0	General	0	16	16	1
3	6	0	General	8	16	16	1
3	6	0	General	15	16	16	1
3	6	1	General	0	16	16	1
3	6	1	General	8	16	16	1
3	6	1	General	15	16	16	1
5	7	0	General	0	8	8	1
5	7	0	General	4	8	8	1
5	7	0	General	7	8	8	1
5	7	1	General	0	8	8	1
5	7	1	General	4	8	8	1
5	7	1	General	7	8	8	1
1	8	0	General	0	256	256	1
1	8	1	General	0	1	1	1
1	8	1	General	128	1	1	1
1	8	1	General	255	1	1	1
8	9	0	Unique	0	1	1	1
8	9	0	Unique	128	1	1	1
8	9	0	Unique	255	1	1	1
8	9	1	General	0	32	32	1
8	9	1	General	4	32	32	1
8	9	1	General	7	32	32	1
6	10	0	Unique	0	1	1	1
6	10	0	Unique	8	1	1	1
6	10	0	Unique	15	1	1	1
6	10	1	Unique	0	1	1	1
6	10	1	Unique	8	1	1	1
6	10	1	Unique	15	1	1	1
7	11	0	Unique	0	1	1	1
7	11	0	Unique	4	1	1	1
7	11	0	Unique	7	1	1	1
7	11	1	Unique	0	1	1	1
7	11	1	Unique	4	1	1	1
7	11	1	Unique	7	1	1	1
11	12	0	Unique	0	1	1	1
11	12	0	Unique	4	1	1	1
11	12	0	Unique	7	1	1	1
11	12	1	Unique	0	1	1	1
11	12	1	Unique	4	1	1	1
11	12	1	Unique	7	1	1	1
9	13	0	General	0	8	8	1
9	13	0	General	4	8	8	1
9	13	0	General	7	8	8	1
9	13	1	General	0	8	8	1
9	13	1	General	4	8	8	1
9	13	1	General	7	8	8	1
10	14	0	Unique	0	1	1	1
10	14	0	Unique	8	1	1	1
10	14	0	Unique	15	1	1	1
10	14	1	Unique	0	1	1	1
10	14	1	Unique	8	1	1	1
10	14	1	Unique	15	1	1	1
12	14	0	General	0	16	16	1
12	14	0	General	4	16	16	1
12	14	0	General	7	16	16	1
12	14	1	General	0	8	8	1
12	14	1	General	8	8	8	1
12	14	1	General	15	8	8	1
13	14	0	General	0	16	16	1
13	14	0	General	4	16	16	1
13	14	0	General	7	16	16	1
13	14	1	General	0	8	8	1
13	14	1	General	8	8	8	1
13	14	1	General	15	8	8	1
0	15	0	General	0	16	16	1
0	15	1	General	0	1	1	1
0	15	1	General	256	0	0	1
0	15	1	General	511	0	0	1
14	15	0	General	0	512	512	1
14	15	0	General	8	512	512	1
