candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x16s2split1kappa1	1398510.9271867399	7094528.1638423856	280666.71980252047	7094528.1638423856
32x16x16s2split1kappa2	1398510.9271867399	7094528.1638423856	280666.71980252047	7094528.1638423856
32x16x16s2split1kappa4	1398510.9271867399	7094528.1638423856	280666.71980252047	7094528.1638423856
32x16x16s2split2kappa1	1492238.5766896058	4005211.2412136397	274617.47511942679	4005211.2412136397
32x16x16s2split2kappa2	1492238.5766896058	4005211.2412136397	274617.47511942679	4005211.2412136397
32x16x16s2split2kappa4	1492238.5766896058	4005211.2412136397	274617.47511942679	4005211.2412136397
32x16x16s2split4kappa1	1623313.469688365	2417281.4235234372	290975.22253780178	2417281.4235234372
32x16x16s2split4kappa2	1623313.469688365	2417281.4235234372	290975.22253780178	2417281.4235234372
32x16x16s2split4kappa4	1623313.469688365	2417281.4235234372	290975.22253780178	2417281.4235234372
32x16x16s2split8kappa1	1885463.2556666452	1645973.7964385427	344815.13853758445	1885463.2556666452
32x16x16s2split8kappa2	1885463.2556666452	1645973.7964385427	344815.13853758445	1885463.2556666452
32x16x16s2split8kappa4	1885463.2556666452	1645973.7964385427	344815.13853758445	1885463.2556666452
32x16x16s2split16kappa1	2409762.8276822022	1305634.5464164899	447970.02083177835	2409762.8276822022
32x16x16s2split16kappa2	2409762.8276822022	1305634.5464164899	447970.02083177835	2409762.8276822022
32x16x16s2split16kappa4	2409762.8276822022	1305634.5464164899	447970.02083177835	2409762.8276822022
32x16x16s2split32kappa1	3458361.971577086	1226094.0484462783	661176.08819091786	3458361.971577086
32x16x16s2split32kappa2	3458361.971577086	1226094.0484462783	661176.08819091786	3458361.971577086
32x16x16s2split32kappa4	3458361.971577086	1226094.0484462783	661176.08819091786	3458361.971577086
32x16x32s2split1kappa1	779372.10488568328	4033456.0160369719	153876.74918336162	4033456.0160369719
32x16x32s2split1kappa2	779372.10488568328	4033456.0160369719	153876.74918336162	4033456.0160369719
32x16x32s2split1kappa4	779372.10488568328	4033456.0160369719	153876.74918336162	4033456.0160369719
32x16x32s2split2kappa1	873099.75438476924	2474675.1673109392	156883.930973065	2474675.1673109392
32x16x32s2split2kappa2	873099.75438476924	2474675.1673109392	156883.930973065	2474675.1673109392
32x16x32s2split2kappa4	873099.75438476924	2474675.1673109392	156883.930973065	2474675.1673109392
32x16x32s2split4kappa1	1004174.6473785378	1652013.3865720828	177769.89162783849	1652013.3865720828
32x16x32s2split4kappa2	1004174.6473785378	1652013.3865720828	177769.89162783849	1652013.3865720828
