candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
32x16x64s2split4kappa1r1	eft	ok	2.24881e+07	1.57188e+06	2.24868e+07	3.0835e+07	128	1
32x16x64s2split4kappa1r1	rotate	ok	2.25017e+07	1.57188e+06	2.23572e+07	2.90598e+07	128	1
32x16x64s2split4kappa1r1	legacy_grid_stride	ok	2.25031e+07	1.57188e+06	2.24867e+07	2.90124e+07	128	1
32x16x64s2split4kappa1r1	wavefront	ok	2.25031e+07	1.57188e+06	2.24867e+07	2.89432e+07	128	1
32x16x64s2split4kappa1r1	chain	ok	2.25528e+07	1.57188e+06	2.24468e+07	3.09955e+07	128	1
32x16x64s2split4kappa1r1	balanced	ok	7.23896e+08	1.57188e+06	2.87227e+07	8.89602e+08	128	1
32x16x64s2split4kappa1r2	eft	ok	1.72388e+07	2.3698e+06	1.72356e+07	2.20607e+07	256	1
32x16x64s2split4kappa1r2	wavefront	ok	1.7252e+07	2.3698e+06	1.72051e+07	2.10715e+07	256	1
32x16x64s2split4kappa1r2	rotate	ok	1.73078e+07	2.3698e+06	1.69386e+07	2.13118e+07	256	1
32x16x64s2split4kappa1r2	legacy_grid_stride	ok	1.73099e+07	2.3698e+06	1.72629e+07	2.13126e+07	256	1
32x16x64s2split4kappa1r2	chain	ok	1.73527e+07	2.3698e+06	1.70605e+07	2.2256e+07	256	1
32x16x64s2split4kappa1r2	balanced	ok	8.63079e+08	2.3698e+06	2.65852e+07	9.99218e+08	256	1
32x16x64s2split4kappa1r3	eft	ok	1.57277e+07	3.16771e+06	1.57195e+07	1.92441e+07	384	1
32x16x64s2split4kappa1r3	chain	ok	1.61772e+07	3.16771e+06	1.56407e+07	1.96557e+07	384	1
32x16x64s2split4kappa1r3	wavefront	ok	1.64417e+07	3.16771e+06	1.63912e+07	1.96403e+07	384	1
32x16x64s2split4kappa1r3	rotate	ok	1.65111e+07	3.16771e+06	1.51825e+07	1.96678e+07	384	1
32x16x64s2split4kappa1r3	legacy_grid_stride	ok	1.69671e+07	3.16771e+06	1.69165e+07	2.02649e+07	384	1
32x16x64s2split4kappa1r3	balanced	ok	9.48691e+08	3.16771e+06	3.17071e+07	1.06088e+09	384	1
32x16x64s2split4kappa1r4	eft	ok	1.48887e+07	3.96563e+06	1.48731e+07	1.79635e+07	512	1
32x16x64s2split4kappa1r4	wavefront	ok	1.49272e+07	3.96563e+06	1.48191e+07	1.75024e+07	512	1
32x16x64s2split4kappa1r4	rotate	ok	1.51069e+07	3.96563e+06	1.42406e+07	1.79449e+07	512	1
32x16x64s2split4kappa1r4	chain	ok	1.51306e+07	3.96563e+06	1.44394e+07	1.81903e+07	512	1
