candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
32x16x32s2split8kappa1r1	wavefront	ok	983994	108241	983994	1.63288e+06	128	1
32x16x32s2split8kappa1r1	legacy_grid_stride	ok	983994	108241	983994	1.6477e+06	128	1
32x16x32s2split8kappa1r1	rotate	ok	983994	108241	983994	1.6477e+06	128	1
32x16x32s2split8kappa1r1	eft	ok	986585	108241	986585	1.71699e+06	128	1
32x16x32s2split8kappa1r1	chain	ok	993066	108241	985878	1.72382e+06	128	1
32x16x32s2split8kappa1r1	balanced	ok	7.57802e+06	108241	1.19998e+06	1.19252e+07	128	1
32x16x32s2split8kappa1r2	eft	ok	533300	123535	533300	1.00603e+06	256	1
32x16x32s2split8kappa1r2	wavefront	ok	535607	123535	532325	974919	256	1
32x16x32s2split8kappa1r2	legacy_grid_stride	ok	542544	123535	539262	1.00927e+06	256	1
32x16x32s2split8kappa1r2	rotate	ok	542544	123535	514702	1.01298e+06	256	1
32x16x32s2split8kappa1r2	chain	ok	552845	123535	515705	1.0375e+06	256	1
32x16x32s2split8kappa1r2	balanced	ok	5.01708e+06	123535	665030	7.9426e+06	256	1
32x16x32s2split8kappa1r3	eft	ok	393580	139610	380306	756737	384	1
32x16x32s2split8kappa1r3	rotate	ok	410333	139610	360394	771484	384	1
32x16x32s2split8kappa1r3	chain	ok	419019	139610	377038	791388	384	1
32x16x32s2split8kappa1r3	wavefront	ok	421317	139610	421317	809070	384	1
32x16x32s2split8kappa1r3	legacy_grid_stride	ok	468267	139610	468267	880973	384	1
32x16x32s2split8kappa1r3	balanced	ok	4.74545e+06	139610	603138	7.19639e+06	384	1
32x16x32s2split8kappa1r4	eft	ok	333770	157982	333719	634097	512	1
32x16x32s2split8kappa1r4	wavefront	ok	333821	157982	323975	636910	512	1
32x16x32s2split8kappa1r4	legacy_grid_stride	ok	365093	157982	355247	713362	512	1
32x16x32s2split8kappa1r4	rotate	ok	365093	157982	298192	745298	512	1
32x16x32s2split8kappa1r4	chain	ok	366050	157982	303787	679646	512	1
32x16x32s2split8kappa1r4	balanced	ok	4.73534e+06	157982	736144	7.13766e+06	512	1
32x16x32s2split8kappa1r5	eft	ok	310551	176354	307433	603803	640	1
32x16x32s2split8kappa1r5	rotate	ok	324368	176354	256167	672523	640	1
