workers=512
worker	slot	stage	logical_task
0	0	0	0
0	1	1	0
0	2	1	512
0	3	3	256
0	4	2	0
0	5	7	0
0	6	8	128
0	7	9	0
0	8	11	0
0	9	12	0
0	10	12	512
0	11	13	0
0	12	14	0
0	13	15	0
0	14	15	512
0	15	15	1024
0	16	17	0
0	17	17	512
0	18	17	1024
0	19	16	0
0	20	19	0
0	21	20	0
0	22	20	512
0	23	20	1024
0	24	21	0
0	25	22	0
0	26	23	0
0	27	23	512
0	28	25	256
0	29	24	0
0	30	29	0
0	31	30	128
0	32	31	0
0	33	33	0
0	34	34	0
0	35	34	512
0	36	35	0
0	37	36	0
0	38	37	0
0	39	37	512
0	40	37	1024
0	41	39	0
0	42	39	512
0	43	39	1024
0	44	38	0
0	45	41	0
0	46	42	0
0	47	42	512
0	48	42	1024
0	49	43	0
1	0	0	1
1	1	1	1
1	2	1	513
1	3	3	257
1	4	2	1
1	5	7	1
1	6	8	129
1	7	9	1
1	8	11	1
1	9	12	1
1	10	12	513
1	11	13	1
1	12	14	1
1	13	15	1
1	14	15	513
1	15	15	1025
1	16	17	1
1	17	17	513
1	18	17	1025
1	19	16	1
1	20	19	1
1	21	20	1
1	22	20	513
1	23	20	1025
1	24	21	1
1	25	22	1
1	26	23	1
1	27	23	513
1	28	25	257
1	29	24	1
1	30	29	1
1	31	30	129
1	32	31	1
1	33	33	1
1	34	34	1
1	35	34	513
1	36	35	1
1	37	36	1
1	38	37	1
1	39	37	513
1	40	37	1025
1	41	39	1
1	42	39	513
1	43	39	1025
1	44	38	1
1	45	41	1
1	46	42	1
1	47	42	513
1	48	42	1025
1	49	43	1
2	0	0	2
2	1	1	2
2	2	1	514
2	3	3	258
2	4	2	2
2	5	7	2
2	6	8	130
2	7	9	2
2	8	11	2
2	9	12	2
2	10	12	514
2	11	13	2
2	12	14	2
2	13	15	2
2	14	15	514
2	15	15	1026
2	16	17	2
2	17	17	514
2	18	17	1026
2	19	16	2
2	20	19	2
2	21	20	2
2	22	20	514
2	23	20	1026
2	24	21	2
2	25	22	2
2	26	23	2
2	27	23	514
2	28	25	258
2	29	24	2
2	30	29	2
2	31	30	130
2	32	31	2
2	33	33	2
2	34	34	2
2	35	34	514
2	36	35	2
2	37	36	2
2	38	37	2
2	39	37	514
2	40	37	1026
2	41	39	2
2	42	39	514
2	43	39	1026
2	44	38	2
2	45	41	2
2	46	42	2
2	47	42	514
2	48	42	1026
2	49	43	2
3	0	0	3
3	1	1	3
3	2	1	515
3	3	3	259
3	4	2	3
3	5	7	3
3	6	8	131
3	7	9	3
3	8	11	3
3	9	12	3
3	10	12	515
3	11	13	3
3	12	14	3
3	13	15	3
3	14	15	515
3	15	15	1027
3	16	17	3
3	17	17	515
3	18	17	1027
3	19	16	3
3	20	19	3
3	21	20	3
3	22	20	515
3	23	20	1027
3	24	21	3
3	25	22	3
3	26	23	3
3	27	23	515
3	28	25	259
3	29	24	3
3	30	29	3
3	31	30	131
3	32	31	3
3	33	33	3
3	34	34	3
3	35	34	515
3	36	35	3
3	37	36	3
3	38	37	3
3	39	37	515
3	40	37	1027
3	41	39	3
3	42	39	515
3	43	39	1027
3	44	38	3
3	45	41	3
3	46	42	3
3	47	42	515
3	48	42	1027
3	49	43	3
4	0	0	4
4	1	1	4
4	2	1	516
4	3	3	260
4	4	2	4
4	5	7	4
4	6	8	132
4	7	9	4
4	8	11	4
4	9	12	4
4	10	12	516
4	11	13	4
4	12	14	4
4	13	15	4
4	14	15	516
4	15	15	1028
4	16	17	4
4	17	17	516
4	18	17	1028
4	19	16	4
4	20	19	4
4	21	20	4
4	22	20	516
4	23	20	1028
4	24	21	4
4	25	22	4
4	26	23	4
4	27	23	516
4	28	25	260
4	29	24	4
4	30	29	4
4	31	30	132
4	32	31	4
4	33	33	4
4	34	34	4
4	35	34	516
4	36	35	4
4	37	36	4
4	38	37	4
4	39	37	516
4	40	37	1028
4	41	39	4
4	42	39	516
4	43	39	1028
4	44	38	4
4	45	41	4
4	46	42	4
4	47	42	516
4	48	42	1028
4	49	43	4
5	0	0	5
5	1	1	5
5	2	1	517
5	3	3	261
5	4	2	5
5	5	7	5
5	6	8	133
5	7	9	5
5	8	11	5
5	9	12	5
5	10	12	517
5	11	13	5
5	12	14	5
5	13	15	5
5	14	15	517
5	15	15	1029
5	16	17	5
5	17	17	517
5	18	17	1029
5	19	16	5
5	20	19	5
5	21	20	5
5	22	20	517
5	23	20	1029
5	24	21	5
5	25	22	5
5	26	23	5
5	27	23	517
5	28	25	261
5	29	24	5
5	30	29	5
5	31	30	133
5	32	31	5
5	33	33	5
5	34	34	5
5	35	34	517
5	36	35	5
5	37	36	5
5	38	37	5
5	39	37	517
5	40	37	1029
5	41	39	5
5	42	39	517
5	43	39	1029
5	44	38	5
5	45	41	5
5	46	42	5
5	47	42	517
5	48	42	1029
5	49	43	5
6	0	0	6
6	1	1	6
6	2	1	518
6	3	3	262
6	4	2	6
6	5	7	6
6	6	8	134
6	7	9	6
6	8	11	6
6	9	12	6
6	10	12	518
6	11	13	6
6	12	14	6
6	13	15	6
6	14	15	518
6	15	15	1030
6	16	17	6
6	17	17	518
6	18	17	1030
6	19	16	6
6	20	19	6
6	21	20	6
6	22	20	518
6	23	20	1030
6	24	21	6
6	25	22	6
6	26	23	6
6	27	23	518
6	28	25	262
6	29	24	6
6	30	29	6
6	31	30	134
6	32	31	6
6	33	33	6
6	34	34	6
6	35	34	518
6	36	35	6
6	37	36	6
6	38	37	6
6	39	37	518
6	40	37	1030
6	41	39	6
6	42	39	518
6	43	39	1030
6	44	38	6
6	45	41	6
6	46	42	6
6	47	42	518
6	48	42	1030
6	49	43	6
7	0	0	7
7	1	1	7
7	2	1	519
7	3	3	263
7	4	2	7
7	5	7	7
7	6	8	135
7	7	9	7
7	8	11	7
7	9	12	7
7	10	12	519
7	11	13	7
7	12	14	7
7	13	15	7
7	14	15	519
7	15	15	1031
7	16	17	7
7	17	17	519
7	18	17	1031
7	19	16	7
7	20	19	7
7	21	20	7
7	22	20	519
7	23	20	1031
7	24	21	7
7	25	22	7
7	26	23	7
7	27	23	519
7	28	25	263
7	29	24	7
7	30	29	7
7	31	30	135
7	32	31	7
7	33	33	7
7	34	34	7
7	35	34	519
7	36	35	7
7	37	36	7
7	38	37	7
7	39	37	519
7	40	37	1031
7	41	39	7
7	42	39	519
7	43	39	1031
7	44	38	7
7	45	41	7
7	46	42	7
7	47	42	519
7	48	42	1031
7	49	43	7
8	0	0	8
8	1	1	8
8	2	1	520
8	3	3	264
8	4	2	8
8	5	7	8
8	6	8	136
8	7	9	8
8	8	11	8
8	9	12	8
8	10	12	520
8	11	13	8
8	12	14	8
8	13	15	8
8	14	15	520
8	15	15	1032
8	16	17	8
8	17	17	520
8	18	17	1032
8	19	16	8
8	20	19	8
8	21	20	8
8	22	20	520
8	23	20	1032
8	24	21	8
8	25	22	8
8	26	23	8
8	27	23	520
8	28	25	264
8	29	24	8
8	30	29	8
8	31	30	136
8	32	31	8
8	33	33	8
8	34	34	8
8	35	34	520
8	36	35	8
8	37	36	8
8	38	37	8
8	39	37	520
8	40	37	1032
8	41	39	8
8	42	39	520
8	43	39	1032
8	44	38	8
8	45	41	8
8	46	42	8
8	47	42	520
8	48	42	1032
8	49	43	8
9	0	0	9
9	1	1	9
9	2	1	521
9	3	3	265
9	4	2	9
9	5	7	9
9	6	8	137
9	7	9	9
9	8	11	9
9	9	12	9
9	10	12	521
9	11	13	9
9	12	14	9
9	13	15	9
9	14	15	521
9	15	15	1033
9	16	17	9
9	17	17	521
9	18	17	1033
9	19	16	9
9	20	19	9
9	21	20	9
9	22	20	521
9	23	20	1033
9	24	21	9
9	25	22	9
9	26	23	9
9	27	23	521
9	28	25	265
9	29	24	9
9	30	29	9
9	31	30	137
9	32	31	9
9	33	33	9
9	34	34	9
9	35	34	521
9	36	35	9
9	37	36	9
9	38	37	9
9	39	37	521
9	40	37	1033
9	41	39	9
9	42	39	521
9	43	39	1033
9	44	38	9
9	45	41	9
9	46	42	9
9	47	42	521
9	48	42	1033
9	49	43	9
10	0	0	10
10	1	1	10
10	2	1	522
10	3	3	266
10	4	2	10
10	5	7	10
10	6	8	138
10	7	9	10
10	8	11	10
10	9	12	10
10	10	12	522
10	11	13	10
10	12	14	10
10	13	15	10
10	14	15	522
10	15	15	1034
10	16	17	10
10	17	17	522
10	18	17	1034
10	19	16	10
10	20	19	10
10	21	20	10
10	22	20	522
10	23	20	1034
10	24	21	10
10	25	22	10
10	26	23	10
10	27	23	522
10	28	25	266
10	29	24	10
10	30	29	10
10	31	30	138
10	32	31	10
10	33	33	10
10	34	34	10
10	35	34	522
10	36	35	10
10	37	36	10
10	38	37	10
10	39	37	522
10	40	37	1034
10	41	39	10
10	42	39	522
10	43	39	1034
10	44	38	10
10	45	41	10
10	46	42	10
10	47	42	522
10	48	42	1034
10	49	43	10
11	0	0	11
11	1	1	11
11	2	1	523
11	3	3	267
11	4	2	11
11	5	7	11
11	6	8	139
11	7	9	11
11	8	11	11
11	9	12	11
11	10	12	523
11	11	13	11
11	12	14	11
11	13	15	11
11	14	15	523
11	15	15	1035
11	16	17	11
11	17	17	523
11	18	17	1035
11	19	16	11
11	20	19	11
11	21	20	11
11	22	20	523
11	23	20	1035
11	24	21	11
11	25	22	11
11	26	23	11
11	27	23	523
11	28	25	267
11	29	24	11
11	30	29	11
11	31	30	139
11	32	31	11
11	33	33	11
11	34	34	11
11	35	34	523
11	36	35	11
11	37	36	11
11	38	37	11
11	39	37	523
11	40	37	1035
11	41	39	11
11	42	39	523
11	43	39	1035
11	44	38	11
11	45	41	11
11	46	42	11
11	47	42	523
11	48	42	1035
11	49	43	11
12	0	0	12
12	1	1	12
12	2	1	524
12	3	3	268
12	4	2	12
12	5	7	12
12	6	8	140
12	7	9	12
12	8	11	12
12	9	12	12
12	10	12	524
12	11	13	12
12	12	14	12
12	13	15	12
12	14	15	524
12	15	15	1036
12	16	17	12
12	17	17	524
12	18	17	1036
12	19	16	12
12	20	19	12
12	21	20	12
12	22	20	524
12	23	20	1036
12	24	21	12
12	25	22	12
12	26	23	12
12	27	23	524
12	28	25	268
12	29	24	12
12	30	29	12
12	31	30	140
12	32	31	12
12	33	33	12
12	34	34	12
12	35	34	524
12	36	35	12
12	37	36	12
12	38	37	12
12	39	37	524
12	40	37	1036
12	41	39	12
12	42	39	524
12	43	39	1036
12	44	38	12
12	45	41	12
12	46	42	12
12	47	42	524
12	48	42	1036
12	49	43	12
13	0	0	13
13	1	1	13
13	2	1	525
13	3	3	269
13	4	2	13
13	5	7	13
13	6	8	141
13	7	9	13
13	8	11	13
13	9	12	13
13	10	12	525
13	11	13	13
13	12	14	13
13	13	15	13
13	14	15	525
13	15	15	1037
13	16	17	13
13	17	17	525
13	18	17	1037
13	19	16	13
13	20	19	13
13	21	20	13
13	22	20	525
13	23	20	1037
13	24	21	13
13	25	22	13
13	26	23	13
13	27	23	525
13	28	25	269
13	29	24	13
13	30	29	13
13	31	30	141
13	32	31	13
13	33	33	13
13	34	34	13
13	35	34	525
13	36	35	13
13	37	36	13
13	38	37	13
13	39	37	525
13	40	37	1037
13	41	39	13
13	42	39	525
13	43	39	1037
13	44	38	13
13	45	41	13
13	46	42	13
13	47	42	525
13	48	42	1037
13	49	43	13
14	0	0	14
14	1	1	14
14	2	1	526
14	3	3	270
14	4	2	14
14	5	7	14
14	6	8	142
14	7	9	14
14	8	11	14
14	9	12	14
14	10	12	526
14	11	13	14
14	12	14	14
14	13	15	14
14	14	15	526
14	15	15	1038
14	16	17	14
14	17	17	526
14	18	17	1038
14	19	16	14
14	20	19	14
14	21	20	14
14	22	20	526
14	23	20	1038
14	24	21	14
14	25	22	14
14	26	23	14
14	27	23	526
14	28	25	270
14	29	24	14
14	30	29	14
14	31	30	142
14	32	31	14
14	33	33	14
14	34	34	14
14	35	34	526
14	36	35	14
14	37	36	14
14	38	37	14
14	39	37	526
14	40	37	1038
14	41	39	14
14	42	39	526
14	43	39	1038
14	44	38	14
14	45	41	14
14	46	42	14
14	47	42	526
14	48	42	1038
14	49	43	14
15	0	0	15
15	1	1	15
15	2	1	527
15	3	3	271
15	4	2	15
15	5	7	15
15	6	8	143
15	7	9	15
15	8	11	15
15	9	12	15
15	10	12	527
15	11	13	15
15	12	14	15
15	13	15	15
15	14	15	527
15	15	15	1039
15	16	17	15
15	17	17	527
15	18	17	1039
15	19	16	15
15	20	19	15
15	21	20	15
15	22	20	527
15	23	20	1039
15	24	21	15
15	25	22	15
15	26	23	15
15	27	23	527
15	28	25	271
15	29	24	15
15	30	29	15
15	31	30	143
15	32	31	15
15	33	33	15
15	34	34	15
15	35	34	527
15	36	35	15
15	37	36	15
15	38	37	15
15	39	37	527
15	40	37	1039
15	41	39	15
15	42	39	527
15	43	39	1039
15	44	38	15
15	45	41	15
15	46	42	15
15	47	42	527
15	48	42	1039
15	49	43	15
16	0	0	16
16	1	1	16
16	2	1	528
16	3	3	272
16	4	2	16
16	5	7	16
16	6	8	144
16	7	9	16
16	8	11	16
16	9	12	16
16	10	12	528
16	11	13	16
16	12	14	16
16	13	15	16
16	14	15	528
16	15	15	1040
16	16	17	16
16	17	17	528
16	18	17	1040
16	19	16	16
16	20	19	16
16	21	20	16
16	22	20	528
16	23	20	1040
16	24	21	16
16	25	22	16
16	26	23	16
16	27	23	528
16	28	25	272
16	29	24	16
