workers=512
worker	slot	stage	logical_task
0	0	0	0
0	1	1	0
0	2	5	0
0	3	2	0
0	4	7	0
0	5	9	0
0	6	11	0
0	7	12	0
0	8	13	0
0	9	14	0
0	10	15	0
0	11	17	0
0	12	16	0
0	13	19	0
0	14	20	0
0	15	21	0
0	16	22	0
0	17	23	0
0	18	27	0
0	19	24	0
0	20	29	0
0	21	31	0
0	22	33	0
0	23	34	0
0	24	35	0
0	25	36	0
0	26	37	0
0	27	39	0
0	28	38	0
0	29	41	0
0	30	42	0
0	31	43	0
0	32	44	0
0	33	45	0
0	34	49	0
0	35	46	0
0	36	51	0
0	37	53	0
0	38	55	0
0	39	56	0
0	40	57	0
0	41	58	0
0	42	59	0
0	43	61	0
0	44	60	0
0	45	63	0
0	46	64	0
0	47	65	0
0	48	66	0
0	49	67	0
0	50	71	0
0	51	68	0
0	52	73	0
0	53	75	0
0	54	77	0
0	55	78	0
0	56	79	0
0	57	80	0
0	58	81	0
0	59	83	0
0	60	82	0
0	61	85	0
0	62	86	0
0	63	87	0
1	0	0	1
1	1	1	1
1	2	5	1
1	3	2	1
1	4	7	1
1	5	9	1
1	6	11	1
1	7	12	1
1	8	13	1
1	9	14	1
1	10	15	1
1	11	17	1
1	12	16	1
1	13	19	1
1	14	20	1
1	15	21	1
1	16	22	1
1	17	23	1
1	18	27	1
1	19	24	1
1	20	29	1
1	21	31	1
1	22	33	1
1	23	34	1
1	24	35	1
1	25	36	1
1	26	37	1
1	27	39	1
1	28	38	1
1	29	41	1
1	30	42	1
1	31	43	1
1	32	44	1
1	33	45	1
1	34	49	1
1	35	46	1
1	36	51	1
1	37	53	1
1	38	55	1
1	39	56	1
1	40	57	1
1	41	58	1
1	42	59	1
1	43	61	1
1	44	60	1
1	45	63	1
1	46	64	1
1	47	65	1
1	48	66	1
1	49	67	1
1	50	71	1
1	51	68	1
1	52	73	1
1	53	75	1
1	54	77	1
1	55	78	1
1	56	79	1
1	57	80	1
1	58	81	1
1	59	83	1
1	60	82	1
1	61	85	1
1	62	86	1
1	63	87	1
2	0	0	2
2	1	1	2
2	2	5	2
2	3	2	2
2	4	7	2
2	5	9	2
2	6	11	2
2	7	12	2
2	8	13	2
2	9	14	2
2	10	15	2
2	11	17	2
2	12	16	2
2	13	19	2
2	14	20	2
2	15	21	2
2	16	22	2
2	17	23	2
2	18	27	2
2	19	24	2
2	20	29	2
2	21	31	2
2	22	33	2
2	23	34	2
2	24	35	2
2	25	36	2
2	26	37	2
2	27	39	2
2	28	38	2
2	29	41	2
2	30	42	2
2	31	43	2
2	32	44	2
2	33	45	2
2	34	49	2
2	35	46	2
2	36	51	2
2	37	53	2
2	38	55	2
2	39	56	2
2	40	57	2
2	41	58	2
2	42	59	2
2	43	61	2
2	44	60	2
2	45	63	2
2	46	64	2
2	47	65	2
2	48	66	2
2	49	67	2
2	50	71	2
2	51	68	2
2	52	73	2
2	53	75	2
2	54	77	2
2	55	78	2
2	56	79	2
2	57	80	2
2	58	81	2
2	59	83	2
2	60	82	2
2	61	85	2
2	62	86	2
2	63	87	2
3	0	0	3
3	1	1	3
3	2	5	3
3	3	2	3
3	4	7	3
3	5	9	3
3	6	11	3
3	7	12	3
3	8	13	3
3	9	14	3
3	10	15	3
3	11	17	3
3	12	16	3
3	13	19	3
3	14	20	3
3	15	21	3
3	16	22	3
3	17	23	3
3	18	27	3
3	19	24	3
3	20	29	3
3	21	31	3
3	22	33	3
3	23	34	3
3	24	35	3
3	25	36	3
3	26	37	3
3	27	39	3
3	28	38	3
3	29	41	3
3	30	42	3
3	31	43	3
3	32	44	3
3	33	45	3
3	34	49	3
3	35	46	3
3	36	51	3
3	37	53	3
3	38	55	3
3	39	56	3
3	40	57	3
3	41	58	3
3	42	59	3
3	43	61	3
3	44	60	3
3	45	63	3
3	46	64	3
3	47	65	3
3	48	66	3
3	49	67	3
3	50	71	3
3	51	68	3
3	52	73	3
3	53	75	3
3	54	77	3
3	55	78	3
3	56	79	3
3	57	80	3
3	58	81	3
3	59	83	3
3	60	82	3
3	61	85	3
3	62	86	3
3	63	87	3
4	0	0	4
4	1	1	4
4	2	5	4
4	3	2	4
4	4	7	4
4	5	9	4
4	6	11	4
4	7	12	4
4	8	13	4
4	9	14	4
4	10	15	4
4	11	17	4
4	12	16	4
4	13	19	4
4	14	20	4
4	15	21	4
4	16	22	4
4	17	23	4
4	18	27	4
4	19	24	4
4	20	29	4
4	21	31	4
4	22	33	4
4	23	34	4
4	24	35	4
4	25	36	4
4	26	37	4
4	27	39	4
4	28	38	4
4	29	41	4
4	30	42	4
4	31	43	4
4	32	44	4
4	33	45	4
4	34	49	4
4	35	46	4
4	36	51	4
4	37	53	4
4	38	55	4
4	39	56	4
4	40	57	4
4	41	58	4
4	42	59	4
4	43	61	4
4	44	60	4
4	45	63	4
4	46	64	4
4	47	65	4
4	48	66	4
4	49	67	4
4	50	71	4
4	51	68	4
4	52	73	4
4	53	75	4
4	54	77	4
4	55	78	4
4	56	79	4
4	57	80	4
4	58	81	4
4	59	83	4
4	60	82	4
4	61	85	4
4	62	86	4
4	63	87	4
5	0	0	5
5	1	1	5
5	2	5	5
5	3	2	5
5	4	7	5
5	5	9	5
5	6	11	5
5	7	12	5
5	8	13	5
5	9	14	5
5	10	15	5
5	11	17	5
5	12	16	5
5	13	19	5
5	14	20	5
5	15	21	5
5	16	22	5
5	17	23	5
5	18	27	5
5	19	24	5
5	20	29	5
5	21	31	5
5	22	33	5
5	23	34	5
5	24	35	5
5	25	36	5
5	26	37	5
5	27	39	5
5	28	38	5
5	29	41	5
5	30	42	5
5	31	43	5
5	32	44	5
5	33	45	5
5	34	49	5
5	35	46	5
5	36	51	5
5	37	53	5
5	38	55	5
5	39	56	5
5	40	57	5
5	41	58	5
5	42	59	5
5	43	61	5
5	44	60	5
5	45	63	5
5	46	64	5
5	47	65	5
5	48	66	5
5	49	67	5
5	50	71	5
5	51	68	5
5	52	73	5
5	53	75	5
5	54	77	5
5	55	78	5
5	56	79	5
5	57	80	5
5	58	81	5
5	59	83	5
5	60	82	5
5	61	85	5
5	62	86	5
5	63	87	5
6	0	0	6
6	1	1	6
6	2	5	6
6	3	2	6
6	4	7	6
6	5	9	6
6	6	11	6
6	7	12	6
6	8	13	6
6	9	14	6
6	10	15	6
6	11	17	6
6	12	16	6
6	13	19	6
6	14	20	6
6	15	21	6
6	16	22	6
6	17	23	6
6	18	27	6
6	19	24	6
6	20	29	6
6	21	31	6
6	22	33	6
6	23	34	6
6	24	35	6
6	25	36	6
6	26	37	6
6	27	39	6
6	28	38	6
6	29	41	6
6	30	42	6
6	31	43	6
6	32	44	6
6	33	45	6
6	34	49	6
6	35	46	6
6	36	51	6
6	37	53	6
6	38	55	6
6	39	56	6
6	40	57	6
6	41	58	6
6	42	59	6
6	43	61	6
6	44	60	6
6	45	63	6
6	46	64	6
6	47	65	6
6	48	66	6
6	49	67	6
6	50	71	6
6	51	68	6
6	52	73	6
6	53	75	6
6	54	77	6
6	55	78	6
6	56	79	6
6	57	80	6
6	58	81	6
6	59	83	6
6	60	82	6
6	61	85	6
6	62	86	6
6	63	87	6
7	0	0	7
7	1	1	7
7	2	5	7
7	3	2	7
7	4	7	7
7	5	9	7
7	6	11	7
7	7	12	7
7	8	13	7
7	9	14	7
7	10	15	7
7	11	17	7
7	12	16	7
7	13	19	7
7	14	20	7
7	15	21	7
7	16	22	7
7	17	23	7
7	18	27	7
7	19	24	7
7	20	29	7
7	21	31	7
7	22	33	7
7	23	34	7
7	24	35	7
7	25	36	7
7	26	37	7
7	27	39	7
7	28	38	7
7	29	41	7
7	30	42	7
7	31	43	7
7	32	44	7
7	33	45	7
7	34	49	7
7	35	46	7
7	36	51	7
7	37	53	7
7	38	55	7
7	39	56	7
7	40	57	7
7	41	58	7
7	42	59	7
7	43	61	7
7	44	60	7
7	45	63	7
7	46	64	7
7	47	65	7
7	48	66	7
7	49	67	7
7	50	71	7
7	51	68	7
7	52	73	7
7	53	75	7
7	54	77	7
7	55	78	7
7	56	79	7
7	57	80	7
7	58	81	7
7	59	83	7
7	60	82	7
7	61	85	7
7	62	86	7
7	63	87	7
8	0	0	8
8	1	1	8
8	2	5	8
8	3	2	8
8	4	7	8
8	5	9	8
8	6	11	8
8	7	12	8
8	8	13	8
8	9	14	8
8	10	15	8
8	11	17	8
8	12	16	8
8	13	19	8
8	14	20	8
8	15	21	8
8	16	22	8
8	17	23	8
8	18	27	8
8	19	24	8
8	20	29	8
8	21	31	8
8	22	33	8
8	23	34	8
8	24	35	8
8	25	36	8
8	26	37	8
8	27	39	8
8	28	38	8
8	29	41	8
8	30	42	8
8	31	43	8
8	32	44	8
8	33	45	8
8	34	49	8
8	35	46	8
8	36	51	8
8	37	53	8
8	38	55	8
8	39	56	8
8	40	57	8
8	41	58	8
8	42	59	8
8	43	61	8
8	44	60	8
8	45	63	8
8	46	64	8
8	47	65	8
8	48	66	8
8	49	67	8
8	50	71	8
8	51	68	8
8	52	73	8
8	53	75	8
8	54	77	8
8	55	78	8
8	56	79	8
8	57	80	8
8	58	81	8
8	59	83	8
8	60	82	8
8	61	85	8
8	62	86	8
8	63	87	8
9	0	0	9
9	1	1	9
9	2	5	9
9	3	2	9
9	4	7	9
9	5	9	9
9	6	11	9
9	7	12	9
9	8	13	9
9	9	14	9
9	10	15	9
9	11	17	9
9	12	16	9
9	13	19	9
9	14	20	9
9	15	21	9
9	16	22	9
9	17	23	9
9	18	27	9
9	19	24	9
9	20	29	9
9	21	31	9
9	22	33	9
9	23	34	9
9	24	35	9
9	25	36	9
9	26	37	9
9	27	39	9
9	28	38	9
9	29	41	9
9	30	42	9
9	31	43	9
9	32	44	9
9	33	45	9
9	34	49	9
9	35	46	9
9	36	51	9
9	37	53	9
9	38	55	9
9	39	56	9
9	40	57	9
9	41	58	9
9	42	59	9
9	43	61	9
9	44	60	9
9	45	63	9
9	46	64	9
9	47	65	9
9	48	66	9
9	49	67	9
9	50	71	9
9	51	68	9
9	52	73	9
9	53	75	9
9	54	77	9
9	55	78	9
9	56	79	9
9	57	80	9
9	58	81	9
9	59	83	9
9	60	82	9
9	61	85	9
9	62	86	9
9	63	87	9
10	0	0	10
10	1	1	10
10	2	5	10
10	3	2	10
10	4	7	10
10	5	9	10
10	6	11	10
10	7	12	10
10	8	13	10
10	9	14	10
10	10	15	10
10	11	17	10
10	12	16	10
10	13	19	10
10	14	20	10
10	15	21	10
10	16	22	10
10	17	23	10
10	18	27	10
10	19	24	10
10	20	29	10
10	21	31	10
10	22	33	10
10	23	34	10
10	24	35	10
10	25	36	10
10	26	37	10
10	27	39	10
10	28	38	10
10	29	41	10
10	30	42	10
10	31	43	10
10	32	44	10
10	33	45	10
10	34	49	10
10	35	46	10
10	36	51	10
10	37	53	10
10	38	55	10
10	39	56	10
10	40	57	10
10	41	58	10
10	42	59	10
10	43	61	10
10	44	60	10
10	45	63	10
10	46	64	10
10	47	65	10
10	48	66	10
10	49	67	10
10	50	71	10
10	51	68	10
10	52	73	10
10	53	75	10
10	54	77	10
10	55	78	10
10	56	79	10
10	57	80	10
10	58	81	10
10	59	83	10
10	60	82	10
10	61	85	10
10	62	86	10
10	63	87	10
11	0	0	11
11	1	1	11
11	2	5	11
11	3	2	11
11	4	7	11
11	5	9	11
11	6	11	11
11	7	12	11
11	8	13	11
11	9	14	11
11	10	15	11
11	11	17	11
11	12	16	11
11	13	19	11
11	14	20	11
11	15	21	11
11	16	22	11
11	17	23	11
11	18	27	11
11	19	24	11
11	20	29	11
11	21	31	11
11	22	33	11
11	23	34	11
11	24	35	11
11	25	36	11
11	26	37	11
11	27	39	11
11	28	38	11
11	29	41	11
11	30	42	11
11	31	43	11
11	32	44	11
11	33	45	11
11	34	49	11
11	35	46	11
11	36	51	11
11	37	53	11
11	38	55	11
11	39	56	11
11	40	57	11
11	41	58	11
11	42	59	11
11	43	61	11
11	44	60	11
11	45	63	11
11	46	64	11
11	47	65	11
11	48	66	11
11	49	67	11
11	50	71	11
11	51	68	11
11	52	73	11
11	53	75	11
11	54	77	11
11	55	78	11
11	56	79	11
11	57	80	11
11	58	81	11
11	59	83	11
11	60	82	11
11	61	85	11
11	62	86	11
11	63	87	11
12	0	0	12
12	1	1	12
12	2	5	12
12	3	2	12
12	4	7	12
12	5	9	12
12	6	11	12
12	7	12	12
12	8	13	12
12	9	14	12
12	10	15	12
12	11	17	12
12	12	16	12
12	13	19	12
12	14	20	12
12	15	21	12
12	16	22	12
12	17	23	12
12	18	27	12
12	19	24	12
12	20	29	12
12	21	31	12
12	22	33	12
12	23	34	12
12	24	35	12
12	25	36	12
12	26	37	12
12	27	39	12
12	28	38	12
12	29	41	12
12	30	42	12
12	31	43	12
12	32	44	12
12	33	45	12
12	34	49	12
12	35	46	12
12	36	51	12
12	37	53	12
12	38	55	12
12	39	56	12
12	40	57	12
12	41	58	12
12	42	59	12
12	43	61	12
12	44	60	12
12	45	63	12
12	46	64	12
12	47	65	12
12	48	66	12
12	49	67	12
12	50	71	12
12	51	68	12
12	52	73	12
12	53	75	12
12	54	77	12
12	55	78	12
12	56	79	12
12	57	80	12
12	58	81	12
12	59	83	12
12	60	82	12
12	61	85	12
12	62	86	12
12	63	87	12
13	0	0	13
13	1	1	13
13	2	5	13
13	3	2	13
13	4	7	13
13	5	9	13
13	6	11	13
13	7	12	13
13	8	13	13
13	9	14	13
