family	grid	seq	map
legacy_grid_stride	256	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g256.pi_sigma.isl
legacy_grid_stride	256	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g256.pi_sigma.isl
legacy_grid_stride	256	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g256.pi_sigma.isl
legacy_grid_stride	256	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g256.pi_sigma.isl
legacy_grid_stride	256	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g256.pi_sigma.isl
rotate	256	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g256.pi_sigma.isl
rotate	256	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g256.pi_sigma.isl
rotate	256	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g256.pi_sigma.isl
rotate	256	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g256.pi_sigma.isl
rotate	256	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g256.pi_sigma.isl
band	256	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g256.pi_sigma.isl
band	256	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g256.pi_sigma.isl
band	256	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g256.pi_sigma.isl
band	256	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g256.pi_sigma.isl
band	256	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g256.pi_sigma.isl
wavefront	256	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g256.pi_sigma.isl
wavefront	256	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g256.pi_sigma.isl
wavefront	256	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g256.pi_sigma.isl
wavefront	256	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g256.pi_sigma.isl
wavefront	256	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g256.pi_sigma.isl
legacy_grid_stride	340	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g340.pi_sigma.isl
legacy_grid_stride	340	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g340.pi_sigma.isl
legacy_grid_stride	340	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g340.pi_sigma.isl
legacy_grid_stride	340	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g340.pi_sigma.isl
legacy_grid_stride	340	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/legacy_grid_stride_g340.pi_sigma.isl
rotate	340	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g340.pi_sigma.isl
rotate	340	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g340.pi_sigma.isl
rotate	340	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g340.pi_sigma.isl
rotate	340	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g340.pi_sigma.isl
rotate	340	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/rotate_g340.pi_sigma.isl
band	340	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g340.pi_sigma.isl
band	340	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g340.pi_sigma.isl
band	340	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g340.pi_sigma.isl
band	340	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g340.pi_sigma.isl
band	340	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/band_g340.pi_sigma.isl
wavefront	340	1	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g340.pi_sigma.isl
wavefront	340	32	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g340.pi_sigma.isl
wavefront	340	64	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g340.pi_sigma.isl
wavefront	340	96	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g340.pi_sigma.isl
wavefront	340	128	/root/TileMega/docs/experiments/SYMBOLIC/complete/wavefront_g340.pi_sigma.isl
