family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	340	113	113	1	1	1	1	1	1	26	PASS
wavefront	340	114	114	1	1	1	1	1	1	26	PASS
wavefront	340	115	115	1	1	1	1	1	1	26	PASS
wavefront	340	116	116	1	1	1	1	1	1	26	PASS
wavefront	340	117	117	1	1	1	1	1	1	26	PASS
wavefront	340	118	118	1	1	1	1	1	1	26	PASS
wavefront	340	119	119	1	1	1	1	1	1	26	PASS
wavefront	340	120	120	1	1	1	1	1	1	26	PASS
wavefront	340	121	121	1	1	1	1	1	1	26	PASS
wavefront	340	122	122	1	1	1	1	1	1	26	PASS
wavefront	340	123	123	1	1	1	1	1	1	26	PASS
wavefront	340	124	124	1	1	1	1	1	1	26	PASS
wavefront	340	125	125	1	1	1	1	1	1	26	PASS
wavefront	340	126	126	1	1	1	1	1	1	26	PASS
wavefront	340	127	127	1	1	1	1	1	1	26	PASS
wavefront	340	128	128	1	1	1	1	1	1	26	PASS
