# EX-E3 step attribution: each switch on/off against the same baseline,
# 25 paired rounds on the `full` arm, rotating arm order (H6).
step	switch_dir	cell	ratio_on_over_off	ci95_low	ci95_high	notify_off	notify_on	notify_pct	wait_off	wait_on	wait_pct	barrier_off	barrier_on	l2_off	l2_on
E3-0	raw_wait	gqa2_s4	0.995423	0.993445	0.997491	0.064896	0.064704	-0.3	0.023552	0.021568	-8.4	0.038912	0.026752	0.446368	0.444416
E3-0	raw_wait	mha4_s4	0.995762	0.993440	0.997109	0.116800	0.115776	-0.9	0.040960	0.037856	-7.6	0.069888	0.049248	0.806112	0.803840
E3-0	raw_wait	gqa2_s128	1.005000	1.004643	1.005269	0.069632	0.069664	+0.0	0.023520	0.026368	+12.1	0.040256	0.031904	0.613376	0.616448
E3-0	raw_wait	mha4_s128	1.005281	1.004224	1.006614	0.150528	0.150176	-0.2	0.037568	0.043040	+14.6	0.070336	0.061568	1.143808	1.149312
E3-1	raw_barrier	gqa2_s4	0.999713	0.997420	1.000503	0.063488	0.066560	+4.8	0.024608	0.025568	+3.9	0.038720	0.037152	0.445440	0.445440
E3-1	raw_barrier	mha4_s4	1.000000	0.997507	1.001153	0.124928	0.126976	+1.6	0.043008	0.049152	+14.3	0.079872	0.078976	0.887808	0.886784
E3-1	raw_barrier	gqa2_s128	0.997087	0.996724	0.998648	0.070656	0.067360	-4.7	0.022720	0.027648	+21.7	0.041120	0.040832	0.615264	0.613376
E3-1	raw_barrier	mha4_s128	0.998291	0.996567	1.000649	0.184320	0.167904	-8.9	0.036832	0.049984	+35.7	0.088800	0.081952	1.242112	1.235968
E3-2	raw_solo	gqa2_s4	0.995110	0.995016	0.995775	0.059392	0.057344	-3.4	0.029696	0.029696	+0.0	0.041088	0.040992	0.416768	0.414784
E3-2	raw_solo	mha4_s4	0.995412	0.993103	0.997693	0.117760	0.117696	-0.1	0.041952	0.044160	+5.3	0.072704	0.072704	0.828416	0.823264
E3-2	raw_solo	gqa2_s128	0.995017	0.993355	0.996370	0.066240	0.063264	-4.5	0.023520	0.023296	-1.0	0.038912	0.038080	0.572416	0.570368
E3-2	raw_solo	mha4_s128	0.995425	0.994517	0.995891	0.147456	0.141312	-4.2	0.042784	0.044032	+2.9	0.069792	0.070656	1.152000	1.147904
E3-3	raw_red	gqa2_s4	0.965596	0.963387	0.969905	0.065344	0.045984	-29.6	0.023552	0.027616	+17.3	0.038144	0.037984	0.446368	0.431104
E3-3	raw_red	mha4_s4	0.970885	0.969620	0.972463	0.114688	0.080224	-30.1	0.040064	0.052096	+30.0	0.070656	0.070432	0.806912	0.783360
E3-3	raw_red	gqa2_s128	0.974938	0.973631	0.976667	0.070560	0.046944	-33.5	0.022592	0.030848	+36.5	0.039328	0.039840	0.615168	0.599776
E3-3	raw_red	mha4_s128	0.973170	0.972380	0.974087	0.151552	0.099808	-34.1	0.038016	0.058400	+53.6	0.072768	0.070656	1.202176	1.172480
