candidate	model	seq	dump	source	floor_ms	measured_A_ms	target_ms	cp_corrected_ns	queue_lb_ns
legacy_grid_stride	gqa2	4	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	0.366592000	0.453504000	0.410048000	241664	366592
balanced	gqa2	4	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2_balanced.cu	0.277504000	0.648192000	0.462848000	245760	277504
rotate	gqa2	4	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	0.242688000	0.291840000	0.267264000	242688	41984
eft	gqa2	4	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_eft	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_eft.cu	0.246784000	0.299232000	0.273008000	246784	242688
wavefront	gqa2	4	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_wavefront	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_wavefront.cu	0.242688000	0.301056000	0.271872000	242688	240640
chain	gqa2	4	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	0.243712000	0.300032000	0.271872000	243712	242688
legacy_grid_stride	gqa2	128	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	0.531456000	0.624640000	0.578048000	343040	531456
balanced	gqa2	128	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2_balanced.cu	0.335872000	1.052672000	0.694272000	335872	214016
rotate	gqa2	128	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	0.349184000	0.463808000	0.406496000	349184	154624
eft	gqa2	128	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_eft	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_eft.cu	0.384000000	0.466944000	0.425472000	348160	384000
wavefront	gqa2	128	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_wavefront	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_wavefront.cu	0.381952000	0.466752000	0.424352000	340992	381952
chain	gqa2	128	docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	0.349184000	0.528384000	0.438784000	349184	340992
legacy_grid_stride	mha4	4	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	0.745472000	0.900960000	0.823216000	491520	745472
balanced	mha4	4	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4_balanced.cu	0.491520000	1.236992000	0.864256000	491520	435200
rotate	mha4	4	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	0.488448000	0.580608000	0.534528000	488448	84992
eft	mha4	4	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_eft	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_eft.cu	0.490496000	0.595968000	0.543232000	490496	486400
wavefront	mha4	4	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_wavefront	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_wavefront.cu	0.492544000	0.598144000	0.545344000	492544	490496
chain	mha4	4	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	0.495616000	0.595008000	0.545312000	495616	488448
legacy_grid_stride	mha4	128	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1.074176000	1.276928000	1.175552000	687104	1074176
balanced	mha4	128	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4_balanced.cu	0.885760000	4.111264000	2.498512000	678912	885760
rotate	mha4	128	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	0.626688000	0.866304000	0.746496000	626688	270336
eft	mha4	128	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_eft	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_eft.cu	0.720896000	0.891904000	0.806400000	633856	720896
wavefront	mha4	128	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_wavefront	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_wavefront.cu	0.731136000	0.960512000	0.845824000	645120	731136
chain	mha4	128	docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	0.648192000	1.129472000	0.888832000	648192	619520
