wait_index	producer	group	event_index
0	0	1	31
1	0	2	32
2	0	3	33
3	2	4294967295	35
4	4	0	37
5	6	4294967295	61
6	7	4294967295	62
7	8	1	64
8	8	2	65
9	8	3	66
10	8	4	67
11	8	5	68
12	8	6	69
13	8	7	70
14	8	8	71
15	8	9	72
16	8	10	73
17	8	11	74
18	8	12	75
19	8	13	76
20	8	14	77
21	8	15	78
22	9	1	80
23	9	2	81
24	9	3	82
25	10	1	84
26	10	2	85
27	10	3	86
28	11	1	88
29	11	2	89
30	11	3	90
31	11	4	91
32	11	5	92
33	11	6	93
34	11	7	94
35	12	0	95
36	12	1	96
37	12	2	97
38	12	3	98
39	12	4	99
40	12	5	100
41	12	6	101
42	12	7	102
43	13	1	104
44	13	2	105
45	13	3	106
46	14	1	108
47	14	2	109
48	14	3	110
49	15	1	112
50	15	2	113
51	15	3	114
52	17	4294967295	116
53	19	0	118
54	21	4294967295	142
55	22	4294967295	143
56	23	1	145
57	23	2	146
58	23	3	147
59	23	4	148
60	23	5	149
61	23	6	150
62	23	7	151
63	23	8	152
64	23	9	153
65	23	10	154
66	23	11	155
67	23	12	156
68	23	13	157
69	23	14	158
70	23	15	159
71	24	1	161
72	24	2	162
73	24	3	163
74	25	1	165
75	25	2	166
76	25	3	167
77	26	1	169
78	26	2	170
79	26	3	171
80	26	4	172
81	26	5	173
82	26	6	174
83	26	7	175
84	27	0	176
85	27	1	177
86	27	2	178
87	27	3	179
88	27	4	180
89	27	5	181
90	27	6	182
91	27	7	183
92	28	1	185
93	28	2	186
94	28	3	187
95	0	0	30
96	0	2	32
97	0	3	33
98	2	4294967295	35
99	4	1	38
100	6	4294967295	61
101	7	4294967295	62
102	8	0	63
103	8	2	65
104	8	3	66
105	8	4	67
106	8	5	68
107	8	6	69
108	8	7	70
109	8	8	71
110	8	9	72
111	8	10	73
112	8	11	74
113	8	12	75
114	8	13	76
115	8	14	77
116	8	15	78
117	9	0	79
118	9	2	81
119	9	3	82
120	10	0	83
121	10	2	85
122	10	3	86
123	11	0	87
124	11	2	89
125	11	3	90
126	11	4	91
127	11	5	92
128	11	6	93
129	11	7	94
130	12	0	95
131	12	1	96
132	12	2	97
133	12	3	98
134	12	4	99
135	12	5	100
136	12	6	101
137	12	7	102
138	13	0	103
139	13	2	105
140	13	3	106
141	14	0	107
142	14	2	109
143	14	3	110
144	15	0	111
145	15	2	113
146	15	3	114
147	17	4294967295	116
148	19	1	119
149	21	4294967295	142
150	22	4294967295	143
151	23	0	144
152	23	2	146
153	23	3	147
154	23	4	148
155	23	5	149
156	23	6	150
157	23	7	151
158	23	8	152
159	23	9	153
160	23	10	154
161	23	11	155
162	23	12	156
163	23	13	157
164	23	14	158
165	23	15	159
166	24	0	160
167	24	2	162
168	24	3	163
169	25	0	164
170	25	2	166
171	25	3	167
172	26	0	168
173	26	2	170
174	26	3	171
175	26	4	172
176	26	5	173
177	26	6	174
178	26	7	175
179	27	0	176
180	27	1	177
181	27	2	178
182	27	3	179
183	27	4	180
184	27	5	181
185	27	6	182
186	27	7	183
187	28	0	184
188	28	2	186
189	28	3	187
190	0	0	30
191	0	1	31
192	0	3	33
193	2	4294967295	35
194	4	2	39
195	6	4294967295	61
196	7	4294967295	62
197	8	0	63
198	8	1	64
199	8	3	66
200	8	4	67
201	8	5	68
202	8	6	69
203	8	7	70
204	8	8	71
205	8	9	72
206	8	10	73
207	8	11	74
208	8	12	75
209	8	13	76
210	8	14	77
211	8	15	78
212	9	0	79
213	9	1	80
214	9	3	82
215	10	0	83
216	10	1	84
217	10	3	86
218	11	0	87
219	11	1	88
220	11	3	90
221	11	4	91
222	11	5	92
223	11	6	93
224	11	7	94
225	12	0	95
226	12	1	96
227	12	2	97
228	12	3	98
229	12	4	99
230	12	5	100
231	12	6	101
232	12	7	102
233	13	0	103
234	13	1	104
235	13	3	106
236	14	0	107
237	14	1	108
238	14	3	110
239	15	0	111
240	15	1	112
241	15	3	114
242	17	4294967295	116
243	19	2	120
244	21	4294967295	142
245	22	4294967295	143
246	23	0	144
247	23	1	145
248	23	3	147
249	23	4	148
250	23	5	149
251	23	6	150
252	23	7	151
253	23	8	152
254	23	9	153
255	23	10	154
256	23	11	155
257	23	12	156
258	23	13	157
259	23	14	158
260	23	15	159
261	24	0	160
262	24	1	161
263	24	3	163
264	25	0	164
265	25	1	165
266	25	3	167
267	26	0	168
268	26	1	169
269	26	3	171
270	26	4	172
271	26	5	173
272	26	6	174
273	26	7	175
274	27	0	176
275	27	1	177
276	27	2	178
277	27	3	179
278	27	4	180
279	27	5	181
280	27	6	182
281	27	7	183
282	28	0	184
283	28	1	185
284	28	3	187
285	0	0	30
286	0	1	31
287	0	2	32
288	2	4294967295	35
289	4	3	40
290	6	4294967295	61
291	7	4294967295	62
292	8	0	63
293	8	1	64
294	8	2	65
295	8	4	67
296	8	5	68
297	8	6	69
298	8	7	70
299	8	8	71
300	8	9	72
301	8	10	73
302	8	11	74
303	8	12	75
304	8	13	76
305	8	14	77
306	8	15	78
307	9	0	79
308	9	1	80
309	9	2	81
310	10	0	83
311	10	1	84
312	10	2	85
313	11	0	87
314	11	1	88
315	11	2	89
316	11	4	91
317	11	5	92
318	11	6	93
319	11	7	94
320	12	0	95
321	12	1	96
322	12	2	97
323	12	3	98
324	12	4	99
325	12	5	100
326	12	6	101
327	12	7	102
328	13	0	103
329	13	1	104
330	13	2	105
331	14	0	107
332	14	1	108
333	14	2	109
334	15	0	111
335	15	1	112
336	15	2	113
337	17	4294967295	116
338	19	3	121
339	21	4294967295	142
340	22	4294967295	143
341	23	0	144
342	23	1	145
343	23	2	146
344	23	4	148
345	23	5	149
346	23	6	150
347	23	7	151
348	23	8	152
349	23	9	153
350	23	10	154
351	23	11	155
352	23	12	156
353	23	13	157
354	23	14	158
355	23	15	159
356	24	0	160
357	24	1	161
358	24	2	162
359	25	0	164
360	25	1	165
361	25	2	166
362	26	0	168
363	26	1	169
364	26	2	170
365	26	4	172
366	26	5	173
367	26	6	174
368	26	7	175
369	27	0	176
370	27	1	177
371	27	2	178
372	27	3	179
373	27	4	180
374	27	5	181
375	27	6	182
376	27	7	183
377	28	0	184
378	28	1	185
379	28	2	186
380	0	0	30
381	0	1	31
382	0	2	32
383	0	3	33
384	2	4294967295	35
385	4	4	41
386	6	4294967295	61
387	7	4294967295	62
388	10	0	83
389	10	1	84
390	10	2	85
391	10	3	86
392	15	0	111
393	15	1	112
394	15	2	113
395	15	3	114
396	17	4294967295	116
397	19	4	122
398	21	4294967295	142
399	22	4294967295	143
400	25	0	164
401	25	1	165
402	25	2	166
403	25	3	167
404	0	0	30
405	0	1	31
406	0	2	32
407	0	3	33
408	2	4294967295	35
409	4	5	42
410	6	4294967295	61
411	7	4294967295	62
412	10	0	83
413	10	1	84
414	10	2	85
415	10	3	86
416	15	0	111
417	15	1	112
418	15	2	113
419	15	3	114
420	17	4294967295	116
421	19	5	123
422	21	4294967295	142
423	22	4294967295	143
424	25	0	164
425	25	1	165
426	25	2	166
427	25	3	167
428	0	0	30
429	0	1	31
430	0	2	32
431	0	3	33
432	2	4294967295	35
433	4	6	43
434	6	4294967295	61
435	7	4294967295	62
436	10	0	83
437	10	1	84
438	10	2	85
439	10	3	86
440	15	0	111
441	15	1	112
442	15	2	113
443	15	3	114
444	17	4294967295	116
445	19	6	124
446	21	4294967295	142
447	22	4294967295	143
448	25	0	164
449	25	1	165
450	25	2	166
451	25	3	167
452	0	0	30
453	0	1	31
454	0	2	32
455	0	3	33
456	2	4294967295	35
457	4	7	44
458	6	4294967295	61
459	7	4294967295	62
460	10	0	83
461	10	1	84
462	10	2	85
463	10	3	86
464	15	0	111
465	15	1	112
466	15	2	113
467	15	3	114
468	17	4294967295	116
469	19	7	125
470	21	4294967295	142
471	22	4294967295	143
472	25	0	164
473	25	1	165
474	25	2	166
475	25	3	167
476	1	4294967295	34
477	4	8	45
478	6	4294967295	61
479	7	4294967295	62
480	10	0	83
481	10	1	84
482	10	2	85
483	10	3	86
484	16	4294967295	115
485	19	8	126
486	21	4294967295	142
487	22	4294967295	143
488	25	0	164
489	25	1	165
490	25	2	166
491	25	3	167
492	1	4294967295	34
493	4	9	46
494	6	4294967295	61
495	7	4294967295	62
496	10	0	83
497	10	1	84
498	10	2	85
499	10	3	86
500	16	4294967295	115
501	19	9	127
502	21	4294967295	142
503	22	4294967295	143
504	25	0	164
505	25	1	165
506	25	2	166
507	25	3	167
508	1	4294967295	34
509	4	10	47
510	6	4294967295	61
511	7	4294967295	62
512	10	0	83
513	10	1	84
514	10	2	85
515	10	3	86
516	16	4294967295	115
517	19	10	128
518	21	4294967295	142
519	22	4294967295	143
520	25	0	164
521	25	1	165
522	25	2	166
523	25	3	167
524	1	4294967295	34
525	4	11	48
526	6	4294967295	61
527	7	4294967295	62
528	10	0	83
529	10	1	84
530	10	2	85
531	10	3	86
532	16	4294967295	115
533	19	11	129
534	21	4294967295	142
535	22	4294967295	143
536	25	0	164
537	25	1	165
538	25	2	166
539	25	3	167
540	1	4294967295	34
541	4	12	49
542	6	4294967295	61
543	7	4294967295	62
544	10	0	83
545	10	1	84
546	10	2	85
547	10	3	86
548	16	4294967295	115
549	19	12	130
550	21	4294967295	142
551	22	4294967295	143
552	25	0	164
553	25	1	165
554	25	2	166
555	25	3	167
556	1	4294967295	34
557	4	13	50
558	6	4294967295	61
559	7	4294967295	62
560	10	0	83
561	10	1	84
562	10	2	85
563	10	3	86
564	16	4294967295	115
565	19	13	131
566	21	4294967295	142
567	22	4294967295	143
568	25	0	164
569	25	1	165
570	25	2	166
571	25	3	167
572	1	4294967295	34
573	4	14	51
574	6	4294967295	61
575	7	4294967295	62
576	10	0	83
577	10	1	84
578	10	2	85
579	10	3	86
580	16	4294967295	115
581	19	14	132
582	21	4294967295	142
583	22	4294967295	143
584	25	0	164
585	25	1	165
586	25	2	166
587	25	3	167
588	1	4294967295	34
589	4	15	52
590	6	4294967295	61
591	7	4294967295	62
592	10	0	83
593	10	1	84
594	10	2	85
595	10	3	86
596	16	4294967295	115
597	19	15	133
598	21	4294967295	142
599	22	4294967295	143
600	25	0	164
601	25	1	165
602	25	2	166
603	25	3	167
604	1	4294967295	34
605	16	4294967295	115
606	1	4294967295	34
607	16	4294967295	115
608	1	4294967295	34
609	16	4294967295	115
610	1	4294967295	34
611	16	4294967295	115
612	1	4294967295	34
613	16	4294967295	115
614	1	4294967295	34
615	16	4294967295	115
616	1	4294967295	34
617	16	4294967295	115
618	1	4294967295	34
619	16	4294967295	115
620	3	4294967295	36
621	18	4294967295	117
622	3	4294967295	36
623	18	4294967295	117
624	3	4294967295	36
625	18	4294967295	117
626	3	4294967295	36
627	18	4294967295	117
628	3	4294967295	36
629	18	4294967295	117
630	3	4294967295	36
631	18	4294967295	117
632	3	4294967295	36
633	18	4294967295	117
634	3	4294967295	36
635	18	4294967295	117
