slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789521803195522048	1789521803195522048	1789521803195522048	1789521803195524096	1789521803195525120	0	0	0	0	20211667114049	20211667119251
1	0	2	0	0	1789521803195525120	1789521803195526144	1789521803195526144	1789521803195547648	1789521803195548672	0	3	1	1	20211667126267	20211667178459
2	0	1	0	0	1789521803195548672	1789521803195549696	1789521803195549696	1789521803195569152	1789521803195571200	3	0	0	1	20211667183350	20211667234294
3	0	3	0	0	1789521803195571200	1789521803195571200	1789521803195571200	1789521803195591680	1789521803195593728	3	0	2	1	20211667239192	20211667290623
4	0	5	0	0	1789521803195593728	1789521803195594752	1789521803195594752	1789521803195595776	1789521803195596800	3	1	4	1	20211667297114	20211667299775
5	0	4	0	0	1789521803195596800	1789521803195597824	1789521803195597824	1789521803195598848	1789521803195600896	4	1	3	1	20211667306768	20211667309288
6	0	7	0	0	1789521803195600896	1789521803195601920	1789521803195601920	1789521803195602944	1789521803195603968	5	1	6	1	20211667316231	20211667318279
7	0	6	0	0	1789521803195603968	1789521803195604992	1789521803195604992	1789521803195604992	1789521803195607040	6	0	5	1	20211667322780	20211667324502
8	0	8	0	0	1789521803195607040	1789521803195609088	1789521803195609088	1789521803195613184	1789521803195615232	6	2	7	3	20211667334429	20211667345136
9	0	9	0	0	1789521803195615232	1789521803195616256	1789521803195616256	1789521803195639808	1789521803195641856	8	15	10	1	20211667352295	20211667411643
10	0	10	0	0	1789521803195641856	1789521803195642880	1789521803195642880	1789521803195644928	1789521803195645952	23	3	11	1	20211667418912	20211667424176
11	0	11	0	0	1789521803195646976	1789521803195646976	1789521803195648000	1789521803195668480	1789521803195670528	26	3	12	1	20211667430878	20211667483998
12	0	12	0	0	1789521803195670528	1789521803195670528	1789521803195670528	1789521803195691008	1789521803195693056	29	0	13	1	20211667489337	20211667541790
13	0	13	0	0	1789521803195693056	1789521803195694080	1789521803195694080	1789521803195697152	1789521803195699200	29	14	14	2	20211667549115	20211667556656
14	0	14	0	0	1789521803195699200	1789521803195700224	1789521803195700224	1789521803195742208	1789521803195743232	43	3	16	2	20211667563609	20211667668829
15	0	15	0	0	1789521803195744256	1789521803195745280	1789521803195745280	1789521803195747328	1789521803195749376	46	3	18	1	20211667677594	20211667682828
16	0	17	0	0	1789521803195749376	1789521803195750400	1789521803195750400	1789521803195770880	1789521803195771904	49	3	20	1	20211667689477	20211667741726
17	0	16	0	0	1789521803195772928	1789521803195772928	1789521803195772928	1789521803195793408	1789521803195795456	52	0	19	1	20211667746628	20211667798522
18	0	18	0	0	1789521803195795456	1789521803195795456	1789521803195795456	1789521803195815936	1789521803195816960	52	0	21	1	20211667803413	20211667854961
19	0	20	0	0	1789521803195817984	1789521803195817984	1789521803195817984	1789521803195819008	1789521803195821056	52	1	23	1	20211667861414	20211667864010
