slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789204315922723840	1789204315922723840	1789204315922723840	1789204315922725888	1789204315922727936	0	0	0	0	4910085062081	4910085067277
1	0	2	0	0	1789204315922727936	1789204315922728960	1789204315922728960	1789204315922749440	1789204315922751488	0	3	1	1	4910085074296	4910085126625
2	0	1	0	0	1789204315922751488	1789204315922751488	1789204315922751488	1789204315922771968	1789204315922774016	3	0	0	1	4910085131516	4910085182818
3	0	3	0	0	1789204315922774016	1789204315922774016	1789204315922774016	1789204315922794496	1789204315922796544	3	0	2	1	4910085187707	4910085239336
4	0	5	0	0	1789204315922796544	1789204315922797568	1789204315922797568	1789204315922798592	1789204315922799616	3	1	4	1	4910085245824	4910085248489
5	0	4	0	0	1789204315922799616	1789204315922800640	1789204315922800640	1789204315922801664	1789204315922803712	4	1	3	1	4910085255483	4910085258005
6	0	7	0	0	1789204315922803712	1789204315922804736	1789204315922804736	1789204315922805760	1789204315922806784	5	1	6	1	4910085264951	4910085267001
7	0	6	0	0	1789204315922806784	1789204315922806784	1789204315922807808	1789204315922807808	1789204315922809856	6	0	5	1	4910085271502	4910085273227
8	0	8	0	0	1789204315922809856	1789204315922811904	1789204315922811904	1789204315922816000	1789204315922818048	6	2	7	3	4910085283317	4910085294022
9	0	9	0	0	1789204315922818048	1789204315922819072	1789204315922819072	1789204315922842624	1789204315922844672	8	15	10	1	4910085301179	4910085360040
10	0	10	0	0	1789204315922844672	1789204315922845696	1789204315922845696	1789204315922847744	1789204315922848768	23	3	11	1	4910085367305	4910085372555
11	0	11	0	0	1789204315922848768	1789204315922849792	1789204315922849792	1789204315922871296	1789204315922873344	26	3	12	1	4910085379266	4910085432171
12	0	12	0	0	1789204315922873344	1789204315922873344	1789204315922873344	1789204315922893824	1789204315922895872	29	0	13	1	4910085437511	4910085489650
13	0	13	0	0	1789204315922895872	1789204315922897920	1789204315922897920	1789204315922900992	1789204315922903040	29	14	14	2	4910085500068	4910085507613
14	0	14	0	0	1789204315922903040	1789204315922904064	1789204315922904064	1789204315922945024	1789204315922947072	43	3	16	2	4910085514563	4910085619495
15	0	15	0	0	1789204315922947072	1789204315922948096	1789204315922948096	1789204315922950144	1789204315922952192	46	3	18	1	4910085626745	4910085631970
16	0	17	0	0	1789204315922952192	1789204315922953216	1789204315922953216	1789204315922973696	1789204315922975744	49	3	20	1	4910085638620	4910085691336
17	0	16	0	0	1789204315922975744	1789204315922975744	1789204315922975744	1789204315922996224	1789204315922998272	52	0	19	1	4910085696241	4910085748203
18	0	18	0	0	1789204315922998272	1789204315922998272	1789204315922998272	1789204315923018752	1789204315923020800	52	0	21	1	4910085753094	4910085804634
19	0	20	0	0	1789204315923020800	1789204315923021824	1789204315923021824	1789204315923022848	1789204315923023872	52	1	23	1	4910085811088	4910085813687
20	0	19	0	0	1789204315923023872	1789204315923024896	1789204315923024896	1789204315923025920	1789204315923027968	53	1	22	1	4910085820608	4910085823131
21	0	22	0	0	1789204315923027968	1789204315923028992	1789204315923028992	1789204315923030016	1789204315923031040	54	1	25	1	4910085830029	4910085832059
22	0	21	0	0	1789204315923031040	1789204315923031040	1789204315923032064	1789204315923032064	1789204315923033088	55	0	24	1	4910085836563	4910085838085
23	0	23	0	0	1789204315923034112	1789204315923036160	1789204315923036160	1789204315923040256	1789204315923042304	55	2	26	3	4910085848430	4910085859072
24	0	24	0	0	1789204315923042304	1789204315923043328	1789204315923043328	1789204315923066880	1789204315923068928	57	15	29	2	4910085866198	4910085925358
