event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	0	0	1	1789214993290369312
31	0	1	1	1789214993290369312
32	0	2	1	1789214993290369248
33	0	3	1	1789214993290369248
34	1	4294967295	4	1789214993290405632
35	2	4294967295	2	1789214993290387872
36	3	4294967295	2	1789214993290423584
37	4	0	1	1789214993290431200
38	4	1	1	1789214993290429984
39	4	2	1	1789214993290408768
40	4	3	1	1789214993290408768
41	4	4	1	1789214993290408608
42	4	5	1	1789214993290408544
43	4	6	1	1789214993290408608
44	4	7	1	1789214993290408608
45	4	8	1	1789214993290408768
46	4	9	1	1789214993290408640
47	4	10	1	1789214993290408640
48	4	11	1	1789214993290408672
49	4	12	1	1789214993290408576
50	4	13	1	1789214993290408576
51	4	14	1	1789214993290408768
52	4	15	1	1789214993290408768
53	5	0	1	1789214993290427360
54	5	1	1	1789214993290426176
55	5	2	1	1789214993290391200
56	5	3	1	1789214993290391232
57	5	4	1	1789214993290390784
58	5	5	1	1789214993290390816
59	5	6	1	1789214993290390688
60	5	7	1	1789214993290390688
61	6	4294967295	8	1789214993290437632
62	7	4294967295	8	1789214993290434816
63	8	0	1	1789214993290444256
64	8	1	1	1789214993290443808
65	8	2	1	1789214993290443552
66	8	3	1	1789214993290443584
67	8	4	1	1789214993290443488
68	8	5	1	1789214993290443488
69	8	6	1	1789214993290443232
70	8	7	1	1789214993290443200
71	8	8	1	1789214993290443424
72	8	9	1	1789214993290443584
73	8	10	1	1789214993290443392
74	8	11	1	1789214993290443232
75	8	12	1	1789214993290443296
76	8	13	1	1789214993290443328
77	8	14	1	1789214993290443712
78	8	15	1	1789214993290443680
79	9	0	1	1789214993290465344
80	9	1	1	1789214993290464864
81	9	2	1	1789214993290464960
82	9	3	1	1789214993290465120
83	10	0	1	1789214993290470016
84	10	1	1	1789214993290469536
85	10	2	1	1789214993290469536
86	10	3	1	1789214993290469696
87	11	0	1	1789214993290488480
88	11	1	1	1789214993290488128
89	11	2	1	1789214993290488416
90	11	3	1	1789214993290488640
91	11	4	1	1789214993290487392
92	11	5	1	1789214993290487424
93	11	6	1	1789214993290487296
94	11	7	1	1789214993290487296
95	12	0	1	1789214993290506336
96	12	1	1	1789214993290505888
97	12	2	1	1789214993290506432
98	12	3	1	1789214993290506816
99	12	4	1	1789214993290504576
100	12	5	1	1789214993290504576
101	12	6	1	1789214993290504576
102	12	7	1	1789214993290504608
103	13	0	1	1789214993290512256
104	13	1	1	1789214993290512128
105	13	2	1	1789214993290512096
106	13	3	1	1789214993290512480
107	14	0	1	1789214993290547680
108	14	1	1	1789214993290547296
109	14	2	1	1789214993290547360
110	14	3	1	1789214993290547904
111	15	0	1	1789214993290552416
112	15	1	1	1789214993290551936
113	15	2	1	1789214993290551904
114	15	3	1	1789214993290552480
115	16	4294967295	4	1789214993290588576
116	17	4294967295	2	1789214993290570880
117	18	4294967295	2	1789214993290606304
118	19	0	1	1789214993290614048
119	19	1	1	1789214993290612352
120	19	2	1	1789214993290591744
121	19	3	1	1789214993290591616
122	19	4	1	1789214993290591680
123	19	5	1	1789214993290591680
124	19	6	1	1789214993290591424
125	19	7	1	1789214993290591456
126	19	8	1	1789214993290591552
127	19	9	1	1789214993290591584
128	19	10	1	1789214993290591488
129	19	11	1	1789214993290591584
130	19	12	1	1789214993290591520
131	19	13	1	1789214993290591520
132	19	14	1	1789214993290591840
133	19	15	1	1789214993290591840
134	20	0	1	1789214993290610144
