event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	0	0	1	1789394728894391296
31	0	1	1	1789394728894391296
32	0	2	1	1789394728894391296
33	0	3	1	1789394728894391296
34	1	4294967295	4	1789394728894435328
35	2	4294967295	2	1789394728894413824
36	3	4294967295	2	1789394728894456832
37	4	0	1	1789394728894465024
38	4	1	1	1789394728894462976
39	4	2	1	1789394728894438400
40	4	3	1	1789394728894438400
41	4	4	1	1789394728894438400
42	4	5	1	1789394728894438400
43	4	6	1	1789394728894439424
44	4	7	1	1789394728894438400
45	4	8	1	1789394728894438400
46	4	9	1	1789394728894438400
47	4	10	1	1789394728894438400
48	4	11	1	1789394728894438400
49	4	12	1	1789394728894438400
50	4	13	1	1789394728894438400
51	4	14	1	1789394728894438400
52	4	15	1	1789394728894438400
53	5	0	1	1789394728894460928
54	5	1	1	1789394728894458880
55	5	2	1	1789394728894416896
56	5	3	1	1789394728894416896
57	5	4	1	1789394728894416896
58	5	5	1	1789394728894417920
59	5	6	1	1789394728894417920
60	5	7	1	1789394728894416896
61	6	4294967295	8	1789394728894471168
62	7	4294967295	8	1789394728894468096
63	8	0	1	1789394728894477312
64	8	1	1	1789394728894477312
65	8	2	1	1789394728894477312
66	8	3	1	1789394728894477312
67	8	4	1	1789394728894477312
68	8	5	1	1789394728894477312
69	8	6	1	1789394728894477312
70	8	7	1	1789394728894477312
71	8	8	1	1789394728894477312
72	8	9	1	1789394728894477312
73	8	10	1	1789394728894477312
74	8	11	1	1789394728894477312
75	8	12	1	1789394728894477312
76	8	13	1	1789394728894477312
77	8	14	1	1789394728894477312
78	8	15	1	1789394728894477312
79	9	0	1	1789394728894502912
80	9	1	1	1789394728894502912
81	9	2	1	1789394728894502912
82	9	3	1	1789394728894501888
83	10	0	1	1789394728894507008
84	10	1	1	1789394728894507008
85	10	2	1	1789394728894507008
86	10	3	1	1789394728894507008
87	11	0	1	1789394728894529536
88	11	1	1	1789394728894529536
89	11	2	1	1789394728894529536
90	11	3	1	1789394728894529536
91	11	4	1	1789394728894529536
92	11	5	1	1789394728894529536
93	11	6	1	1789394728894529536
94	11	7	1	1789394728894529536
95	12	0	1	1789394728894551040
96	12	1	1	1789394728894551040
97	12	2	1	1789394728894551040
98	12	3	1	1789394728894551040
99	12	4	1	1789394728894551040
100	12	5	1	1789394728894551040
101	12	6	1	1789394728894551040
102	12	7	1	1789394728894551040
103	13	0	1	1789394728894557184
104	13	1	1	1789394728894556160
105	13	2	1	1789394728894556160
106	13	3	1	1789394728894556160
107	14	0	1	1789394728894598144
108	14	1	1	1789394728894598144
109	14	2	1	1789394728894598144
110	14	3	1	1789394728894598144
111	15	0	1	1789394728894603264
112	15	1	1	1789394728894602240
113	15	2	1	1789394728894603264
114	15	3	1	1789394728894602240
115	16	4294967295	4	1789394728894647296
116	17	4294967295	2	1789394728894625792
117	18	4294967295	2	1789394728894668800
118	19	0	1	1789394728894675968
119	19	1	1	1789394728894673920
120	19	2	1	1789394728894649344
121	19	3	1	1789394728894649344
122	19	4	1	1789394728894649344
123	19	5	1	1789394728894649344
124	19	6	1	1789394728894650368
125	19	7	1	1789394728894649344
126	19	8	1	1789394728894649344
127	19	9	1	1789394728894649344
128	19	10	1	1789394728894649344
129	19	11	1	1789394728894649344
130	19	12	1	1789394728894649344
131	19	13	1	1789394728894649344
132	19	14	1	1789394728894649344
133	19	15	1	1789394728894649344
134	20	0	1	1789394728894671872
