slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789394730373140480	1789394730373140480	1789394730373140480	1789394730373142528	1789394730373144576	0	0	0	0	15913611141056	15913611146466
1	0	2	0	0	1789394730373144576	1789394730373145600	1789394730373145600	1789394730373170176	1789394730373171200	0	127	1	1	15913611152928	15913611214920
2	0	1	0	0	1789394730373171200	1789394730373172224	1789394730373172224	1789394730373196800	1789394730373197824	127	0	0	1	15913611219570	15913611282288
3	0	3	0	0	1789394730373198848	1789394730373198848	1789394730373198848	1789394730373223424	1789394730373225472	127	0	2	1	15913611286927	15913611349475
4	0	5	0	0	1789394730373225472	1789394730373225472	1789394730373226496	1789394730373226496	1789394730373228544	127	1	4	1	15913611355755	15913611358062
5	0	5	256	0	1789394730373228544	1789394730373228544	1789394730373228544	1789394730373229568	1789394730373230592	128	0	4	1	15913611362517	15913611364790
6	0	4	0	0	1789394730373231616	1789394730373231616	1789394730373231616	1789394730373233664	1789394730373234688	128	1	3	1	15913611371131	15913611373993
7	0	4	256	0	1789394730373234688	1789394730373235712	1789394730373235712	1789394730373235712	1789394730373237760	129	0	3	1	15913611379122	15913611381444
8	0	7	0	0	1789394730373237760	1789394730373238784	1789394730373238784	1789394730373239808	1789394730373240832	129	1	6	1	15913611388364	15913611390343
9	0	7	256	0	1789394730373240832	1789394730373240832	1789394730373240832	1789394730373241856	1789394730373242880	130	0	6	1	15913611394174	15913611395658
10	0	6	0	0	1789394730373242880	1789394730373243904	1789394730373243904	1789394730373243904	1789394730373245952	130	0	5	1	15913611399944	15913611401878
11	0	6	256	0	1789394730373245952	1789394730373245952	1789394730373245952	1789394730373246976	1789394730373248000	130	0	5	1	15913611406368	15913611407592
12	0	8	0	0	1789394730373248000	1789394730373249024	1789394730373249024	1789394730373272576	1789394730373275648	130	2	7	3	15913611414325	15913611471762
13	0	8	256	0	1789394730373275648	1789394730373275648	1789394730373276672	1789394730373297152	1789394730373299200	132	0	7	3	15913611482466	15913611535422
14	0	9	0	0	1789394730373299200	1789394730373301248	1789394730373301248	1789394730373335040	1789394730373337088	132	510	10	1	15913611545523	15913611630428
15	0	10	0	0	1789394730373337088	1789394730373338112	1789394730373338112	1789394730373340160	1789394730373341184	642	3	11	1	15913611637591	15913611642942
16	0	11	0	0	1789394730373342208	1789394730373343232	1789394730373343232	1789394730373366784	1789394730373368832	645	127	12	1	15913611649317	15913611710372
17	0	12	0	0	1789394730373368832	1789394730373368832	1789394730373369856	1789394730373393408	1789394730373395456	772	0	13	1	15913611716267	15913611777953
18	0	13	0	0	1789394730373395456	1789394730373396480	1789394730373396480	1789394730373399552	1789394730373401600	772	14	14	2	15913611785488	15913611793020
19	0	14	0	0	1789394730373401600	1789394730373402624	1789394730373402624	1789394730373455872	1789394730373457920	786	127	16	2	15913611800191	15913611934655
20	0	15	0	0	1789394730373457920	1789394730373458944	1789394730373458944	1789394730373460992	1789394730373462016	913	3	18	1	15913611941312	15913611946387
21	0	17	0	0	1789394730373462016	1789394730373463040	1789394730373463040	1789394730373487616	1789394730373489664	916	127	20	1	15913611953169	15913612015297
22	0	16	0	0	1789394730373489664	1789394730373489664	1789394730373490688	1789394730373515264	1789394730373516288	1043	0	19	1	15913612020663	15913612083732
23	0	18	0	0	1789394730373517312	1789394730373517312	1789394730373517312	1789394730373541888	1789394730373542912	1043	0	21	1	15913612088392	15913612150628
24	0	20	0	0	1789394730373543936	1789394730373543936	1789394730373543936	1789394730373544960	1789394730373547008	1043	1	23	1	15913612156805	15913612159343
25	0	20	256	0	1789394730373547008	1789394730373547008	1789394730373547008	1789394730373548032	1789394730373549056	1044	0	23	1	15913612163914	15913612166211
26	0	19	0	0	1789394730373550080	1789394730373550080	1789394730373550080	1789394730373552128	1789394730373553152	1044	1	22	1	15913612172632	15913612175406
