gate	w	cells	passes	processes	verdict
E2-a	1	30	1500	1500	PASS
E2-a	2	30	1500	1500	PASS
E2-a	4	30	1500	1500	PASS

gate	model	seq	n	today_median_ms	w1_median_ms	ratio	ci_lo	ci_hi	p_wilcoxon	verdict
E2-b	gqa2	4	25	0.447264	0.446464	1.0000	0.9981	1.0007	6.263e-01	PASS
E2-b	gqa2	128	25	0.614400	0.614720	1.0000	1.0000	1.0008	7.760e-01	PASS
E2-b	mha4	4	25	0.808896	0.808960	0.9990	0.9965	1.0010	2.158e-01	PASS
E2-b	mha4	128	25	1.240064	1.249056	1.0007	0.9990	1.0024	3.835e-01	PASS
E2-b	ALL	ALL	100	-	-	1.0000	0.9994	1.0003	6.522e-01	PASS

gate	model	seq	passes	processes	failure_rate	verdict
E2-c	gqa2	4	0	50	1.0000	PASS
E2-c	gqa2	128	0	50	1.0000	PASS
E2-c	mha4	4	0	50	1.0000	PASS
E2-c	mha4	128	0	50	1.0000	PASS

gate	model	seq	w	hol_reclaimable_ns	hol_fraction_of_kernel	hol_workers_nonzero	measured_l2_ms	cp_lb_nosync_ms	measured_over_ceiling	hol_delta_vs_w1_ns	l2_delta_vs_w1_ms
E2-d	gqa2	4	1	1274880.0	0.1893	8	0.428032	0.136192	3.1429	0.0	+0.000000
E2-d	gqa2	4	2	1347584.0	0.1824	8	0.470016	0.245760	1.9125	-72704.0	+0.041984
E2-d	gqa2	4	4	1360896.0	0.1834	8	0.471904	0.239616	1.9694	-86016.0	+0.043872
E2-d	gqa2	128	1	79889408.0	0.5319	256	0.592896	0.187392	3.1639	0.0	+0.000000
E2-d	gqa2	128	2	86979584.0	0.5317	256	0.646144	0.338944	1.9063	-7090176.0	+0.053248
E2-d	gqa2	128	4	86464512.0	0.5277	256	0.647296	0.337920	1.9155	-6575104.0	+0.054400
E2-d	mha4	4	1	7692288.0	0.5691	16	0.849920	0.136192	6.2406	0.0	+0.000000
E2-d	mha4	4	2	8433664.0	0.5688	16	0.934912	0.482304	1.9384	-741376.0	+0.084992
E2-d	mha4	4	4	8445952.0	0.5659	16	0.939104	0.483328	1.9430	-753664.0	+0.089184
E2-d	mha4	128	1	207584256.0	0.6386	256	1.277952	0.196608	6.5000	0.0	+0.000000
E2-d	mha4	128	2	217905152.0	0.6474	256	1.324032	0.679936	1.9473	-10320896.0	+0.046080
E2-d	mha4	128	4	216441856.0	0.6415	256	1.325056	0.681984	1.9429	-8857600.0	+0.047104
