worker	slot	stage	logical_task	dependency_begin	dependency_count	wait_begin	wait_count
0	0	0	0	0	0	0	0
0	1	2	0	1	1	0	0
0	2	5	0	4	1	0	1
0	3	6	0	5	1	1	0
0	4	8	0	7	3	1	3
0	5	9	0	10	1	4	3
0	6	10	0	11	1	7	31
0	7	11	0	12	1	38	0
0	8	13	0	14	2	38	127
0	9	14	0	16	2	165	0
0	10	15	0	18	1	165	31
0	11	17	0	20	1	196	0
0	12	20	0	23	1	196	1
0	13	21	0	24	1	197	0
0	14	23	0	26	3	197	3
0	15	24	0	29	2	200	3
0	16	25	0	31	1	203	31
0	17	26	0	32	1	234	0
0	18	28	0	34	2	234	127
0	19	29	0	36	2	361	0
1	0	2	1	1	1	361	1
1	1	5	1	4	1	362	1
1	2	6	1	5	1	363	0
1	3	8	1	7	3	363	3
1	4	9	1	10	1	366	3
1	5	11	1	12	1	369	1
1	6	14	1	16	2	370	1
1	7	17	1	20	1	371	1
1	8	20	1	23	1	372	1
1	9	21	1	24	1	373	0
1	10	23	1	26	3	373	3
1	11	24	1	29	2	376	3
1	12	26	1	32	1	379	1
1	13	29	1	36	2	380	1
2	0	2	2	1	1	381	1
2	1	4	0	3	1	382	1
2	2	8	2	7	3	383	3
2	3	9	2	10	1	386	3
2	4	11	2	12	1	389	1
2	5	14	2	16	2	390	1
2	6	17	2	20	1	391	1
2	7	19	0	22	1	392	1
2	8	23	2	26	3	393	3
2	9	24	2	29	2	396	3
2	10	26	2	32	1	399	1
2	11	29	2	36	2	400	1
3	0	2	3	1	1	401	1
3	1	4	1	3	1	402	1
3	2	8	3	7	3	403	3
3	3	9	3	10	1	406	3
3	4	11	3	12	1	409	1
3	5	14	3	16	2	410	1
3	6	17	3	20	1	411	1
3	7	19	1	22	1	412	1
3	8	23	3	26	3	413	3
3	9	24	3	29	2	416	3
3	10	26	3	32	1	419	1
3	11	29	3	36	2	420	1
4	0	2	4	1	1	421	1
4	1	4	2	3	1	422	1
4	2	9	4	10	1	423	4
4	3	11	4	12	1	427	1
4	4	14	4	16	2	428	1
4	5	17	4	20	1	429	1
4	6	19	2	22	1	430	1
4	7	24	4	29	2	431	4
4	8	26	4	32	1	435	1
4	9	29	4	36	2	436	1
5	0	2	5	1	1	437	1
5	1	4	3	3	1	438	1
5	2	9	5	10	1	439	4
5	3	11	5	12	1	443	1
5	4	14	5	16	2	444	1
5	5	17	5	20	1	445	1
5	6	19	3	22	1	446	1
5	7	24	5	29	2	447	4
5	8	26	5	32	1	451	1
5	9	29	5	36	2	452	1
6	0	2	6	1	1	453	1
6	1	7	0	6	1	454	1
6	2	9	6	10	1	455	4
6	3	11	6	12	1	459	1
6	4	14	6	16	2	460	1
6	5	17	6	20	1	461	1
6	6	22	0	25	1	462	1
6	7	24	6	29	2	463	4
6	8	26	6	32	1	467	1
6	9	29	6	36	2	468	1
7	0	2	7	1	1	469	1
7	1	7	1	6	1	470	1
7	2	9	7	10	1	471	4
7	3	11	7	12	1	475	1
7	4	14	7	16	2	476	1
7	5	17	7	20	1	477	1
7	6	22	1	25	1	478	1
7	7	24	7	29	2	479	4
7	8	26	7	32	1	483	1
7	9	29	7	36	2	484	1
8	0	2	8	1	1	485	1
8	1	9	8	10	1	486	4
8	2	11	8	12	1	490	1
8	3	14	8	16	2	491	1
8	4	17	8	20	1	492	1
8	5	24	8	29	2	493	4
8	6	26	8	32	1	497	1
8	7	29	8	36	2	498	1
9	0	2	9	1	1	499	1
9	1	9	9	10	1	500	4
9	2	11	9	12	1	504	1
9	3	14	9	16	2	505	1
9	4	17	9	20	1	506	1
9	5	24	9	29	2	507	4
9	6	26	9	32	1	511	1
9	7	29	9	36	2	512	1
10	0	2	10	1	1	513	1
10	1	9	10	10	1	514	4
10	2	11	10	12	1	518	1
10	3	14	10	16	2	519	1
10	4	17	10	20	1	520	1
10	5	24	10	29	2	521	4
10	6	26	10	32	1	525	1
10	7	29	10	36	2	526	1
11	0	2	11	1	1	527	1
11	1	9	11	10	1	528	4
11	2	11	11	12	1	532	1
11	3	14	11	16	2	533	1
11	4	17	11	20	1	534	1
11	5	24	11	29	2	535	4
11	6	26	11	32	1	539	1
11	7	29	11	36	2	540	1
12	0	2	12	1	1	541	1
12	1	9	12	10	1	542	4
12	2	11	12	12	1	546	1
12	3	14	12	16	2	547	1
12	4	17	12	20	1	548	1
12	5	24	12	29	2	549	4
12	6	26	12	32	1	553	1
12	7	29	12	36	2	554	1
13	0	2	13	1	1	555	1
13	1	9	13	10	1	556	4
13	2	11	13	12	1	560	1
13	3	14	13	16	2	561	1
13	4	17	13	20	1	562	1
13	5	24	13	29	2	563	4
13	6	26	13	32	1	567	1
13	7	29	13	36	2	568	1
14	0	2	14	1	1	569	1
14	1	9	14	10	1	570	4
14	2	11	14	12	1	574	1
14	3	14	14	16	2	575	1
14	4	17	14	20	1	576	1
14	5	24	14	29	2	577	4
14	6	26	14	32	1	581	1
14	7	29	14	36	2	582	1
15	0	2	15	1	1	583	1
15	1	9	15	10	1	584	4
15	2	11	15	12	1	588	1
15	3	14	15	16	2	589	1
15	4	17	15	20	1	590	1
15	5	24	15	29	2	591	4
15	6	26	15	32	1	595	1
15	7	29	15	36	2	596	1
16	0	1	0	0	1	597	1
16	1	9	16	10	1	598	4
16	2	11	16	12	1	602	1
16	3	14	16	16	2	603	1
16	4	16	0	19	1	604	1
16	5	24	16	29	2	605	4
16	6	26	16	32	1	609	1
16	7	29	16	36	2	610	1
17	0	1	1	0	1	611	1
17	1	9	17	10	1	612	4
17	2	11	17	12	1	616	1
17	3	14	17	16	2	617	1
17	4	16	1	19	1	618	1
17	5	24	17	29	2	619	4
17	6	26	17	32	1	623	1
17	7	29	17	36	2	624	1
18	0	1	2	0	1	625	1
18	1	9	18	10	1	626	4
18	2	11	18	12	1	630	1
18	3	14	18	16	2	631	1
18	4	16	2	19	1	632	1
18	5	24	18	29	2	633	4
18	6	26	18	32	1	637	1
18	7	29	18	36	2	638	1
19	0	1	3	0	1	639	1
