wait_index	producer	group
0	0	1
1	0	2
2	0	3
3	2	4294967295
4	4	12
5	6	4294967295
6	7	4294967295
7	8	0
8	8	1
9	8	2
10	8	3
11	8	4
12	8	5
13	8	6
14	8	7
15	8	8
16	8	9
17	8	10
18	8	11
19	8	13
20	8	14
21	8	15
22	9	1
23	9	2
24	9	3
25	9	4
26	9	5
27	9	6
28	9	7
29	9	8
30	9	9
31	9	10
32	9	11
33	9	12
34	9	13
35	9	14
36	9	15
37	9	16
38	9	17
39	9	18
40	9	19
41	9	20
42	9	21
43	9	22
44	9	23
45	9	24
46	9	25
47	9	26
48	9	27
49	9	28
50	9	29
51	9	30
52	9	31
53	10	1
54	10	2
55	10	3
56	11	1
57	11	2
58	11	3
59	11	4
60	11	5
61	11	6
62	11	7
63	11	8
64	11	9
65	11	10
66	11	11
67	11	12
68	11	13
69	11	14
70	11	15
71	11	16
72	11	17
73	11	18
74	11	19
75	11	20
76	11	21
77	11	22
78	11	23
79	11	24
80	11	25
81	11	26
82	11	27
83	11	28
84	11	29
85	11	30
86	11	31
87	11	32
88	11	33
89	11	34
90	11	35
91	11	36
92	11	37
93	11	38
94	11	39
95	11	40
96	11	41
97	11	42
98	11	43
99	11	44
100	11	45
101	11	46
102	11	47
103	11	48
104	11	49
105	11	50
106	11	51
107	11	52
108	11	53
109	11	54
110	11	55
111	11	56
112	11	57
113	11	58
114	11	59
115	11	60
116	11	61
117	11	62
118	11	63
119	12	0
120	12	1
121	12	2
122	12	3
123	12	4
124	12	5
125	12	6
126	12	7
127	12	8
128	12	9
129	12	10
130	12	11
131	12	12
132	12	13
133	12	14
134	12	15
135	12	16
136	12	17
137	12	18
138	12	19
139	12	20
140	12	21
141	12	22
142	12	23
143	12	24
144	12	25
145	12	26
146	12	27
147	12	28
148	12	29
149	12	30
150	12	31
151	12	32
152	12	33
153	12	34
154	12	35
155	12	36
156	12	37
157	12	38
158	12	39
159	12	40
160	12	41
161	12	42
162	12	43
163	12	44
164	12	45
165	12	46
166	12	47
167	12	48
168	12	49
169	12	50
170	12	51
171	12	52
172	12	53
173	12	54
174	12	55
175	12	56
176	12	57
177	12	58
178	12	59
179	12	60
180	12	61
181	12	62
182	12	63
183	13	1
184	13	2
185	13	3
186	14	1
187	14	2
188	14	3
189	14	4
190	14	5
191	14	6
192	14	7
193	14	8
194	14	9
195	14	10
196	14	11
197	14	12
198	14	13
199	14	14
200	14	15
201	14	16
202	14	17
203	14	18
204	14	19
205	14	20
206	14	21
207	14	22
208	14	23
209	14	24
210	14	25
211	14	26
212	14	27
213	14	28
214	14	29
215	14	30
216	14	31
217	15	1
218	15	2
219	15	3
220	17	4294967295
221	19	12
222	21	4294967295
223	22	4294967295
224	23	0
225	23	1
226	23	2
227	23	3
228	23	4
229	23	5
230	23	6
231	23	7
232	23	8
233	23	9
234	23	10
235	23	11
236	23	13
237	23	14
238	23	15
239	24	1
240	24	2
241	24	3
242	24	4
243	24	5
244	24	6
245	24	7
246	24	8
