candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
32x16x16s2split4kappa1	eft	ok	16549.8	13669.8	16549.8	16549.8	128	1
32x16x16s2split4kappa1	wavefront	ok	16562.9	13669.8	16524.5	16562.9	128	1
32x16x16s2split4kappa1	rotate	ok	16971.5	13669.8	8447.95	16971.5	128	1
32x16x16s2split4kappa1	legacy_grid_stride	ok	18674.3	13669.8	18635.8	18674.3	128	1
32x16x16s2split4kappa1	chain	ok	18780.4	13669.8	7911.75	18780.4	128	1
32x16x16s2split4kappa1	balanced	ok	120847	13669.8	28831.4	120847	128	1
32x16x16s2split4kappa2	eft	ok	16549.8	13669.8	16549.8	16549.8	128	2
32x16x16s2split4kappa2	wavefront	ok	16562.9	13669.8	16524.5	16562.9	128	2
32x16x16s2split4kappa2	rotate	ok	16971.5	13669.8	8447.95	16971.5	128	2
32x16x16s2split4kappa2	legacy_grid_stride	ok	18674.3	13669.8	18635.8	18674.3	128	2
32x16x16s2split4kappa2	chain	ok	18780.4	13669.8	7911.75	18780.4	128	2
32x16x16s2split4kappa2	balanced	ok	120847	13669.8	28831.4	120847	128	2
32x16x16s2split4kappa4	eft	ok	16549.8	13669.8	16549.8	16549.8	128	4
32x16x16s2split4kappa4	wavefront	ok	16562.9	13669.8	16524.5	16562.9	128	4
32x16x16s2split4kappa4	rotate	ok	16971.5	13669.8	8447.95	16971.5	128	4
32x16x16s2split4kappa4	legacy_grid_stride	ok	18674.3	13669.8	18635.8	18674.3	128	4
32x16x16s2split4kappa4	chain	ok	18780.4	13669.8	7911.75	18780.4	128	4
32x16x16s2split4kappa4	balanced	ok	120847	13669.8	28831.4	120847	128	4
32x16x16s2split8kappa1	eft	ok	17292.5	12179	17101.9	17292.5	128	1
32x16x16s2split8kappa1	wavefront	ok	17452.7	12179	17414.3	17452.7	128	1
32x16x16s2split8kappa1	rotate	ok	17489.5	12179	9311.31	17489.5	128	1
32x16x16s2split8kappa1	legacy_grid_stride	ok	18875.8	12179	18837.3	18875.8	128	1
32x16x16s2split8kappa1	chain	ok	18877	12179	8833.55	18877	128	1
32x16x16s2split8kappa1	balanced	ok	105907	12179	20724.9	105907	128	1
32x16x16s2split8kappa2	eft	ok	17292.5	12179	17101.9	17292.5	128	2
32x16x16s2split8kappa2	wavefront	ok	17452.7	12179	17414.3	17452.7	128	2
32x16x16s2split8kappa2	rotate	ok	17489.5	12179	9311.31	17489.5	128	2
32x16x16s2split8kappa2	legacy_grid_stride	ok	18875.8	12179	18837.3	18875.8	128	2
32x16x16s2split8kappa2	chain	ok	18877	12179	8833.55	18877	128	2
32x16x16s2split8kappa2	balanced	ok	105907	12179	20724.9	105907	128	2
32x16x16s2split8kappa4	eft	ok	17292.5	12179	17101.9	17292.5	128	4
32x16x16s2split8kappa4	wavefront	ok	17452.7	12179	17414.3	17452.7	128	4
32x16x16s2split8kappa4	rotate	ok	17489.5	12179	9311.31	17489.5	128	4
32x16x16s2split8kappa4	legacy_grid_stride	ok	18875.8	12179	18837.3	18875.8	128	4
32x16x16s2split8kappa4	chain	ok	18877	12179	8833.55	18877	128	4
32x16x16s2split8kappa4	balanced	ok	106317	12179	20724.9	106317	128	4
